Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.005169,7.819435,[ 6 26] ; [7 4],[ 9.6744186 22.3255814] ; [3.3255814 7.6744186],0
a2,1,0.0129,6.182791,[ 2 30] ; [4 7],[ 4.46511628 27.53488372] ; [1.53488372 9.46511628],0
v3,1,0.023794,5.109571,[ 4 27] ; [5 6],[ 6.64285714 24.35714286] ; [2.35714286 8.64285714],0
r3,1,0.040424,4.2,[24  8] ; [4 6],[21.33333333 10.66666667] ; [6.66666667 3.33333333],0
a3,1,0.043309,4.0833,[12 20] ; [8 3],[14.88372093 17.11627907] ; [5.11627907 5.88372093],0
a4,1,0.043362,4.081224,[ 5 27] ; [5 6],[ 7.44186047 24.55813953] ; [2.55813953 8.44186047],0
p5,1,0.088687,2.898051,[ 4 27] ; [4 7],[ 5.9047619 25.0952381] ; [2.0952381 8.9047619],0
u1,1,0.090833,2.859541,[ 1 31] ; [2 9],[ 2.23255814 29.76744186] ; [ 0.76744186 10.23255814],0
b4,1,0.097196,2.750959,[14 18] ; [8 3],[16.37209302 15.62790698] ; [5.62790698 5.37209302],0
p12,1,0.097981,2.738101,[ 1 30] ; [2 9],[ 2.21428571 28.78571429] ; [ 0.78571429 10.21428571],0
n5,1,0.113415,2.505978,[17 14] ; [9 2],[19.19047619 11.80952381] ; [6.80952381 4.19047619],0
s7,1,0.119312,2.426329,[12 20] ; [6 3],[14.04878049 17.95121951] ; [3.95121951 5.04878049],0
d4,1,0.130169,2.290483,[18 14] ; [9 2],[20.09302326 11.90697674] ; [6.90697674 4.09302326],0
d1,1,0.132562,2.262242,[ 7 25] ; [5 6],[ 8.93023256 23.06976744] ; [3.06976744 7.93023256],0
p10,1,0.137916,2.201064,[19 10] ; [9 1],[20.82051282  8.17948718] ; [7.17948718 2.82051282],0
d3,1,0.138089,2.199129,[15 17] ; [8 3],[17.11627907 14.88372093] ; [5.88372093 5.11627907],0
n3,1,0.145251,2.121429,[8 6] ; [2 6],[6.36363636 7.63636364] ; [3.63636364 4.36363636],0
p6,1,0.190969,1.710129,[10 21] ; [6 5],[11.80952381 19.19047619] ; [4.19047619 6.80952381],0
p11,1,0.232915,1.422968,[26  6] ; [7 4],[24.55813953  7.44186047] ; [8.44186047 2.55813953],0
p4,1,0.23478,1.411667,[19 13] ; [8 2],[20.57142857 11.42857143] ; [6.42857143 3.57142857],0
a5,1,0.255014,1.295627,[14 18] ; [7 4],[15.62790698 16.37209302] ; [5.37209302 5.62790698],0
d5,1,0.255598,1.292443,[17 15] ; [8 3],[18.60465116 13.39534884] ; [6.39534884 4.60465116],0
b3,1,0.290689,1.116427,[ 3 16] ; [3 6],[ 4.07142857 14.92857143] ; [1.92857143 7.07142857],0
b2,1,0.290689,1.116427,[ 3 16] ; [3 6],[ 4.07142857 14.92857143] ; [1.92857143 7.07142857],0
n2,1,0.386876,0.748739,[10  4] ; [7 1],[10.81818182  3.18181818] ; [6.18181818 1.81818182],0
s5,1,0.407626,0.685714,[ 3 27] ; [2 8],[ 3.75 26.25] ; [1.25 8.75],0
s6,1,0.439387,0.597882,[14 18] ; [3 7],[12.95238095 19.04761905] ; [4.04761905 5.95238095],0
v4,1,0.511936,0.430108,[24  6] ; [7 3],[23.25  6.75] ; [7.75 2.25],0
v2,1,0.511939,0.430102,[11 21] ; [5 6],[11.90697674 20.09302326] ; [4.09302326 6.90697674],0
s4,1,0.51439,0.425128,[ 9 23] ; [2 9],[ 8.18604651 23.81395349] ; [2.81395349 8.18604651],0
s2,1,0.575217,0.314032,[14 18] ; [3 6],[13.26829268 18.73170732] ; [3.73170732 5.26829268],0
u2,1,0.589962,0.290404,[10 10] ; [2 1],[10.43478261  9.56521739] ; [1.56521739 1.43478261],0
s8,1,0.608408,0.2625,[10 22] ; [4 6],[10.66666667 21.33333333] ; [3.33333333 6.66666667],0
b5,1,0.641581,0.21668,[20 12] ; [6 5],[19.34883721 12.65116279] ; [6.65116279 4.34883721],0
u3,1,0.650041,0.205848,[ 9 10] ; [1 2],[ 8.63636364 10.36363636] ; [1.36363636 1.63636364],0
a7,1,0.668374,0.18351,[18 14] ; [7 4],[18.60465116 13.39534884] ; [6.39534884 4.60465116],0
p7,1,0.739805,0.110298,[21  8] ; [6 3],[20.60526316  8.39473684] ; [6.39473684 2.60526316],0
s3,1,0.7572,0.095579,[12 19] ; [4 5],[12.4 18.6] ; [3.6 5.4],0
n6,1,0.758635,0.094417,[21 10] ; [8 3],[21.4047619  9.5952381] ; [7.5952381 3.4047619],0
s1,1,0.760918,0.092584,[ 4 28] ; [ 1 10],[ 3.72093023 28.27906977] ; [1.27906977 9.72093023],0
p9,1,0.797817,0.065625,[21 11] ; [7 3],[21.33333333 10.66666667] ; [6.66666667 3.33333333],0
a6,1,0.92177,0.009644,[18 14] ; [6 5],[17.86046512 14.13953488] ; [6.13953488 4.86046512],0
p2,1,0.924295,0.00903,[23  8] ; [8 3],[22.88095238  8.11904762] ; [8.11904762 2.88095238],0
n1,1,0.933249,0.007015,[5 9] ; [3 5],[5.09090909 8.90909091] ; [2.90909091 5.09090909],0
p3,1,0.93506,0.006639,[15 17] ; [5 6],[14.88372093 17.11627907] ; [5.11627907 5.88372093],0
n4,1,0.93506,0.006639,[17 15] ; [6 5],[17.11627907 14.88372093] ; [5.88372093 5.11627907],0
b1,1,0.93506,0.006639,[15 17] ; [5 6],[14.88372093 17.11627907] ; [5.11627907 5.88372093],0
r2,1,0.939048,0.005847,[17 12] ; [6 4],[17.1025641 11.8974359] ; [5.8974359 4.1025641],0
p1,1,0.954599,0.003241,[ 3 28] ; [ 1 10],[ 2.95238095 28.04761905] ; [1.04761905 9.95238095],0
v1,1,0.958276,0.002737,[11 20] ; [4 7],[11.07142857 19.92857143] ; [3.92857143 7.07142857],0
