Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2.8e-05,17.535841,[ 7 19] ; [51 18],[15.87368421 10.12631579] ; [42.12631579 26.87368421],1
d4,1,0.000525,12.023282,[14 12] ; [60  9],[20.25263158  5.74736842] ; [53.74736842 15.25263158],1
a6,1,0.003605,8.472687,[ 6 20] ; [39 30],[12.31578947 13.68421053] ; [32.68421053 36.31578947],0
v3,1,0.005852,7.595382,[ 5 21] ; [33 32],[10.85714286 15.14285714] ; [27.14285714 37.85714286],0
a4,1,0.021135,5.31564,[ 1 25] ; [17 52],[ 4.92631579 21.07368421] ; [13.07368421 55.92631579],0
r3,1,0.027269,4.87368,[22  4] ; [66  2],[24.34042553  1.65957447] ; [63.65957447  4.34042553],0
a3,1,0.048663,3.886947,[11 15] ; [44 24],[15.21276596 10.78723404] ; [39.78723404 28.21276596],0
v2,1,0.050856,3.813019,[ 7 18] ; [34 33],[11.14130435 13.85869565] ; [29.85869565 37.14130435],0
r1,1,0.065464,3.393257,[15 11] ; [53 16],[18.61052632  7.38947368] ; [49.38947368 19.61052632],0
a7,1,0.114441,2.491794,[14 12] ; [49 20],[17.24210526  8.75789474] ; [45.75789474 23.24210526],0
n5,1,0.137481,2.205925,[22  4] ; [48 21],[19.15789474  6.84210526] ; [50.84210526 18.15789474],0
p1,1,0.159219,1.98163,[ 6 20] ; [ 8 61],[ 3.83157895 22.16842105] ; [10.16842105 58.83157895],0
d2,1,0.16263,1.949601,[ 3 23] ; [17 52],[ 5.47368421 20.52631579] ; [14.52631579 54.47368421],0
p3,1,0.200586,1.638102,[ 9 17] ; [34 35],[11.76842105 14.23157895] ; [31.23157895 37.76842105],0
b4,1,0.221977,1.491546,[13 13] ; [44 25],[15.6 10.4] ; [41.4 27.6],0
u2,1,0.231323,1.432708,[11  4] ; [13 11],[9.23076923 5.76923077] ; [14.76923077  9.23076923],0
r4,1,0.318873,0.993563,[20  6] ; [59 10],[21.62105263  4.37894737] ; [57.37894737 11.62105263],0
s1,1,0.360999,0.834414,[ 3 23] ; [ 4 63],[ 1.95698925 24.04301075] ; [ 5.04301075 61.95698925],0
n6,1,0.405507,0.691936,[22  4] ; [53 16],[20.52631579  5.47368421] ; [54.47368421 14.52631579],0
p10,1,0.428268,0.627516,[19  7] ; [54 13],[20.40860215  5.59139785] ; [52.59139785 14.40860215],0
s5,1,0.435525,0.608045,[ 8 17] ; [27 39],[ 9.61538462 15.38461538] ; [25.38461538 40.61538462],0
v4,1,0.485705,0.486026,[23  2] ; [66  3],[23.67021277  1.32978723] ; [65.32978723  3.67021277],0
n3,1,0.495088,0.465449,[3 4] ; [11  8],[3.76923077 3.23076923] ; [10.23076923  8.76923077],0
p12,1,0.515129,0.423634,[ 2 24] ; [ 3 66],[ 1.36842105 24.63157895] ; [ 3.63157895 65.36842105],0
p7,1,0.535032,0.384825,[18  7] ; [43 23],[16.75824176  8.24175824] ; [44.24175824 21.75824176],0
p2,1,0.572312,0.318829,[21  5] ; [59 10],[21.89473684  4.10526316] ; [58.10526316 10.89473684],0
p6,1,0.579529,0.306996,[12 13] ; [27 38],[10.83333333 14.16666667] ; [28.16666667 36.83333333],0
p4,1,0.6237,0.240701,[14 12] ; [41 28],[15.05263158 10.94736842] ; [39.94736842 29.05263158],0
p5,1,0.664915,0.187607,[ 5 20] ; [11 57],[ 4.30107527 20.69892473] ; [11.69892473 56.30107527],0
u3,1,0.67329,0.177778,[10  5] ; [15 10],[9.375 5.625] ; [15.625  9.375],0
s2,1,0.695918,0.152753,[17  9] ; [48 21],[17.78947368  8.21052632] ; [47.21052632 21.78947368],0
n4,1,0.73784,0.112034,[19  7] ; [48 21],[18.33684211  7.66315789] ; [48.66315789 20.33684211],0
v1,1,0.73862,0.111343,[12 14] ; [34 34],[12.72340426 13.27659574] ; [33.27659574 34.72340426],0
p11,1,0.755429,0.097025,[18  8] ; [50 19],[18.61052632  7.38947368] ; [49.38947368 19.61052632],0
b5,1,0.786059,0.073676,[14 12] ; [35 34],[13.41052632 12.58947368] ; [35.58947368 33.41052632],0
p9,1,0.818258,0.052802,[20  6] ; [53 14],[20.40860215  5.59139785] ; [52.59139785 14.40860215],0
s3,1,0.819211,0.05224,[19  7] ; [52 17],[19.43157895  6.56842105] ; [51.56842105 17.43157895],0
n1,1,0.837829,0.04189,[3 4] ; [ 9 10],[3.23076923 3.76923077] ; [ 8.76923077 10.23076923],0
s4,1,0.842491,0.039485,[ 7 19] ; [20 49],[ 7.38947368 18.61052632] ; [19.61052632 49.38947368],0
b3,1,0.878817,0.023247,[ 5 11] ; [15 30],[ 5.24590164 10.75409836] ; [14.75409836 30.24590164],0
b2,1,0.878817,0.023247,[ 5 11] ; [15 30],[ 5.24590164 10.75409836] ; [14.75409836 30.24590164],0
n2,1,0.908433,0.013229,[5 2] ; [14  5],[5.11538462 1.88461538] ; [13.88461538  5.11538462],0
r2,1,0.916487,0.010996,[23  2] ; [63  5],[23.11827957  1.88172043] ; [62.88172043  5.11827957],0
a8,1,0.925176,0.00882,[ 3 22] ; [ 7 55],[ 2.87356322 22.12643678] ; [ 7.12643678 54.87356322],0
p8,1,0.932015,0.007278,[15 11] ; [38 29],[14.8172043 11.1827957] ; [38.1827957 28.8172043],0
b1,1,0.94427,0.004887,[10 16] ; [26 43],[ 9.85263158 16.14736842] ; [26.14736842 42.85263158],0
s8,1,0.952466,0.003553,[16 10] ; [42 27],[15.87368421 10.12631579] ; [42.12631579 26.87368421],0
s6,1,0.963033,0.002148,[20  6] ; [52 16],[19.91489362  6.08510638] ; [52.08510638 15.91489362],0
