Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,1e-06,23.785104,[134  11] ; [53 26],[121.04910714  23.95089286] ; [65.95089286 13.04910714],1
r4,1,5e-06,20.930558,[118  27] ; [42 38],[103.11111111  41.88888889] ; [56.88888889 23.11111111],1
n5,1,2.6e-05,17.702158,[99 46] ; [31 48],[84.15178571 60.84821429] ; [45.84821429 33.15178571],1
s6,1,7e-05,15.8168,[91 50] ; [29 50],[76.90909091 64.09090909] ; [43.09090909 35.90909091],1
s8,1,7.2e-05,15.760482,[56 87] ; [11 69],[ 42.96412556 100.03587444] ; [24.03587444 55.96412556],1
r3,1,0.000212,13.717944,[125  19] ; [52 27],[114.29596413  29.70403587] ; [62.70403587 16.29596413],1
p4,1,0.000471,12.22604,[70 73] ; [20 60],[57.71300448 85.28699552] ; [32.28699552 47.71300448],1
n4,1,0.000745,11.373768,[98 46] ; [36 44],[86.14285714 57.85714286] ; [47.85714286 32.14285714],1
p10,1,0.00095,10.922129,[83 59] ; [27 50],[71.32420091 70.67579909] ; [38.67579909 38.32420091],1
b5,1,0.001347,10.276414,[102  43] ; [39 41],[90.86666667 54.13333333] ; [50.13333333 29.86666667],0
p2,1,0.001765,9.779095,[98 47] ; [37 43],[87. 58.] ; [48. 32.],0
s7,1,0.002131,9.433504,[62 70] ; [18 54],[51.76470588 80.23529412] ; [28.23529412 43.76470588],0
p7,1,0.002142,9.423595,[74 69] ; [24 55],[63.12612613 79.87387387] ; [34.87387387 44.12612613],0
p9,1,0.003374,8.593338,[90 49] ; [34 43],[79.7962963 59.2037037] ; [44.2037037 32.7962963],0
u1,1,0.004547,8.051472,[ 27 118] ; [ 4 76],[ 19.97777778 125.02222222] ; [11.02222222 68.97777778],0
s5,1,0.006887,7.302132,[47 93] ; [12 62],[ 38.59813084 101.40186916] ; [20.40186916 53.59813084],0
n2,1,0.012705,6.209684,[39 12] ; [20 19],[33.43333333 17.56666667] ; [25.56666667 13.43333333],0
r2,1,0.01293,6.178728,[131  11] ; [64 15],[125.29411765  16.70588235] ; [69.70588235  9.29411765],0
