Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,5e-06,21.018513,[52 14] ; [ 3 13],[44.26829268 21.73170732] ; [10.73170732  5.26829268],1
r3,1,7.2e-05,15.749437,[62  4] ; [9 7],[57.14634146  8.85365854] ; [13.85365854  2.14634146],1
r2,1,0.000654,11.614647,[57  9] ; [7 8],[52.14814815 13.85185185] ; [11.85185185  3.14814815],1
p2,1,0.007428,7.166512,[41 25] ; [ 4 12],[36.2195122 29.7804878] ; [8.7804878 7.2195122],0
n6,1,0.04399,4.056956,[35 31] ; [ 4 12],[31.3902439 34.6097561] ; [7.6097561 8.3902439],0
p11,1,0.089464,2.883985,[32 34] ; [ 4 12],[28.97560976 37.02439024] ; [7.02439024 8.97560976],0
b2,1,0.097322,2.748885,[ 7 31] ; [4 5],[ 8.89361702 29.10638298] ; [2.10638298 6.89361702],0
b3,1,0.097322,2.748885,[ 7 31] ; [4 5],[ 8.89361702 29.10638298] ; [2.10638298 6.89361702],0
n2,1,0.12437,2.361404,[17  8] ; [3 5],[15.15151515  9.84848485] ; [4.84848485 3.15151515],0
a4,1,0.172345,1.862424,[21 45] ; [8 8],[23.34146341 42.65853659] ; [ 5.65853659 10.34146341],0
a7,1,0.180836,1.790743,[41 25] ; [7 9],[38.63414634 27.36585366] ; [9.36585366 6.63414634],0
a6,1,0.182296,1.778808,[37 29] ; [ 6 10],[34.6097561 31.3902439] ; [8.3902439 7.6097561],0
d2,1,0.221345,1.49563,[26 40] ; [9 7],[28.17073171 37.82926829] ; [6.82926829 9.17073171],0
p7,1,0.255656,1.292129,[31 35] ; [ 5 11],[28.97560976 37.02439024] ; [7.02439024 8.97560976],0
d4,1,0.259488,1.271487,[49 17] ; [14  2],[50.70731707 15.29268293] ; [12.29268293  3.70731707],0
r1,1,0.304499,1.054387,[46 20] ; [9 7],[44.26829268 21.73170732] ; [10.73170732  5.26829268],0
p4,1,0.41352,0.668658,[28 38] ; [ 5 11],[26.56097561 39.43902439] ; [6.43902439 9.56097561],0
d5,1,0.419875,0.650666,[48 18] ; [10  6],[46.68292683 19.31707317] ; [11.31707317  4.68292683],0
a5,1,0.429222,0.624928,[34 32] ; [10  6],[35.41463415 30.58536585] ; [8.58536585 7.41463415],0
d1,1,0.509528,0.435037,[27 39] ; [8 8],[28.17073171 37.82926829] ; [6.82926829 9.17073171],0
p8,1,0.520449,0.413004,[22 44] ; [ 4 12],[20.92682927 45.07317073] ; [ 5.07317073 10.92682927],0
s1,1,0.527119,0.399942,[ 5 61] ; [ 2 14],[ 5.63414634 60.36585366] ; [ 1.36585366 14.63414634],0
v2,1,0.532603,0.389423,[30 35] ; [ 6 10],[28.88888889 36.11111111] ; [7.11111111 8.88888889],0
a3,1,0.565151,0.330863,[36 30] ; [10  6],[37.02439024 28.97560976] ; [8.97560976 7.02439024],0
s5,1,0.572102,0.319177,[12 53] ; [ 2 14],[11.2345679 53.7654321] ; [ 2.7654321 13.2345679],0
b4,1,0.584624,0.298818,[42 24] ; [9 7],[41.04878049 24.95121951] ; [9.95121951 6.04878049],0
p10,1,0.587897,0.29364,[12 54] ; [ 2 14],[11.26829268 54.73170732] ; [ 2.73170732 13.26829268],0
n3,1,0.592948,0.285764,[17  8] ; [4 3],[16.40625  8.59375] ; [4.59375 2.40625],0
a2,1,0.603626,0.269562,[ 9 57] ; [ 3 13],[ 9.65853659 56.34146341] ; [ 2.34146341 13.65853659],0
s6,1,0.671558,0.179785,[24 41] ; [ 5 11],[23.27160494 41.72839506] ; [ 5.72839506 10.27160494],0
s4,1,0.682257,0.167596,[11 55] ; [ 2 14],[10.46341463 55.53658537] ; [ 2.53658537 13.46341463],0
s3,1,0.742101,0.108289,[25 41] ; [ 5 10],[24.44444444 41.55555556] ; [5.55555556 9.44444444],0
b5,1,0.743582,0.107003,[36 30] ; [8 8],[35.41463415 30.58536585] ; [8.58536585 7.41463415],0
n1,1,0.75415,0.098077,[ 8 18] ; [2 6],[ 7.64705882 18.35294118] ; [2.35294118 5.64705882],0
p6,1,0.784617,0.074697,[14 50] ; [ 3 13],[13.6 50.4] ; [ 3.4 12.6],0
p3,1,0.843563,0.038942,[22 43] ; [ 5 11],[21.66666667 43.33333333] ; [ 5.33333333 10.66666667],0
v3,1,0.845772,0.037837,[17 45] ; [ 4 12],[16.69230769 45.30769231] ; [ 4.30769231 11.69230769],0
s2,1,0.846026,0.03771,[19 47] ; [ 5 11],[19.31707317 46.68292683] ; [ 4.68292683 11.31707317],0
s7,1,0.878747,0.023274,[14 46] ; [ 3 11],[13.78378378 46.21621622] ; [ 3.21621622 10.78378378],0
n4,1,0.889189,0.019413,[26 40] ; [ 6 10],[25.75609756 40.24390244] ; [6.24390244 9.75609756],0
b1,1,0.923371,0.009252,[38 28] ; [9 7],[37.82926829 28.17073171] ; [9.17073171 6.82926829],0
v1,1,0.96505,0.00192,[21 45] ; [ 5 11],[20.92682927 45.07317073] ; [ 5.07317073 10.92682927],0
d3,1,0.989073,0.000188,[37 29] ; [9 7],[37.02439024 28.97560976] ; [8.97560976 7.02439024],0
u2,1,1.0,0.0,[15 15] ; [3 3],[15. 15.] ; [3. 3.],0
