Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,2.1e-05,18.107771,[11 47] ; [98 96],[25.08730159 32.91269841] ; [ 83.91269841 110.08730159],1
p9,1,0.000297,13.09116,[31 24] ; [155  38],[41.25 13.75] ; [144.75  48.25],1
s1,1,0.002214,9.363314,[ 7 49] ; [  5 189],[ 2.688 53.312] ; [  9.312 184.688],0
p4,1,0.002229,9.35099,[17 40] ; [103  92],[27.14285714 29.85714286] ; [ 92.85714286 102.14285714],0
v4,1,0.004766,7.966091,[49  9] ; [185   9],[53.85714286  4.14285714] ; [180.14285714  13.85714286],0
p10,1,0.005509,7.704215,[31 25] ; [144  49],[39.35742972 16.64257028] ; [135.64257028  57.35742972],0
p7,1,0.010046,6.626749,[24 31] ; [121  71],[32.28744939 22.71255061] ; [112.71255061  79.28744939],0
a7,1,0.011919,6.32284,[31 27] ; [138  56],[38.8968254 19.1031746] ; [130.1031746  63.8968254],0
n5,1,0.013175,6.145524,[29 28] ; [134  61],[36.86904762 20.13095238] ; [126.13095238  68.86904762],0
d5,1,0.013987,6.039788,[30 28] ; [135  60],[37.82608696 20.17391304] ; [127.17391304  67.82608696],0
p3,1,0.017477,5.647784,[14 44] ; [ 81 115],[21.69291339 36.30708661] ; [ 73.30708661 122.69291339],0
a6,1,0.017937,5.602287,[22 36] ; [109  87],[29.91338583 28.08661417] ; [101.08661417  94.91338583],0
d3,1,0.031783,4.610158,[27 31] ; [121  73],[34.06349206 23.93650794] ; [113.93650794  80.06349206],0
s7,1,0.033173,4.536819,[13 41] ; [ 75 113],[19.63636364 34.36363636] ; [ 68.36363636 119.63636364],0
s5,1,0.044583,4.034344,[ 7 46] ; [ 50 139],[12.48347107 40.51652893] ; [ 44.51652893 144.48347107],0
p1,1,0.056862,3.626635,[ 1 57] ; [ 18 177],[ 4.35573123 53.64426877] ; [ 14.64426877 180.35573123],0
p5,1,0.071514,3.24793,[ 2 54] ; [ 23 173],[ 5.55555556 50.44444444] ; [ 19.44444444 176.55555556],0
b1,1,0.073714,3.198328,[27 31] ; [ 66 130],[21.23622047 36.76377953] ; [ 71.76377953 124.23622047],0
p6,1,0.081979,3.025221,[13 44] ; [ 67 124],[18.38709677 38.61290323] ; [ 61.61290323 129.38709677],0
u2,1,0.144665,2.127621,[23 12] ; [52 49],[19.30147059 15.69852941] ; [55.69852941 45.30147059],0
s3,1,0.14597,2.113866,[27 30] ; [113  81],[31.79282869 25.20717131] ; [108.20717131  85.79282869],0
b5,1,0.14713,2.101752,[41 17] ; [118  78],[36.30708661 21.69291339] ; [122.69291339  73.30708661],0
s6,1,0.153734,2.034805,[29 28] ; [118  74],[33.65060241 23.34939759] ; [113.34939759  78.65060241],0
n6,1,0.1863,1.746634,[42 16] ; [157  38],[45.62055336 12.37944664] ; [153.37944664  41.62055336],0
n4,1,0.192303,1.699886,[32 26] ; [126  69],[36.22134387 21.77865613] ; [121.77865613  73.22134387],0
u3,1,0.283856,1.148535,[22 13] ; [54 49],[19.27536232 15.72463768] ; [56.72463768 46.27536232],0
d2,1,0.284963,1.143265,[16 42] ; [ 41 155],[13.01574803 44.98425197] ; [ 43.98425197 152.01574803],0
b2,1,0.287422,1.131659,[ 5 24] ; [29 79],[ 7.19708029 21.80291971] ; [26.80291971 81.19708029],0
b3,1,0.287422,1.131659,[ 5 24] ; [29 79],[ 7.19708029 21.80291971] ; [26.80291971 81.19708029],0
a8,1,0.293141,1.10514,[ 5 53] ; [ 25 155],[ 7.31092437 50.68907563] ; [ 22.68907563 157.31092437],0
a3,1,0.29739,1.085864,[23 35] ; [ 92 102],[26.46825397 31.53174603] ; [ 88.53174603 105.46825397],0
v1,1,0.309219,1.03401,[22 36] ; [ 86 103],[25.36032389 32.63967611] ; [ 82.63967611 106.36032389],0
s8,1,0.346694,0.885519,[16 42] ; [ 67 129],[18.95275591 39.04724409] ; [ 64.04724409 131.95275591],0
d1,1,0.346694,0.885519,[16 42] ; [ 67 129],[18.95275591 39.04724409] ; [ 64.04724409 131.95275591],0
u4,1,0.358181,0.844262,[ 1 57] ; [  1 195],[ 0.45669291 57.54330709] ; [  1.54330709 194.45669291],0
d4,1,0.40047,0.706913,[38 20] ; [139  56],[40.5770751 17.4229249] ; [136.4229249  58.5770751],0
v3,1,0.522365,0.409221,[16 39] ; [ 64 126],[17.95918367 37.04081633] ; [ 62.04081633 127.95918367],0
r2,1,0.532771,0.389103,[51  7] ; [176  18],[52.24603175  5.75396825] ; [174.75396825  19.24603175],0
n1,1,0.589707,0.290801,[7 9] ; [17 30],[6.0952381 9.9047619] ; [17.9047619 29.0952381],0
v2,1,0.635884,0.224166,[23 31] ; [ 86 100],[24.525 29.475] ; [ 84.475 101.525],0
s2,1,0.686192,0.163239,[24 33] ; [ 88 107],[25.33333333 31.66666667] ; [ 86.66666667 108.33333333],0
n2,1,0.690071,0.159008,[11  5] ; [34 12],[11.61290323  4.38709677] ; [33.38709677 12.61290323],0
p11,1,0.691742,0.157206,[42 16] ; [147  49],[43.15748031 14.84251969] ; [145.84251969  50.15748031],0
a4,1,0.71378,0.134531,[10 48] ; [ 38 158],[10.96062992 47.03937008] ; [ 37.03937008 158.96062992],0
a1,1,0.71567,0.132679,[ 1 57] ; [  5 191],[ 1.37007874 56.62992126] ; [  4.62992126 191.37007874],0
p12,1,0.719068,0.129387,[ 2 55] ; [  9 186],[ 2.48809524 54.51190476] ; [  8.51190476 186.48809524],0
b4,1,0.756018,0.096543,[33 25] ; [116  80],[34.02362205 23.97637795] ; [114.97637795  81.02362205],0
n3,1,0.783632,0.075399,[11  5] ; [34 13],[11.42857143  4.57142857] ; [33.57142857 13.42857143],0
r1,1,0.870749,0.026474,[38 20] ; [130  65],[38.51383399 19.48616601] ; [129.48616601  65.51383399],0
r4,1,0.892382,0.018304,[49  9] ; [167  29],[49.32283465  8.67716535] ; [166.67716535  29.32283465],0
s4,1,0.957314,0.002865,[11 47] ; [ 36 157],[10.86055777 47.13944223] ; [ 36.13944223 156.86055777],0
