Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.062109,3.480145,[ 1 12] ; [ 6 10],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
b5,1,0.071254,3.253889,[10  3] ; [7 9],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
s7,1,0.098543,2.728968,[ 1 11] ; [5 9],[2.76923077 9.23076923] ; [ 3.23076923 10.76923077],0
a5,1,0.170007,1.882882,[4 9] ; [9 7],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
p7,1,0.197631,1.659799,[8 5] ; [ 6 10],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
p10,1,0.21918,1.509733,[7 6] ; [ 5 11],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
a7,1,0.21918,1.509733,[6 7] ; [11  5],[7.62068966 5.37931034] ; [9.37931034 6.62068966],0
p9,1,0.21918,1.509733,[7 6] ; [ 5 11],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
n6,1,0.21918,1.509733,[7 6] ; [ 5 11],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
v3,1,0.219786,1.505769,[ 1 12] ; [ 4 12],[ 2.24137931 10.75862069] ; [ 2.75862069 13.24137931],0
s2,1,0.237552,1.395061,[5 8] ; [ 3 13],[3.5862069 9.4137931] ; [ 4.4137931 11.5862069],0
n4,1,0.244092,1.356807,[ 3 10] ; [7 9],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
s6,1,0.295694,1.093514,[4 9] ; [8 8],[5.37931034 7.62068966] ; [6.62068966 9.37931034],0
u3,1,0.3017,1.066667,[2 6] ; [4 4],[3. 5.] ; [3. 5.],0
u2,1,0.3017,1.066667,[4 4] ; [6 2],[5. 3.] ; [5. 3.],0
a6,1,0.340405,0.908906,[5 8] ; [9 7],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
d3,1,0.410727,0.676695,[7 6] ; [11  5],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
v4,1,0.410727,0.676695,[7 6] ; [11  5],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
a1,1,0.421806,0.645279,[ 2 11] ; [ 1 15],[ 1.34482759 11.65517241] ; [ 1.65517241 14.34482759],0
r1,1,0.473701,0.51333,[4 9] ; [7 9],[4.93103448 8.06896552] ; [6.06896552 9.93103448],0
b4,1,0.473701,0.51333,[9 4] ; [9 7],[8.06896552 4.93103448] ; [9.93103448 6.06896552],0
n3,1,0.505985,0.442361,[4 1] ; [5 3],[3.46153846 1.53846154] ; [5.53846154 2.46153846],0
a3,1,0.534359,0.386095,[5 8] ; [8 8],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
p11,1,0.588439,0.292788,[7 6] ; [7 9],[6.27586207 6.72413793] ; [7.72413793 8.27586207],0
b2,1,0.622252,0.242716,[1 5] ; [3 8],[1.41176471 4.58823529] ; [2.58823529 8.41176471],0
b3,1,0.622252,0.242716,[1 5] ; [3 8],[1.41176471 4.58823529] ; [2.58823529 8.41176471],0
b1,1,0.684498,0.165106,[8 5] ; [11  5],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
p8,1,0.684498,0.165106,[5 8] ; [ 5 11],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
v1,1,0.704507,0.143826,[4 9] ; [ 6 10],[4.48275862 8.51724138] ; [ 5.51724138 10.48275862],0
p2,1,0.704507,0.143826,[9 4] ; [10  6],[8.51724138 4.48275862] ; [10.48275862  5.51724138],0
n2,1,0.724939,0.12381,[3 2] ; [4 4],[2.69230769 2.30769231] ; [4.30769231 3.69230769],0
r3,1,0.729571,0.119505,[9 4] ; [12  4],[9.4137931 3.5862069] ; [11.5862069  4.4137931],0
s3,1,0.810595,0.057436,[4 9] ; [ 4 11],[3.71428571 9.28571429] ; [ 4.28571429 10.71428571],0
s5,1,0.811414,0.056931,[ 2 11] ; [ 3 13],[ 2.24137931 10.75862069] ; [ 2.75862069 13.24137931],0
p3,1,0.826824,0.047863,[ 3 10] ; [ 4 11],[3.25 9.75] ; [ 3.75 11.25],0
a8,1,0.83224,0.044872,[ 1 11] ; [ 1 15],[ 0.85714286 11.14285714] ; [ 1.14285714 14.85714286],0
n1,1,0.835099,0.043333,[1 4] ; [2 6],[1.15384615 3.84615385] ; [1.84615385 6.15384615],0
p6,1,0.877059,0.023932,[ 2 11] ; [ 2 13],[ 1.85714286 11.14285714] ; [ 2.14285714 12.85714286],0
p5,1,0.878842,0.023237,[ 1 12] ; [ 1 15],[ 0.89655172 12.10344828] ; [ 1.10344828 14.89655172],0
p12,1,0.878842,0.023237,[ 1 12] ; [ 1 15],[ 0.89655172 12.10344828] ; [ 1.10344828 14.89655172],0
p4,1,0.897001,0.016758,[6 7] ; [7 9],[5.82758621 7.17241379] ; [7.17241379 8.82758621],0
s8,1,0.904201,0.014486,[ 3 10] ; [ 4 12],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
r4,1,0.904201,0.014486,[ 3 10] ; [ 4 12],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
a4,1,0.904201,0.014486,[ 3 10] ; [ 4 12],[3.13793103 9.86206897] ; [ 3.86206897 12.13793103],0
