Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,33.072066,[107 129] ; [231 102],[140.18980668  95.81019332] ; [197.81019332 135.18980668],1
v3,1,0.0,28.146291,[ 73 166] ; [175 156],[103.98596491 135.01403509] ; [144.01403509 186.98596491],1
p4,1,6.1e-05,16.062296,[140 104] ; [249  91],[162.52739726  81.47260274] ; [226.47260274 113.52739726],1
p8,1,0.000131,14.62906,[118 125] ; [216 119],[140.41868512 102.58131488] ; [193.58131488 141.41868512],1
n5,1,0.000778,11.291844,[200  42] ; [314  28],[212.99315068  29.00684932] ; [301.00684932  40.99315068],1
s8,1,0.0013,10.34223,[102 142] ; [188 152],[121.16438356 122.83561644] ; [168.83561644 171.16438356],0
p6,1,0.001842,9.700578,[ 87 155] ; [165 172],[105.32642487 136.67357513] ; [146.67357513 190.32642487],0
p7,1,0.002336,9.264677,[149  94] ; [244  89],[165.796875  77.203125] ; [227.203125 105.796875],0
p3,1,0.003362,8.599859,[120 125] ; [208 132],[137.36752137 107.63247863] ; [190.63247863 149.36752137],0
p5,1,0.005814,7.607144,[ 24 221] ; [ 61 279],[ 35.5982906 209.4017094] ; [ 49.4017094 290.5982906],0
s5,1,0.010927,6.477176,[ 72 162] ; [135 192],[ 86.34224599 147.65775401] ; [120.65775401 206.34224599],0
r1,1,0.013264,6.133574,[188  57] ; [290  52],[199.50596252  45.49403748] ; [278.49403748  63.50596252],0
p11,1,0.014049,6.031978,[196  49] ; [300  43],[206.66666667  38.33333333] ; [289.33333333  53.66666667],0
p10,1,0.01477,5.943713,[216  28] ; [321  20],[223.97948718  20.02051282] ; [313.02051282  27.97948718],0
p2,1,0.02112,5.316849,[203  41] ; [305  35],[212.24657534  31.75342466] ; [295.75342466  44.24657534],0
r4,1,0.021727,5.267532,[217  28] ; [322  21],[224.58333333  20.41666667] ; [314.41666667  28.58333333],0
b5,1,0.028741,4.783059,[133 112] ; [217 126],[145.83333333  99.16666667] ; [204.16666667 138.83333333],0
s6,1,0.032571,4.568168,[158  81] ; [249  86],[169.46515679  69.53484321] ; [237.53484321  97.46515679],0
v4,1,0.034938,4.448181,[227  16] ; [331  10],[232.18150685  10.81849315] ; [325.81849315  15.18150685],0
n1,1,0.043133,4.090167,[24 39] ; [26 19],[29.16666667 33.83333333] ; [20.83333333 24.16666667],0
u4,1,0.05193,3.778033,[  2 243] ; [ 11 332],[  5.41666667 239.58333333] ; [  7.58333333 335.41666667],0
s2,1,0.071626,3.24535,[120 123] ; [193 146],[130.68556701 112.31443299] ; [182.31443299 156.68556701],0
b2,1,0.079811,3.068754,[48 94] ; [100 133],[56.04266667 85.95733333] ; [ 91.95733333 141.04266667],0
b3,1,0.079811,3.068754,[48 94] ; [100 133],[56.04266667 85.95733333] ; [ 91.95733333 141.04266667],0
u3,1,0.080144,3.061989,[28 33] ; [48 31],[33.11428571 27.88571429] ; [42.88571429 36.11428571],0
r2,1,0.084022,2.985329,[224  16] ; [327  12],[228.39378238  11.60621762] ; [322.60621762  16.39378238],0
p12,1,0.09584,2.773444,[ 19 225] ; [ 41 300],[ 25.02564103 218.97435897] ; [ 34.97435897 306.02564103],0
d1,1,0.118374,2.43871,[146  99] ; [226 117],[155.  90.] ; [217. 126.],0
a1,1,0.142639,2.149256,[  9 236] ; [ 22 321],[ 12.91666667 232.08333333] ; [ 18.08333333 324.91666667],0
s1,1,0.144405,2.130375,[ 12 230] ; [  9 329],[  8.76206897 233.23793103] ; [ 12.23793103 325.76206897],0
d5,1,0.147164,2.101404,[198  46] ; [292  49],[204.37606838  39.62393162] ; [285.62393162  55.37606838],0
u1,1,0.170489,1.87864,[ 43 202] ; [ 76 267],[ 49.58333333 195.41666667] ; [ 69.41666667 273.58333333],0
n6,1,0.189666,1.720207,[216  28] ; [312  28],[220.60273973  23.39726027] ; [307.39726027  32.60273973],0
s4,1,0.203347,1.618174,[ 44 199] ; [ 48 290],[ 38.47848537 204.52151463] ; [ 53.52151463 284.47848537],0
d4,1,0.232164,1.427557,[200  44] ; [292  49],[205.21025641  38.78974359] ; [286.78974359  54.21025641],0
a8,1,0.341885,0.903349,[ 34 193] ; [ 55 249],[ 38.04708098 188.95291902] ; [ 50.95291902 253.04708098],0
r3,1,0.384576,0.756022,[230  12] ; [330  12],[232.05479452   9.94520548] ; [327.94520548  14.05479452],0
a3,1,0.406518,0.688961,[183  62] ; [264  76],[187.20512821  57.79487179] ; [259.79487179  80.20512821],0
p1,1,0.430235,0.62219,[ 21 224] ; [ 36 306],[ 23.79045997 221.20954003] ; [ 33.20954003 308.79045997],0
a6,1,0.433766,0.61272,[172  72] ; [230 111],[167.67179487  76.32820513] ; [234.32820513 106.67179487],0
d3,1,0.449176,0.57273,[167  77] ; [244  98],[171.1331058  72.8668942] ; [239.8668942 102.1331058],0
a7,1,0.472359,0.516452,[171  74] ; [248  94],[174.88074957  70.11925043] ; [244.11925043  97.88074957],0
a5,1,0.588831,0.292174,[189  56] ; [271  72],[191.66666667  53.33333333] ; [268.33333333  74.66666667],0
s7,1,0.619932,0.245964,[128 107] ; [185 142],[130.88078292 104.11921708] ; [182.11921708 144.88078292],0
s3,1,0.670562,0.180945,[143  98] ; [194 143],[140.51384083 100.48615917] ; [196.48615917 140.51384083],0
d2,1,0.723303,0.12535,[125 118] ; [181 161],[127.10769231 115.89230769] ; [178.89230769 163.10769231],0
u2,1,0.850536,0.035508,[33 28] ; [44 35],[33.55 27.45] ; [43.45 35.55],0
n2,1,0.903336,0.01475,[49 15] ; [34 11],[48.73394495 15.26605505] ; [34.26605505 10.73394495],0
n3,1,0.931479,0.007393,[49 15] ; [34 10],[49.18518519 14.81481481] ; [33.81481481 10.18518519],0
b4,1,0.932431,0.007189,[142 103] ; [200 143],[142.5 102.5] ; [199.5 143.5],0
a4,1,0.955094,0.003171,[123 122] ; [172 169],[123.33617747 121.66382253] ; [171.66382253 169.33617747],0
a2,1,1.0,0.0,[ 65 180] ; [ 91 252],[ 65. 180.] ; [ 91. 252.],0
b1,1,1.0,0.0,[ 90 155] ; [126 217],[ 90. 155.] ; [126. 217.],0
