Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,2e-06,22.876847,[26 16] ; [17 70],[14. 28.] ; [29. 58.],1
p8,1,0.00316,8.712923,[16 26] ; [13 74],[ 9.44186047 32.55813953] ; [19.55813953 67.44186047],0
p6,1,0.004193,8.198235,[14 27] ; [11 76],[ 8.0078125 32.9921875] ; [16.9921875 70.0078125],0
s6,1,0.020418,5.375818,[31 10] ; [46 39],[25.05555556 15.94444444] ; [51.94444444 33.05555556],0
r4,1,0.022822,5.182037,[41  1] ; [73 14],[37.11627907  4.88372093] ; [76.88372093 10.11627907],0
n6,1,0.036037,4.395351,[35  7] ; [57 30],[29.95348837 12.04651163] ; [62.04651163 24.95348837],0
p9,1,0.036983,4.351208,[31 11] ; [47 39],[25.59375 16.40625] ; [52.40625 33.59375],0
b1,1,0.038288,4.29216,[15 27] ; [48 39],[20.51162791 21.48837209] ; [42.48837209 44.51162791],0
p11,1,0.044726,4.028943,[30 12] ; [46 41],[24.74418605 17.25581395] ; [51.25581395 35.74418605],0
d5,1,0.085535,2.956452,[34  8] ; [57 29],[29.859375 12.140625] ; [61.140625 24.859375],0
p10,1,0.093342,2.815774,[29 13] ; [46 40],[24.609375 17.390625] ; [50.390625 35.609375],0
u1,1,0.10746,2.591185,[10 32] ; [11 76],[ 6.8372093 35.1627907] ; [14.1627907 72.8372093],0
p5,1,0.111292,2.535778,[ 5 35] ; [ 4 82],[ 2.85714286 37.14285714] ; [ 6.14285714 79.85714286],0
s5,1,0.118709,2.434276,[14 24] ; [19 63],[10.45 27.55] ; [22.55 59.45],0
v4,1,0.122275,2.387939,[40  2] ; [75 12],[37.44186047  4.55813953] ; [77.55813953  9.44186047],0
s2,1,0.132549,2.262392,[23 18] ; [36 50],[19.04724409 21.95275591] ; [39.95275591 46.04724409],0
b3,1,0.146686,2.106384,[12 16] ; [14 38],[ 9.1 18.9] ; [16.9 35.1],0
b2,1,0.146686,2.106384,[12 16] ; [14 38],[ 9.1 18.9] ; [16.9 35.1],0
a5,1,0.187487,1.737257,[31 11] ; [54 33],[27.6744186 14.3255814] ; [57.3255814 29.6744186],0
v1,1,0.200133,1.641404,[20 20] ; [33 54],[16.69291339 23.30708661] ; [36.30708661 50.69291339],0
s8,1,0.209234,1.576718,[20 22] ; [31 55],[16.734375 25.265625] ; [34.265625 51.734375],0
d2,1,0.21145,1.56147,[23 19] ; [37 49],[19.6875 22.3125] ; [40.3125 45.6875],0
n3,1,0.220055,1.504011,[9 2] ; [21 13],[7.33333333 3.66666667] ; [22.66666667 11.33333333],0
s1,1,0.224023,1.478415,[ 2 39] ; [10 76],[ 3.87401575 37.12598425] ; [ 8.12598425 77.87401575],0
p12,1,0.227962,1.453535,[ 5 37] ; [ 5 81],[ 3.28125 38.71875] ; [ 6.71875 79.28125],0
p7,1,0.300399,1.07242,[16 25] ; [25 59],[13.448 27.552] ; [27.552 56.448],0
n1,1,0.341868,0.903413,[4 7] ; [20 18],[5.3877551 5.6122449] ; [18.6122449 19.3877551],0
a3,1,0.483047,0.491977,[25 17] ; [56 29],[26.78740157 15.21259843] ; [54.21259843 30.78740157],0
d1,1,0.483822,0.490236,[24 18] ; [44 43],[22.13953488 19.86046512] ; [45.86046512 41.13953488],0
s3,1,0.528681,0.396925,[23 19] ; [41 43],[21.33333333 20.66666667] ; [42.66666667 41.33333333],0
a7,1,0.594894,0.282766,[26 16] ; [58 29],[27.34883721 14.65116279] ; [56.65116279 30.34883721],0
a2,1,0.610904,0.258861,[ 8 34] ; [20 67],[ 9.11627907 32.88372093] ; [18.88372093 68.11627907],0
u2,1,0.614698,0.25339,[10  6] ; [17 14],[9.19148936 6.80851064] ; [17.80851064 13.19148936],0
s7,1,0.665271,0.187183,[18 21] ; [34 47],[16.9 22.1] ; [35.1 45.9],0
v3,1,0.673819,0.177167,[16 23] ; [30 51],[14.95 24.05] ; [31.05 49.95],0
a6,1,0.683824,0.165853,[26 16] ; [50 36],[24.9375 17.0625] ; [51.0625 34.9375],0
d4,1,0.71594,0.132416,[31 11] ; [66 20],[31.828125 10.171875] ; [65.171875 20.828125],0
u4,1,0.717198,0.131193,[ 2 40] ; [ 3 84],[ 1.62790698 40.37209302] ; [ 3.37209302 83.62790698],0
p1,1,0.717198,0.131193,[ 2 40] ; [ 3 84],[ 1.62790698 40.37209302] ; [ 3.37209302 83.62790698],0
s4,1,0.775514,0.081322,[ 9 32] ; [17 69],[ 8.39370079 32.60629921] ; [17.60629921 68.39370079],0
n2,1,0.784933,0.074472,[8 3] ; [26 12],[7.63265306 3.36734694] ; [26.36734694 11.63265306],0
a8,1,0.788812,0.071745,[ 4 35] ; [10 74],[ 4.43902439 34.56097561] ; [ 9.56097561 74.43902439],0
n4,1,0.792737,0.069042,[28 14] ; [60 27],[28.65116279 13.34883721] ; [59.34883721 27.65116279],0
v2,1,0.798536,0.065148,[22 19] ; [42 40],[21.33333333 19.66666667] ; [42.66666667 39.33333333],0
d3,1,0.812524,0.05625,[23 19] ; [49 37],[23.625 18.375] ; [48.375 37.625],0
u3,1,0.815163,0.054649,[11  6] ; [19 12],[10.625  6.375] ; [19.375 11.625],0
r2,1,0.816954,0.053576,[40  2] ; [82  5],[39.72093023  2.27906977] ; [82.27906977  4.72093023],0
n5,1,0.906038,0.013933,[27 15] ; [55 32],[26.69767442 15.30232558] ; [55.30232558 31.69767442],0
a1,1,0.958962,0.002648,[ 3 39] ; [ 6 81],[ 2.93023256 39.06976744] ; [ 6.06976744 80.93023256],0
b5,1,0.971807,0.001249,[24 18] ; [50 37],[24.09302326 17.90697674] ; [49.90697674 37.09302326],0
b4,1,0.971807,0.001249,[24 18] ; [50 37],[24.09302326 17.90697674] ; [49.90697674 37.09302326],0
a4,1,0.995301,3.5e-05,[20 22] ; [41 45],[20.015625 21.984375] ; [40.984375 45.015625],0
