Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n5,1,1.6e-05,18.638137,[31 33] ; [225  73],[45.25966851 18.74033149] ; [210.74033149  87.25966851],1
n4,1,0.000805,11.230606,[36 29] ; [227  72],[46.96428571 18.03571429] ; [216.03571429  82.96428571],1
r4,1,0.000899,11.025263,[48 17] ; [268  32],[56.2739726  8.7260274] ; [259.7260274  40.2739726],1
b1,1,0.005016,7.8737,[29 36] ; [ 81 219],[19.5890411 45.4109589] ; [ 90.4109589 209.5890411],0
r3,1,0.005821,7.60482,[58  7] ; [289   9],[62.13498623  2.86501377] ; [284.86501377  13.13498623],0
s5,1,0.006559,7.389973,[ 8 56] ; [ 84 206],[16.63276836 47.36723164] ; [ 75.36723164 214.63276836],0
p10,1,0.0081,7.011161,[43 22] ; [240  56],[50.95567867 14.04432133] ; [232.04432133  63.95567867],0
p9,1,0.021661,5.272813,[47 18] ; [248  46],[53.41225627 11.58774373] ; [241.58774373  52.41225627],0
r2,1,0.031985,4.599303,[53 10] ; [275  22],[57.4  5.6] ; [270.6  26.4],0
d1,1,0.034088,4.490275,[27 38] ; [168 132],[34.7260274 30.2739726] ; [160.2739726 139.7260274],0
v3,1,0.041665,4.14878,[13 49] ; [ 99 190],[19.78347578 42.21652422] ; [ 92.21652422 196.78347578],0
a5,1,0.045679,3.993395,[36 29] ; [205  95],[42.91780822 22.08219178] ; [198.08219178 101.91780822],0
a2,1,0.052152,3.770893,[ 6 59] ; [ 58 242],[11.39726027 53.60273973] ; [ 52.60273973 247.39726027],0
a4,1,0.067037,3.354111,[19 46] ; [124 175],[25.53571429 39.46428571] ; [117.46428571 181.53571429],0
u2,1,0.068018,3.330217,[19  7] ; [51 45],[14.91803279 11.08196721] ; [55.08196721 40.91803279],0
r1,1,0.077019,3.126701,[44 21] ; [234  66],[49.50684932 15.49315068] ; [228.49315068  71.50684932],0
n2,1,0.088162,2.907626,[20  2] ; [56 20],[17.06122449  4.93877551] ; [58.93877551 17.06122449],0
b2,1,0.100692,2.694552,[ 8 29] ; [ 63 114],[12.27570093 24.72429907] ; [ 58.72429907 118.27570093],0
b3,1,0.100692,2.694552,[ 8 29] ; [ 63 114],[12.27570093 24.72429907] ; [ 58.72429907 118.27570093],0
d2,1,0.111231,2.53664,[22 43] ; [133 165],[27.75482094 37.24517906] ; [127.24517906 170.75482094],0
s6,1,0.124686,2.357443,[34 31] ; [184 110],[39.47075209 25.52924791] ; [178.52924791 115.47075209],0
u3,1,0.12863,2.308957,[18  8] ; [51 46],[14.58536585 11.41463415] ; [54.41463415 42.58536585],0
s2,1,0.137833,2.20199,[23 41] ; [136 159],[28.3454039 35.6545961] ; [130.6545961 164.3454039],0
v4,1,0.149764,2.074651,[56  7] ; [280  18],[58.63711911  4.36288089] ; [277.36288089  20.63711911],0
u1,1,0.152608,2.04599,[ 4 61] ; [ 37 263],[ 7.30136986 57.69863014] ; [ 33.69863014 266.30136986],0
d4,1,0.154644,2.025835,[48 17] ; [244  55],[52.14285714 12.85714286] ; [239.85714286  59.14285714],0
n1,1,0.180602,1.792663,[10 10] ; [26 51],[ 7.42268041 12.57731959] ; [28.57731959 48.42268041],0
p2,1,0.201548,1.63112,[48 16] ; [245  54],[51.6584022 12.3415978] ; [241.3415978  57.6584022],0
s1,1,0.204054,1.613119,[ 3 59] ; [  6 287],[ 1.57183099 60.42816901] ; [  7.42816901 285.57183099],0
p6,1,0.210314,1.569265,[12 51] ; [ 79 218],[15.925 47.075] ; [ 75.075 221.925],0
d3,1,0.222152,1.490417,[40 25] ; [208  92],[44.16438356 20.83561644] ; [203.83561644  96.16438356],0
p8,1,0.222323,1.489313,[22 42] ; [125 168],[26.35294118 37.64705882] ; [120.64705882 172.35294118],0
a7,1,0.235594,1.406763,[41 24] ; [211  88],[45. 20.] ; [207.  92.],0
a3,1,0.235811,1.405465,[39 26] ; [203  97],[43.09589041 21.90410959] ; [198.90410959 101.09589041],0
a8,1,0.248893,1.329507,[ 6 54] ; [ 44 234],[ 8.87573964 51.12426036] ; [ 41.12426036 236.87573964],0
s7,1,0.25148,1.315065,[20 42] ; [117 175],[23.99435028 38.00564972] ; [113.00564972 178.99435028],0
a6,1,0.305403,1.050453,[39 26] ; [200 100],[42.56164384 22.43835616] ; [196.43835616 103.56164384],0
s8,1,0.333338,0.935887,[20 45] ; [111 188],[23.39285714 41.60714286] ; [107.60714286 191.39285714],0
d5,1,0.345393,0.890313,[46 19] ; [229  71],[48.97260274 16.02739726] ; [226.02739726  73.97260274],0
v1,1,0.349586,0.874959,[26 36] ; [142 151],[29.34084507 32.65915493] ; [138.65915493 154.34084507],0
p1,1,0.453647,0.561525,[ 2 62] ; [ 16 282],[ 3.18232044 60.81767956] ; [ 14.81767956 283.18232044],0
v2,1,0.485066,0.487453,[29 32] ; [149 135],[31.47246377 29.52753623] ; [146.52753623 137.47246377],0
b5,1,0.498188,0.458795,[43 22] ; [185 115],[40.60273973 24.39726027] ; [187.39726027 112.60273973],0
p7,1,0.610516,0.259424,[33 27] ; [148 140],[31.20689655 28.79310345] ; [149.79310345 138.20689655],0
s3,1,0.618563,0.247892,[34 29] ; [148 145],[32.20786517 30.79213483] ; [149.79213483 143.20786517],0
p12,1,0.674457,0.176432,[ 3 61] ; [ 18 280],[ 3.71270718 60.28729282] ; [ 17.28729282 280.71270718],0
p5,1,0.692155,0.156762,[ 4 60] ; [ 15 283],[ 3.35911602 60.64088398] ; [ 15.64088398 282.35911602],0
s4,1,0.817843,0.053047,[ 9 56] ; [ 44 250],[ 9.59610028 55.40389972] ; [ 43.40389972 250.59610028],0
p4,1,0.910159,0.012732,[24 40] ; [114 184],[24.39779006 39.60220994] ; [113.60220994 184.39779006],0
n3,1,0.928662,0.008015,[16  6] ; [56 20],[16.16326531  5.83673469] ; [55.83673469 20.16326531],0
u4,1,0.941252,0.005431,[ 1 64] ; [  5 295],[ 1.06849315 63.93150685] ; [  4.93150685 295.06849315],0
b4,1,0.944614,0.004826,[40 25] ; [186 114],[40.24657534 24.75342466] ; [185.75342466 114.24657534],0
a1,1,0.973765,0.001082,[ 2 63] ; [  9 291],[ 1.95890411 63.04109589] ; [  9.04109589 290.95890411],0
