Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,51.456401,[239  97] ; [111 153],[196. 140.] ; [154. 110.],1
v3,1,0.0,37.555335,[180 158] ; [ 76 191],[143.0214876 194.9785124] ; [112.9785124 154.0214876],1
p4,1,8e-06,20.014147,[242 103] ; [143 129],[215.27552674 129.72447326] ; [169.72447326 102.27552674],1
n5,1,1.1e-05,19.321422,[305  42] ; [201  70],[284.11326861  62.88673139] ; [221.88673139  49.11326861],1
s8,1,0.000107,15.000276,[179 165] ; [ 99 173],[155.24675325 188.75324675] ; [122.75324675 149.24675325],1
p6,1,0.000141,14.494705,[156 183] ; [ 84 188],[133.15875614 205.84124386] ; [106.84124386 165.15875614],1
p9,1,0.000239,13.493322,[320  23] ; [226  43],[306.00980392  36.99019608] ; [239.99019608  29.00980392],1
p7,1,0.000271,13.260494,[246  90] ; [158 109],[225.11442786 110.88557214] ; [178.88557214  88.11442786],1
p3,1,0.000347,12.796,[204 142] ; [121 151],[181.9579288 164.0420712] ; [143.0420712 128.9579288],1
p10,1,0.000553,11.928705,[314  28] ; [223  47],[300.08823529  41.91176471] ; [236.91176471  33.08823529],1
a3,1,0.000767,11.31879,[269  77] ; [179  94],[250.41680129  95.58319871] ; [197.58319871  75.41680129],1
n4,1,0.00204,9.512884,[300  47] ; [210  63],[285.43548387  61.56451613] ; [224.56451613  48.43548387],0
a5,1,0.002288,9.302675,[275  72] ; [187  86],[258.57096774  88.42903226] ; [203.42903226  69.57096774],0
p8,1,0.003307,8.629684,[214 124] ; [139 131],[196.24013158 141.75986842] ; [156.75986842 113.24013158],0
d1,1,0.004493,8.073083,[224 123] ; [146 128],[206.74718196 140.25281804] ; [163.25281804 110.74718196],0
r1,1,0.00548,7.71397,[293  54] ; [207  67],[279.38808374  67.61191626] ; [220.61191626  53.38808374],0
p5,1,0.009739,6.681956,[ 56 288] ; [ 25 247],[ 45.23376623 298.76623377] ; [ 35.76623377 236.23376623],0
b5,1,0.010162,6.606286,[213 134] ; [140 134],[197.24798712 149.75201288] ; [155.75201288 118.24798712],0
d5,1,0.010593,6.532417,[291  55] ; [208  66],[278.47419355  67.52580645] ; [220.52580645  53.47419355],0
u4,1,0.011691,6.3571,[ 11 336] ; [  1 273],[  6.70531401 340.29468599] ; [  5.29468599 268.70531401],0
r4,1,0.012373,6.256634,[327  20] ; [243  31],[318.50241546  28.49758454] ; [251.49758454  22.50241546],0
s2,1,0.012928,6.178893,[188 153] ; [122 149],[172.72875817 168.27124183] ; [137.27124183 133.72875817],0
b3,1,0.013072,6.159312,[105 133] ; [ 49 106],[ 93.26208651 144.73791349] ; [60.73791349 94.26208651],0
b2,1,0.013072,6.159312,[105 133] ; [ 49 106],[ 93.26208651 144.73791349] ; [60.73791349 94.26208651],0
d4,1,0.014418,5.986208,[297  49] ; [213  59],[285.53398058  60.46601942] ; [224.46601942  47.53398058],0
u1,1,0.014578,5.966744,[ 76 271] ; [ 39 235],[ 64.25925926 282.74074074] ; [ 50.74074074 223.25925926],0
s6,1,0.016917,5.704919,[244  97] ; [166 100],[230.32948929 110.67051071] ; [179.67051071  86.32948929],0
a4,1,0.021517,5.284421,[171 174] ; [110 163],[156.86893204 188.13106796] ; [124.13106796 148.86893204],0
v4,1,0.024898,5.030938,[337   9] ; [255  17],[331.4433657  14.5566343] ; [260.5566343  11.4433657],0
s5,1,0.031097,4.647588,[133 202] ; [ 82 181],[120.44314381 214.55685619] ; [ 94.55685619 168.44314381],0
s7,1,0.031372,4.632502,[178 153] ; [119 146],[164.94463087 166.05536913] ; [132.05536913 132.94463087],0
r2,1,0.034149,4.487235,[330  13] ; [251  21],[324.03739837  18.96260163] ; [256.96260163  15.03739837],0
u3,1,0.035922,4.400805,[49 29] ; [44 50],[42.1744186 35.8255814] ; [50.8255814 43.1744186],0
p2,1,0.045653,3.994341,[307  38] ; [227  45],[298.58995138  46.41004862] ; [235.41004862  36.58995138],0
a2,1,0.050703,3.818048,[ 93 254] ; [ 55 219],[ 82.69887279 264.30112721] ; [ 65.30112721 208.69887279],0
d3,1,0.072076,3.235104,[252  95] ; [180  93],[241.78064516 105.21935484] ; [190.21935484  82.78064516],0
d2,1,0.099467,2.714063,[177 169] ; [121 151],[166.84142395 179.15857605] ; [131.15857605 140.84142395],0
n1,1,0.127534,2.322268,[22 30] ; [20 49],[18.04958678 33.95041322] ; [23.95041322 45.04958678],0
a7,1,0.156123,2.011383,[257  89] ; [188  84],[249.14239482  96.85760518] ; [195.85760518  76.14239482],0
a8,1,0.215746,1.532446,[ 51 262] ; [ 32 222],[ 45.81834215 267.18165785] ; [ 37.18165785 216.81834215],0
n2,1,0.2324,1.426111,[41 11] ; [47 21],[38.13333333 13.86666667] ; [49.86666667 18.13333333],0
r3,1,0.314295,1.012539,[337   9] ; [261  11],[334.802589  11.197411] ; [263.197411   8.802589],0
s3,1,0.315863,1.005999,[194 146] ; [142 126],[187.89473684 152.10526316] ; [148.10526316 119.89473684],0
u2,1,0.38516,0.754169,[45 33] ; [48 46],[42.1744186 35.8255814] ; [50.8255814 43.1744186],0
s4,1,0.390111,0.738596,[ 52 289] ; [ 48 221],[ 55.90163934 285.09836066] ; [ 44.09836066 224.90163934],0
a6,1,0.403903,0.696674,[244 102] ; [184  89],[239.23747981 106.76252019] ; [188.76252019  84.23747981],0
p12,1,0.408274,0.683821,[ 36 308] ; [ 23 248],[ 33.00162602 310.99837398] ; [ 25.99837398 245.00162602],0
n3,1,0.670519,0.180995,[38 14] ; [52 16],[39. 13.] ; [51. 17.],0
p1,1,0.733431,0.115985,[ 32 313] ; [ 23 248],[ 30.80357143 314.19642857] ; [ 24.19642857 246.80357143],0
a1,1,0.760594,0.092842,[ 17 330] ; [ 12 262],[ 16.20450886 330.79549114] ; [ 12.79549114 261.20450886],0
s1,1,0.799654,0.064412,[  9 334] ; [  8 262],[  9.51223491 333.48776509] ; [  7.48776509 262.51223491],0
b4,1,0.881674,0.022155,[211 136] ; [165 109],[210.09983897 136.90016103] ; [165.90016103 108.09983897],0
b1,1,0.938235,0.006005,[115 232] ; [ 90 184],[114.54911433 232.45088567] ; [ 90.45088567 183.54911433],0
