Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,33.619247,[117  10] ; [4 8],[110.55395683  16.44604317] ; [10.44604317  1.55395683],1
v4,1,0.0,26.628153,[122   4] ; [7 5],[117.7826087   8.2173913] ; [11.2173913  0.7826087],1
r1,1,1e-06,25.086261,[97 29] ; [ 1 11],[89.47826087 36.52173913] ; [8.52173913 3.47826087],1
d5,1,0.000188,13.948787,[102  24] ; [4 8],[96.7826087 29.2173913] ; [9.2173913 2.7826087],1
r3,1,0.000938,10.94577,[123   4] ; [9 3],[120.60431655   6.39568345] ; [11.39568345  0.60431655],1
a7,1,0.00197,9.577187,[101  24] ; [5 7],[96.71532847 28.28467153] ; [9.28467153 2.71532847],0
s3,1,0.012995,6.169841,[102  24] ; [6 6],[98.60869565 27.39130435] ; [9.39130435 2.60869565],0
a1,1,0.027643,4.850219,[  4 123] ; [ 2 10],[  5.48201439 121.51798561] ; [ 0.51798561 11.48201439],0
u3,1,0.037142,4.343891,[33 21] ; [1 5],[30.6 23.4] ; [3.4 2.6],0
p4,1,0.039426,4.242421,[66 60] ; [10  2],[69.39130435 56.60869565] ; [6.60869565 5.39130435],0
p9,1,0.047265,3.935915,[102  22] ; [7 5],[99.38235294 24.61764706] ; [9.61764706 2.38235294],0
p2,1,0.068783,3.311825,[101  24] ; [7 5],[98.54014599 26.45985401] ; [9.45985401 2.54014599],0
b5,1,0.132147,2.267096,[78 49] ; [10  2],[80.4028777 46.5971223] ; [7.5971223 4.4028777],0
p5,1,0.139388,2.184706,[  7 118] ; [ 2 10],[  8.21167883 116.78832117] ; [ 0.78832117 11.21167883],0
s5,1,0.166803,1.911444,[45 78] ; [ 2 10],[42.82222222 80.17777778] ; [4.17777778 7.82222222],0
v3,1,0.181708,1.783602,[43 77] ; [ 2 10],[40.90909091 79.09090909] ; [4.09090909 7.90909091],0
d3,1,0.183382,1.769999,[81 45] ; [10  2],[83.08695652 42.91304348] ; [7.91304348 4.08695652],0
p10,1,0.184299,1.762613,[103  22] ; [8 4],[101.27737226  23.72262774] ; [9.72262774 2.27737226],0
a5,1,0.23842,1.38991,[85 42] ; [6 6],[83.14388489 43.85611511] ; [7.85611511 4.14388489],0
n5,1,0.272227,1.20549,[83 43] ; [6 6],[81.26086957 44.73913043] ; [7.73913043 4.26086957],0
b1,1,0.289428,1.122281,[44 83] ; [6 6],[45.68345324 81.31654676] ; [4.31654676 7.68345324],0
s4,1,0.314639,1.0111,[25 98] ; [ 1 11],[23.68888889 99.31111111] ; [2.31111111 9.68888889],0
d2,1,0.317679,0.998478,[50 76] ; [3 9],[48.39130435 77.60869565] ; [4.60869565 7.39130435],0
s8,1,0.332328,0.939804,[38 89] ; [ 2 10],[36.54676259 90.45323741] ; [3.45323741 8.54676259],0
n2,1,0.337623,0.919438,[23  6] ; [1 1],[22.4516129  6.5483871] ; [1.5483871 0.4516129],0
d1,1,0.37153,0.798539,[70 57] ; [5 7],[68.52517986 58.47482014] ; [6.47482014 5.52517986],0
n4,1,0.375772,0.784487,[80 47] ; [6 6],[78.57553957 48.42446043] ; [7.42446043 4.57553957],0
a8,1,0.394055,0.726392,[ 12 109] ; [2 9],[ 12.83333333 108.16666667] ; [1.16666667 9.83333333],0
a4,1,0.499591,0.455805,[44 83] ; [3 9],[42.94244604 84.05755396] ; [4.05755396 7.94244604],0
p7,1,0.533575,0.387578,[70 52] ; [8 4],[71.01492537 50.98507463] ; [6.98507463 5.01492537],0
b4,1,0.617026,0.25007,[73 54] ; [6 6],[72.17985612 54.82014388] ; [6.82014388 5.17985612],0
n3,1,0.630872,0.23088,[20 10] ; [1 1],[19.6875 10.3125] ; [1.3125 0.6875],0
a3,1,0.694036,0.154751,[71 56] ; [6 6],[70.35251799 56.64748201] ; [6.64748201 5.35251799],0
p11,1,0.763388,0.090622,[100  27] ; [9 3],[99.58992806 27.41007194] ; [9.41007194 2.58992806],0
n6,1,0.785591,0.074006,[98 27] ; [9 3],[97.62773723 27.37226277] ; [9.37226277 2.62773723],0
p8,1,0.812145,0.056482,[57 69] ; [5 7],[56.60869565 69.39130435] ; [5.39130435 6.60869565],0
d4,1,0.814023,0.055338,[109  18] ; [10  2],[108.72661871  18.27338129] ; [10.27338129  1.72661871],0
p6,1,0.847382,0.037041,[38 86] ; [4 8],[38.29411765 85.70588235] ; [3.70588235 8.29411765],0
v1,1,0.870738,0.026478,[64 58] ; [6 6],[63.73134328 58.26865672] ; [6.26865672 5.73134328],0
p12,1,0.892692,0.018198,[ 12 114] ; [ 1 11],[ 11.86956522 114.13043478] ; [ 1.13043478 10.86956522],0
u2,1,0.898924,0.016134,[29 26] ; [3 3],[28.85245902 26.14754098] ; [3.14754098 2.85245902],0
s6,1,0.963691,0.002072,[93 32] ; [9 3],[93.06569343 31.93430657] ; [8.93430657 3.06569343],0
v2,1,0.977504,0.000795,[59 58] ; [6 6],[58.95348837 58.04651163] ; [6.04651163 5.95348837],0
p3,1,0.97877,0.000708,[53 73] ; [5 7],[52.95652174 73.04347826] ; [5.04347826 6.95652174],0
a6,1,0.985264,0.000341,[85 42] ; [8 4],[84.97122302 42.02877698] ; [8.02877698 3.97122302],0
