Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,7e-06,20.188674,[17 29] ; [50 13],[28.27522936 17.72477064] ; [38.72477064 24.27522936],1
d3,1,2.2e-05,17.994467,[14 32] ; [45 18],[24.89908257 21.10091743] ; [34.10091743 28.89908257],1
a2,1,0.001807,9.735443,[ 1 45] ; [15 49],[ 6.69090909 39.30909091] ; [ 9.30909091 54.69090909],0
u1,1,0.001807,9.735443,[ 1 45] ; [15 49],[ 6.69090909 39.30909091] ; [ 9.30909091 54.69090909],0
d1,1,0.001983,9.565217,[15 31] ; [40 24],[23. 23.] ; [32. 32.],0
n4,1,0.002501,9.140038,[26 20] ; [53 11],[33.03636364 12.96363636] ; [45.96363636 18.03636364],0
d4,1,0.011452,6.393805,[28 18] ; [52 11],[33.76146789 12.23853211] ; [46.23853211 16.76146789],0
p10,1,0.03047,4.682585,[28 18] ; [51 13],[33.03636364 12.96363636] ; [45.96363636 18.03636364],0
v3,1,0.046015,3.981047,[11 33] ; [26 33],[15.80582524 28.19417476] ; [21.19417476 37.80582524],0
n6,1,0.046144,3.976344,[33 13] ; [54  8],[37.05555556  8.94444444] ; [49.94444444 12.05555556],0
a5,1,0.046823,3.951753,[23 23] ; [44 20],[28.01818182 17.98181818] ; [38.98181818 25.01818182],0
p8,1,0.048514,3.892097,[ 8 38] ; [22 42],[12.54545455 33.45454545] ; [17.45454545 46.54545455],0
n3,1,0.062749,3.463203,[13  3] ; [8 8],[10.5  5.5] ; [10.5  5.5],0
v2,1,0.066968,3.355821,[17 24] ; [36 24],[21.51485149 19.48514851] ; [31.48514851 28.51485149],0
p3,1,0.071243,3.254153,[12 34] ; [27 36],[16.4587156 29.5412844] ; [22.5412844 40.4587156],0
d5,1,0.097417,2.747336,[25 21] ; [44 19],[29.11926606 16.88073394] ; [39.88073394 23.11926606],0
b5,1,0.10016,2.702991,[23 23] ; [42 22],[27.18181818 18.81818182] ; [37.81818182 26.18181818],0
