Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,4e-06,21.083749,[16 90] ; [15 11],[24.89393939 81.10606061] ; [ 6.10606061 19.89393939],1
p7,1,1.1e-05,19.312986,[24 77] ; [18  8],[33.4015748 67.5984252] ; [ 8.5984252 17.4015748],1
s6,1,0.000329,12.900112,[55 49] ; [23  2],[62.88372093 41.11627907] ; [15.11627907  9.88372093],1
p3,1,0.001296,10.34795,[28 78] ; [15 10],[34.79389313 71.20610687] ; [ 8.20610687 16.79389313],0
p4,1,0.004193,8.198235,[27 76] ; [14 11],[32.9921875 70.0078125] ; [ 8.0078125 16.9921875],0
v1,1,0.004295,8.154864,[36 68] ; [17  9],[42.4 61.6] ; [10.6 15.4],0
s2,1,0.006323,7.455837,[41 63] ; [18  8],[47.2 56.8] ; [11.8 14.2],0
s5,1,0.009123,6.798642,[23 76] ; [12 12],[28.17073171 70.82926829] ; [ 6.82926829 17.17073171],0
p9,1,0.017211,5.674711,[58 47] ; [21  5],[63.32061069 41.67938931] ; [15.67938931 10.32061069],0
p5,1,0.028743,4.782922,[ 6 97] ; [ 5 21],[ 8.78294574 94.21705426] ; [ 2.21705426 23.78294574],0
s7,1,0.032422,4.576043,[37 60] ; [16 10],[41.79674797 55.20325203] ; [11.20325203 14.79674797],0
s8,1,0.03379,4.505277,[37 69] ; [14 10],[41.58461538 64.41538462] ; [ 9.41538462 14.58461538],0
v2,1,0.043309,4.083285,[47 53] ; [18  8],[51.58730159 48.41269841] ; [13.41269841 12.58730159],0
n6,1,0.044891,4.022714,[72 34] ; [22  3],[76.0610687 29.9389313] ; [17.9389313  7.0610687],0
b2,1,0.054824,3.687445,[19 48] ; [9 8],[22.33333333 44.66666667] ; [ 5.66666667 11.33333333],0
b3,1,0.054824,3.687445,[19 48] ; [9 8],[22.33333333 44.66666667] ; [ 5.66666667 11.33333333],0
b5,1,0.08882,2.895625,[58 48] ; [19  7],[61.83333333 44.16666667] ; [15.16666667 10.83333333],0
