Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,1e-06,23.351759,[ 94 179] ; [48 25],[112.04046243 160.95953757] ; [29.95953757 43.04046243],1
s6,1,4.8e-05,16.519842,[136 133] ; [55 16],[151.11470588 117.88529412] ; [39.88529412 31.11470588],1
s7,1,0.000406,12.505824,[ 87 174] ; [40 31],[ 99.84036145 161.15963855] ; [27.15963855 43.84036145],1
s5,1,0.000571,11.867693,[ 66 204] ; [31 37],[ 77.4852071 192.5147929] ; [19.5147929 48.4852071],1
a8,1,0.000913,10.9967,[ 41 214] ; [ 1 72],[ 32.65243902 222.34756098] ; [ 9.34756098 63.65243902],1
s3,1,0.007163,7.231747,[128 143] ; [48 26],[138.24927536 132.75072464] ; [37.75072464 36.24927536],0
p6,1,0.033031,4.544195,[ 75 196] ; [30 44],[ 82.47826087 188.52173913] ; [22.52173913 51.47826087],0
u3,1,0.03459,4.46528,[47 55] ; [21 10],[52.15037594 49.84962406] ; [15.84962406 15.15037594],0
b3,1,0.0506,3.821452,[ 61 100] ; [10 35],[ 55.49029126 105.50970874] ; [15.50970874 29.49029126],0
b2,1,0.0506,3.821452,[ 61 100] ; [10 35],[ 55.49029126 105.50970874] ; [15.50970874 29.49029126],0
p4,1,0.057212,3.616424,[132 141] ; [45 29],[139.25360231 133.74639769] ; [37.74639769 36.25360231],0
s8,1,0.074652,3.177643,[ 84 188] ; [31 43],[ 90.40462428 181.59537572] ; [24.59537572 49.40462428],0
d4,1,0.092142,2.836544,[208  66] ; [49 25],[202.35057471  71.64942529] ; [54.64942529 19.35057471],0
p3,1,0.107395,2.592137,[101 172] ; [35 39],[106.99711816 166.00288184] ; [29.00288184 44.99711816],0
a1,1,0.132913,2.258143,[ 15 259] ; [ 1 73],[ 12.59770115 261.40229885] ; [ 3.40229885 70.59770115],0
p2,1,0.203447,1.617452,[210  63] ; [62 12],[213.99423631  59.00576369] ; [58.00576369 15.99423631],0
p1,1,0.228649,1.449246,[ 21 251] ; [ 9 65],[ 23.58381503 248.41618497] ; [ 6.41618497 67.58381503],0
p5,1,0.257058,1.284532,[ 26 245] ; [ 4 70],[ 23.56521739 247.43478261] ; [ 6.43478261 67.56521739],0
n2,1,0.274189,1.195671,[54 34] ; [19  7],[56.35087719 31.64912281] ; [16.64912281  9.35087719],0
n4,1,0.303333,1.059484,[187  86] ; [46 28],[183.31123919  89.68876081] ; [49.68876081 24.31123919],0
p8,1,0.30533,1.050767,[121 150] ; [38 36],[124.89565217 146.10434783] ; [34.10434783 39.89565217],0
d3,1,0.314805,1.01041,[158 115] ; [47 26],[161.74855491 111.25144509] ; [43.25144509 29.74855491],0
v4,1,0.319235,0.992078,[240  34] ; [67  6],[242.41498559  31.58501441] ; [64.58501441  8.41498559],0
b1,1,0.335496,0.927567,[117 157] ; [27 47],[113.37931034 160.62068966] ; [30.62068966 43.37931034],0
v1,1,0.36849,0.808749,[ 83 185] ; [27 47],[ 86.19883041 181.80116959] ; [23.80116959 50.19883041],0
p10,1,0.398005,0.714346,[187  83] ; [55 19],[189.94186047  80.05813953] ; [52.05813953 21.94186047],0
s1,1,0.412054,0.672867,[ 12 259] ; [ 5 69],[ 13.35362319 257.64637681] ; [ 3.64637681 70.35362319],0
a3,1,0.468376,0.525804,[170 101] ; [43 31],[167.31304348 103.68695652] ; [45.68695652 28.31304348],0
