Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d5,1,0.010934,6.476,[9 7] ; [655 149],[12.95609756  3.04390244] ; [651.04390244 152.95609756],0
n1,1,0.014554,5.96971,[7 2] ; [ 61 104],[3.51724138 5.48275862] ; [ 64.48275862 100.51724138],0
p11,1,0.017443,5.651205,[9 7] ; [649 159],[12.77669903  3.22330097] ; [645.22330097 162.77669903],0
p2,1,0.027397,4.865634,[10  6] ; [669 133],[13.28117359  2.71882641] ; [665.71882641 136.28117359],0
d4,1,0.039271,4.249085,[10  6] ; [663 141],[13.13170732  2.86829268] ; [659.86829268 144.13170732],0
s1,1,0.045506,3.99977,[ 2 14] ; [ 26 768],[ 0.55308642 15.44691358] ; [ 27.44691358 766.55308642],0
a4,1,0.047422,3.930336,[ 3 12] ; [368 437],[6.78658537 8.21341463] ; [364.21341463 440.78658537],0
b4,1,0.060847,3.514142,[13  3] ; [468 340],[9.33980583 6.66019417] ; [471.66019417 336.33980583],0
s5,1,0.073448,3.204239,[9 7] ; [268 505],[ 5.61723701 10.38276299] ; [271.38276299 501.61723701],0
p7,1,0.073757,3.197375,[7 9] ; [512 272],[10.38  5.62] ; [508.62 275.38],0
a2,1,0.087907,2.912287,[ 1 15] ; [200 608],[ 3.90291262 12.09708738] ; [197.09708738 610.90291262],0
d3,1,0.089209,2.888591,[8 8] ; [561 243],[11.10243902  4.89756098] ; [557.89756098 246.10243902],0
a6,1,0.099027,2.72115,[8 8] ; [557 247],[11.02439024  4.97560976] ; [553.97560976 250.02439024],0
b1,1,0.10757,2.589567,[9 7] ; [296 512],[ 5.9223301 10.0776699] ; [299.0776699 508.9223301],0
p8,1,0.116168,2.468237,[11  4] ; [419 373],[7.99256506 7.00743494] ; [422.00743494 369.99256506],0
p1,1,0.156741,2.005391,[ 3 13] ; [ 69 732],[ 1.41003672 14.58996328] ; [ 70.58996328 730.41003672],0
p10,1,0.173874,1.84922,[11  5] ; [652 143],[13.08014797  2.91985203] ; [649.91985203 145.08014797],0
v2,1,0.190323,1.715112,[6 9] ; [440 333],[8.48984772 6.51015228] ; [437.51015228 335.48984772],0
u1,1,0.204008,1.613448,[ 1 15] ; [151 657],[ 2.95145631 13.04854369] ; [149.04854369 658.95145631],0
n5,1,0.241634,1.371034,[14  2] ; [599 203],[11.99022005  4.00977995] ; [601.00977995 200.99022005],0
u3,1,0.319449,0.991201,[2 3] ; [143  88],[3.0720339 1.9279661] ; [141.9279661  89.0720339],0
n4,1,0.327086,0.9604,[14  2] ; [621 184],[12.37515225  3.62484775] ; [622.62484775 182.37515225],0
n6,1,0.337154,0.921223,[15  1] ; [684 119],[13.65567766  2.34432234] ; [685.34432234 117.65567766],0
s6,1,0.340573,0.908275,[12  3] ; [541 249],[10.30434783  4.69565217] ; [542.69565217 247.30434783],0
n2,1,0.343868,0.895956,[8 1] ; [126  42],[6.81355932 2.18644068] ; [127.18644068  40.81355932],0
b2,1,0.35634,0.850751,[3 9] ; [185 301],[4.53012048 7.46987952] ; [183.46987952 302.53012048],0
b3,1,0.35634,0.850751,[3 9] ; [185 301],[4.53012048 7.46987952] ; [183.46987952 302.53012048],0
p5,1,0.362621,0.828794,[ 3 13] ; [ 91 707],[ 1.84766585 14.15233415] ; [ 92.15233415 705.84766585],0
v1,1,0.372946,0.793826,[7 9] ; [433 355],[8.75621891 7.24378109] ; [431.24378109 356.75621891],0
d2,1,0.377636,0.778382,[ 6 10] ; [391 413],[7.74634146 8.25365854] ; [389.25365854 414.74634146],0
p4,1,0.39414,0.726133,[8 8] ; [483 315],[9.65110565 6.34889435] ; [481.34889435 316.65110565],0
u2,1,0.413288,0.669321,[2 3] ; [134  96],[2.89361702 2.10638298] ; [133.10638298  96.89361702],0
d1,1,0.460807,0.543934,[8 8] ; [478 330],[9.4368932 6.5631068] ; [476.5631068 331.4368932],0
b5,1,0.523249,0.407484,[11  5] ; [492 316],[9.76699029 6.23300971] ; [493.23300971 314.76699029],0
p12,1,0.530318,0.393782,[ 2 14] ; [ 65 733],[ 1.31695332 14.68304668] ; [ 65.68304668 732.31695332],0
s8,1,0.54032,0.374946,[8 7] ; [364 438],[6.82986536 8.17013464] ; [365.17013464 436.82986536],0
v3,1,0.542681,0.370593,[ 5 10] ; [318 455],[6.14847716 8.85152284] ; [316.85152284 456.14847716],0
