Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,87.116402,[ 6 37] ; [212  45],[31.24666667 11.75333333] ; [186.75333333  70.24666667],1
r3,1,0.0,54.328168,[19 23] ; [232  25],[35.25752508  6.74247492] ; [215.74247492  41.25752508],1
r2,1,0.0,50.39918,[20 20] ; [234  21],[34.44067797  5.55932203] ; [219.55932203  35.44067797],1
p2,1,0.0,36.68878,[13 29] ; [197  59],[29.59731544 12.40268456] ; [180.40268456  75.59731544],1
r1,1,0.0,29.078714,[13 30] ; [185  71],[28.47491639 14.52508361] ; [169.52508361  86.47491639],1
n6,1,0.0,27.650401,[15 26] ; [197  60],[29.16778523 11.83221477] ; [182.83221477  74.16778523],1
p11,1,1e-06,24.361723,[16 27] ; [192  65],[29.81333333 13.18666667] ; [178.18666667  78.81333333],1
s1,1,9e-06,19.613857,[ 7 36] ; [  5 251],[ 1.72575251 41.27424749] ; [ 10.27424749 245.72575251],1
p10,1,1.2e-05,19.190721,[14 27] ; [177  78],[26.45608108 14.54391892] ; [164.54391892  90.45608108],1
v2,1,0.000163,14.21018,[ 8 34] ; [124 122],[19.25 22.75] ; [112.75 133.25],1
p8,1,0.000272,13.252937,[ 7 35] ; [118 135],[17.79661017 24.20338983] ; [107.20338983 145.79661017],1
u3,1,0.000411,12.480776,[ 1 18] ; [42 43],[ 7.85576923 11.14423077] ; [35.14423077 49.85576923],1
p9,1,0.000429,12.40137,[18 22] ; [184  69],[27.57679181 12.42320819] ; [174.42320819  78.57679181],1
p7,1,0.000878,11.068641,[12 31] ; [140 113],[22.08108108 20.91891892] ; [129.91891892 123.08108108],1
a1,1,0.001812,9.730592,[ 6 37] ; [  8 249],[ 2.00666667 40.99333333] ; [ 11.99333333 245.00666667],0
d3,1,0.002488,9.149048,[17 26] ; [163  92],[25.97315436 17.02684564] ; [154.02684564 100.97315436],0
p4,1,0.002995,8.810694,[ 9 34] ; [114 139],[17.86824324 25.13175676] ; [105.13175676 147.86824324],0
p6,1,0.003426,8.565716,[ 2 39] ; [ 64 187],[ 9.26712329 31.73287671] ; [ 56.73287671 194.26712329],0
d5,1,0.003794,8.380069,[22 21] ; [187  69],[30.05685619 12.94314381] ; [178.94314381  77.05685619],0
a7,1,0.005503,7.706117,[21 22] ; [180  76],[28.90635452 14.09364548] ; [172.09364548  83.90635452],0
u2,1,0.00749,7.15148,[ 3 16] ; [42 43],[ 8.22115385 10.77884615] ; [36.77884615 48.22115385],0
a6,1,0.009843,6.663047,[20 23] ; [172  85],[27.52 15.48] ; [164.48  92.52],0
p3,1,0.012983,6.171423,[ 8 35] ; [ 97 157],[15.2020202 27.7979798] ; [ 89.7979798 164.2020202],0
b5,1,0.017921,5.603888,[18 25] ; [157 100],[25.08333333 17.91666667] ; [149.91666667 107.08333333],0
v3,1,0.023439,5.135654,[ 7 36] ; [ 83 164],[13.34482759 29.65517241] ; [ 76.65517241 170.34482759],0
d1,1,0.036031,4.395619,[14 29] ; [128 129],[20.35333333 22.64666667] ; [121.64666667 135.35333333],0
