Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,9.1e-05,15.3125,[31  9] ; [ 5 15],[24. 16.] ; [12.  8.],1
p10,1,0.000151,14.354067,[32  8] ; [ 6 14],[25.33333333 14.66666667] ; [12.66666667  7.33333333],1
p9,1,0.006007,7.548139,[32  8] ; [ 9 11],[27.33333333 12.66666667] ; [13.66666667  6.33333333],0
n5,1,0.008,7.033493,[30 10] ; [ 8 12],[25.33333333 14.66666667] ; [12.66666667  7.33333333],0
n6,1,0.017111,5.684967,[34  5] ; [12  8],[30.40677966  8.59322034] ; [15.59322034  4.40677966],0
v4,1,0.022912,5.175202,[38  2] ; [15  5],[35.33333333  4.66666667] ; [17.66666667  2.33333333],0
s8,1,0.02767,4.848485,[22 18] ; [ 5 15],[18. 22.] ; [ 9. 11.],0
r4,1,0.050044,3.84,[36  4] ; [14  6],[33.33333333  6.66666667] ; [16.66666667  3.33333333],0
b4,1,0.065447,3.393665,[26 14] ; [ 8 12],[22.66666667 17.33333333] ; [11.33333333  8.66666667],0
n2,1,0.088676,2.898254,[9 1] ; [5 4],[7.36842105 2.63157895] ; [6.63157895 2.36842105],0
p6,1,0.106309,2.608258,[16 23] ; [ 4 16],[13.22033898 25.77966102] ; [ 6.77966102 13.22033898],0
a2,1,0.125047,2.352941,[ 4 36] ; [ 5 15],[ 6. 34.] ; [ 3. 17.],0
r2,1,0.155079,2.021563,[37  3] ; [16  4],[35.33333333  4.66666667] ; [17.66666667  2.33333333],0
v1,1,0.169136,1.890586,[20 17] ; [ 7 13],[17.52631579 19.47368421] ; [ 9.47368421 10.52631579],0
p7,1,0.169983,1.883096,[21 18] ; [ 7 13],[18.50847458 20.49152542] ; [ 9.49152542 10.50847458],0
r3,1,0.186449,1.745455,[38  2] ; [17  3],[36.66666667  3.33333333] ; [18.33333333  1.66666667],0
p3,1,0.197213,1.662896,[25 15] ; [ 9 11],[22.66666667 17.33333333] ; [11.33333333  8.66666667],0
p1,1,0.208912,1.578947,[ 1 39] ; [ 2 18],[ 2. 38.] ; [ 1. 19.],0
r1,1,0.231998,1.428571,[30 10] ; [12  8],[28. 12.] ; [14.  6.],0
p5,1,0.24062,1.376956,[ 6 31] ; [ 1 18],[ 4.625 32.375] ; [ 2.375 16.625],0
