Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,2e-06,23.142857,[ 1 24] ; [23 12],[10. 15.] ; [14. 21.],1
d4,1,2.9e-05,17.498672,[ 8 17] ; [29  5],[15.6779661  9.3220339] ; [21.3220339 12.6779661],1
v2,1,0.004037,8.267294,[ 3 21] ; [17 18],[ 8.13559322 15.86440678] ; [11.86440678 23.13559322],0
d3,1,0.007728,7.095503,[ 7 18] ; [22 13],[12.08333333 12.91666667] ; [16.91666667 18.08333333],0
a5,1,0.010645,6.523594,[ 6 19] ; [20 15],[10.83333333 14.16666667] ; [15.16666667 19.83333333],0
a4,1,0.012759,6.202208,[ 4 21] ; [16 18],[ 8.47457627 16.52542373] ; [11.52542373 22.47457627],0
u3,1,0.016689,5.728739,[ 2 14] ; [7 6],[ 4.96551724 11.03448276] ; [4.03448276 8.96551724],0
d2,1,0.024902,5.030723,[ 7 18] ; [19 14],[11.20689655 13.79310345] ; [14.79310345 18.20689655],0
v4,1,0.025859,4.96543,[ 8 16] ; [22 13],[12.20338983 11.79661017] ; [17.79661017 17.20338983],0
n5,1,0.034104,4.489466,[17  7] ; [15 20],[13.01694915 10.98305085] ; [18.98305085 16.01694915],0
p7,1,0.04068,4.189284,[11 13] ; [ 7 27],[ 7.44827586 16.55172414] ; [10.55172414 23.44827586],0
a3,1,0.055359,3.671235,[ 9 15] ; [22 13],[12.61016949 11.38983051] ; [18.38983051 16.61016949],0
u2,1,0.062942,3.45812,[ 4 11] ; [8 5],[6.42857143 8.57142857] ; [5.57142857 7.42857143],0
n3,1,0.063601,3.440904,[10  7] ; [ 5 13],[7.28571429 9.71428571] ; [ 7.71428571 10.28571429],0
a2,1,0.117948,2.444359,[ 1 24] ; [ 6 29],[ 2.91666667 22.08333333] ; [ 4.08333333 30.91666667],0
p2,1,0.12365,2.370472,[12 13] ; [10 25],[ 9.16666667 15.83333333] ; [12.83333333 22.16666667],0
b1,1,0.12642,2.335929,[10 15] ; [21 14],[12.91666667 12.08333333] ; [18.08333333 16.91666667],0
a6,1,0.161601,1.959184,[ 9 16] ; [19 16],[11.66666667 13.33333333] ; [16.33333333 18.66666667],0
n2,1,0.187207,1.739459,[10  7] ; [ 7 12],[8.02777778 8.97222222] ; [ 8.97222222 10.02777778],0
a7,1,0.245594,1.348197,[ 9 15] ; [18 16],[11.17241379 12.82758621] ; [15.82758621 18.17241379],0
r2,1,0.268905,1.222324,[11 13] ; [20 13],[13.05263158 10.94736842] ; [17.94736842 15.05263158],0
r3,1,0.295883,1.092657,[ 8 16] ; [16 18],[ 9.93103448 14.06896552] ; [14.06896552 19.93103448],0
s4,1,0.314219,1.012859,[ 7 18] ; [ 6 29],[ 5.41666667 19.58333333] ; [ 7.58333333 27.41666667],0
v3,1,0.315652,1.006879,[ 3 21] ; [ 8 27],[ 4.47457627 19.52542373] ; [ 6.52542373 28.47457627],0
n1,1,0.345033,0.891641,[ 7 10] ; [ 5 14],[ 5.66666667 11.33333333] ; [ 6.33333333 12.66666667],0
p6,1,0.366496,0.815511,[ 4 20] ; [ 3 31],[ 2.89655172 21.10344828] ; [ 4.10344828 29.89655172],0
p8,1,0.416201,0.661019,[ 7 17] ; [ 7 28],[ 5.69491525 18.30508475] ; [ 8.30508475 26.69491525],0
n6,1,0.45067,0.568966,[13 11] ; [15 19],[11.5862069 12.4137931] ; [16.4137931 17.5862069],0
