Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u3,1,0.01492,5.925926,[4 8] ; [14  4],[7.2 4.8] ; [10.8  7.2],0
s6,1,0.018269,5.570197,[26 21] ; [31  8],[31.15116279 15.84883721] ; [25.84883721 13.15116279],0
p6,1,0.020525,5.366692,[ 8 39] ; [15 23],[12.71764706 34.28235294] ; [10.28235294 27.71764706],0
s2,1,0.024433,5.063643,[18 29] ; [25 15],[23.22988506 23.77011494] ; [19.77011494 20.22988506],0
s8,1,0.042391,4.119516,[14 33] ; [20 19],[18.58139535 28.41860465] ; [15.41860465 23.58139535],0
a3,1,0.056912,3.625162,[35 12] ; [22 18],[30.79310345 16.20689655] ; [26.20689655 13.79310345],0
s3,1,0.063513,3.443199,[20 27] ; [25 15],[24.31034483 22.68965517] ; [20.68965517 19.31034483],0
n5,1,0.064337,3.421897,[25 22] ; [29 11],[29.17241379 17.82758621] ; [24.82758621 15.17241379],0
p11,1,0.072634,3.222478,[24 23] ; [28 12],[28.09195402 18.90804598] ; [23.90804598 16.09195402],0
p9,1,0.101374,2.6838,[27 20] ; [29 10],[30.60465116 16.39534884] ; [25.39534884 13.60465116],0
p5,1,0.115868,2.472299,[ 1 46] ; [ 4 36],[ 2.70114943 44.29885057] ; [ 2.29885057 37.70114943],0
a2,1,0.153706,2.035083,[10 37] ; [ 4 36],[ 7.56321839 39.43678161] ; [ 6.43678161 33.56321839],0
b5,1,0.190068,1.717087,[24 23] ; [26 14],[27.01149425 19.98850575] ; [22.98850575 17.01149425],0
u2,1,0.195646,1.674579,[4 7] ; [11  7],[5.68965517 5.31034483] ; [9.31034483 8.68965517],0
s1,1,0.222495,1.488204,[ 1 46] ; [ 3 36],[ 2.18604651 44.81395349] ; [ 1.81395349 37.18604651],0
r4,1,0.226814,1.460731,[35 12] ; [34  6],[37.27586207  9.72413793] ; [31.72413793  8.27586207],0
s7,1,0.229227,1.445652,[17 29] ; [19 19],[19.71428571 26.28571429] ; [16.28571429 21.71428571],0
s5,1,0.248341,1.332614,[12 33] ; [15 24],[14.46428571 30.53571429] ; [12.53571429 26.46428571],0
v4,1,0.281221,1.161182,[40  7] ; [37  3],[41.59770115  5.40229885] ; [35.40229885  4.59770115],0
a8,1,0.310472,1.028668,[ 3 40] ; [ 5 31],[ 4.35443038 38.64556962] ; [ 3.64556962 32.35443038],0
p7,1,0.317898,0.997575,[18 28] ; [19 19],[20.26190476 25.73809524] ; [16.73809524 21.26190476],0
