Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.017869,5.608974,[23  4] ; [47 31],[18.  9.] ; [52. 26.],0
s6,1,0.027448,4.862388,[18  8] ; [35 44],[13.12380952 12.87619048] ; [39.87619048 39.12380952],0
d5,1,0.02989,4.715618,[19  8] ; [36 42],[14.14285714 12.85714286] ; [40.85714286 37.14285714],0
r1,1,0.034523,4.468608,[20  7] ; [39 38],[15.31730769 11.68269231] ; [43.68269231 33.31730769],0
r2,1,0.055478,3.667649,[26  1] ; [64 15],[22.9245283  4.0754717] ; [67.0754717 11.9245283],0
n5,1,0.056563,3.635402,[24  3] ; [55 23],[20.31428571  6.68571429] ; [58.68571429 19.31428571],0
a3,1,0.066553,3.366043,[19  8] ; [39 39],[14.91428571 12.08571429] ; [43.08571429 34.91428571],0
p5,1,0.069469,3.295534,[ 3 24] ; [ 2 77],[ 1.27358491 25.72641509] ; [ 3.72641509 75.27358491],0
r4,1,0.071531,3.247542,[23  4] ; [53 26],[19.35849057  7.64150943] ; [56.64150943 22.35849057],0
v2,1,0.07743,3.118044,[13 14] ; [22 53],[ 9.26470588 17.73529412] ; [25.73529412 49.26470588],0
s7,1,0.104622,2.633629,[11 14] ; [20 55],[ 7.75 17.25] ; [23.25 51.75],0
p10,1,0.12423,2.363159,[19  8] ; [40 35],[15.61764706 11.38235294] ; [43.38235294 31.61764706],0
n6,1,0.140971,2.167324,[23  4] ; [56 23],[20.12264151  6.87735849] ; [58.87735849 20.12264151],0
a5,1,0.144936,2.124757,[16 11] ; [34 45],[12.73584906 14.26415094] ; [37.26415094 41.73584906],0
s3,1,0.157764,1.995526,[16 10] ; [36 43],[12.87619048 13.12380952] ; [39.12380952 39.87619048],0
v1,1,0.18463,1.759953,[14 12] ; [30 47],[11.10679612 14.89320388] ; [32.89320388 44.10679612],0
d3,1,0.188998,1.725412,[ 9 18] ; [16 61],[ 6.49038462 20.50961538] ; [18.50961538 58.49038462],0
s8,1,0.211655,1.560068,[11 16] ; [22 57],[ 8.40566038 18.59433962] ; [24.59433962 54.40566038],0
p3,1,0.211655,1.560068,[11 16] ; [22 57],[ 8.40566038 18.59433962] ; [24.59433962 54.40566038],0
n1,1,0.228863,1.447916,[3 2] ; [11 23],[1.79487179 3.20512821] ; [12.20512821 21.79487179],0
a6,1,0.267269,1.23071,[17 10] ; [40 39],[14.51886792 12.48113208] ; [42.48113208 36.51886792],0
s2,1,0.272952,1.201851,[12 14] ; [27 52],[ 9.65714286 16.34285714] ; [29.34285714 49.65714286],0
s4,1,0.284983,1.143171,[ 3 24] ; [16 63],[ 4.83962264 22.16037736] ; [14.16037736 64.83962264],0
u3,1,0.300015,1.074126,[5 3] ; [17 23],[3.66666667 4.33333333] ; [18.33333333 21.66666667],0
p9,1,0.304451,1.054596,[19  8] ; [45 31],[16.77669903 10.22330097] ; [47.22330097 28.77669903],0
v4,1,0.334613,0.930961,[24  3] ; [63 15],[22.37142857  4.62857143] ; [64.62857143 13.37142857],0
p4,1,0.4174,0.657624,[13 14] ; [31 48],[11.20754717 15.79245283] ; [32.79245283 46.20754717],0
p11,1,0.438958,0.599005,[18  9] ; [46 33],[16.30188679 10.69811321] ; [47.69811321 31.30188679],0
a7,1,0.540224,0.375126,[15 12] ; [38 40],[13.62857143 13.37142857] ; [39.37142857 38.62857143],0
a2,1,0.571487,0.320201,[ 3 24] ; [ 6 73],[ 2.29245283 24.70754717] ; [ 6.70754717 72.29245283],0
b4,1,0.572397,0.318689,[13 14] ; [43 36],[14.26415094 12.73584906] ; [41.73584906 37.26415094],0
b2,1,0.635212,0.225059,[ 7 14] ; [13 34],[ 6.17647059 14.82352941] ; [13.82352941 33.17647059],0
b3,1,0.635212,0.225059,[ 7 14] ; [13 34],[ 6.17647059 14.82352941] ; [13.82352941 33.17647059],0
a1,1,0.649079,0.207064,[ 2 25] ; [ 4 75],[ 1.52830189 25.47169811] ; [ 4.47169811 74.52830189],0
p2,1,0.695955,0.152714,[17 10] ; [53 26],[17.83018868  9.16981132] ; [52.16981132 26.83018868],0
p6,1,0.718437,0.129996,[ 5 22] ; [17 61],[ 5.65714286 21.34285714] ; [16.34285714 61.65714286],0
r3,1,0.718437,0.129996,[22  5] ; [61 17],[21.34285714  5.65714286] ; [61.65714286 16.34285714],0
s5,1,0.740084,0.110053,[ 3 23] ; [11 67],[ 3.5 22.5] ; [10.5 67.5],0
b5,1,0.747081,0.104,[16 11] ; [44 35],[15.28301887 11.71698113] ; [44.71698113 34.28301887],0
d1,1,0.751211,0.100516,[ 1 26] ; [ 2 77],[ 0.76415094 26.23584906] ; [ 2.23584906 76.76415094],0
a8,1,0.790903,0.070298,[ 3 21] ; [11 64],[ 3.39393939 20.60606061] ; [10.60606061 64.39393939],0
d2,1,0.859188,0.031474,[ 8 19] ; [22 57],[ 7.64150943 19.35849057] ; [22.35849057 56.64150943],0
s1,1,0.870453,0.026596,[ 2 25] ; [ 5 72],[ 1.81730769 25.18269231] ; [ 5.18269231 71.81730769],0
b1,1,0.92519,0.008817,[11 16] ; [33 46],[11.20754717 15.79245283] ; [32.79245283 46.20754717],0
p7,1,0.9437,0.004987,[10 16] ; [31 48],[10.15238095 15.84761905] ; [30.84761905 48.15238095],0
a4,1,0.963092,0.002141,[ 6 21] ; [17 61],[ 5.91428571 21.08571429] ; [17.08571429 60.91428571],0
p1,1,0.974595,0.001014,[ 2 25] ; [ 6 73],[ 2.03773585 24.96226415] ; [ 5.96226415 73.03773585],0
n3,1,0.975275,0.000961,[3 1] ; [26  9],[2.97435897 1.02564103] ; [26.02564103  8.97435897],0
u2,1,1.0,0.0,[3 5] ; [15 25],[3. 5.] ; [15. 25.],0
