Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,0.0,74.177145,[100   2] ; [19 33],[78.81818182 23.18181818] ; [40.18181818 11.81818182],1
r1,1,0.0,46.937321,[84 18] ; [14 39],[64.49032258 37.50967742] ; [33.50967742 19.49032258],1
r2,1,0.0,43.872683,[99  3] ; [27 23],[84.55263158 17.44736842] ; [41.44736842  8.55263158],1
v4,1,0.0,36.636777,[94  7] ; [27 26],[79.35714286 21.64285714] ; [41.64285714 11.35714286],1
u3,1,0.00056,11.905021,[26 12] ; [ 6 19],[19.3015873 18.6984127] ; [12.6984127 12.3015873],1
p11,1,0.00081,11.218404,[55 47] ; [14 40],[45.11538462 56.88461538] ; [23.88461538 30.11538462],1
n2,1,0.001886,9.656905,[32 11] ; [10 17],[25.8 17.2] ; [16.2 10.8],0
p7,1,0.007322,7.192229,[36 65] ; [ 8 45],[28.85714286 72.14285714] ; [15.14285714 37.85714286],0
s8,1,0.011679,6.358937,[24 77] ; [ 4 50],[18.24516129 82.75483871] ; [ 9.75483871 44.24516129],0
s6,1,0.012476,6.241952,[49 52] ; [15 39],[41.70322581 59.29677419] ; [22.29677419 31.70322581],0
a1,1,0.014451,5.982246,[ 5 97] ; [ 9 45],[ 9.15384615 92.84615385] ; [ 4.84615385 49.15384615],0
a7,1,0.015719,5.834027,[64 38] ; [22 30],[56.96103896 45.03896104] ; [29.03896104 22.96103896],0
p2,1,0.032663,4.563344,[58 44] ; [21 33],[51.65384615 50.34615385] ; [27.34615385 26.65384615],0
n3,1,0.036269,4.384422,[30 11] ; [13 14],[25.92647059 15.07352941] ; [17.07352941  9.92647059],0
p1,1,0.038935,4.263705,[ 3 98] ; [ 6 48],[ 5.86451613 95.13548387] ; [ 3.13548387 50.86451613],0
s2,1,0.042427,4.118074,[34 66] ; [10 44],[28.57142857 71.42857143] ; [15.42857143 38.57142857],0
s3,1,0.049425,3.86085,[45 56] ; [15 38],[39.35064935 61.64935065] ; [20.64935065 32.35064935],0
n6,1,0.066557,3.365963,[65 36] ; [26 27],[59.68181818 41.31818182] ; [31.31818182 21.68181818],0
p4,1,0.089096,2.890624,[34 68] ; [11 43],[29.42307692 72.57692308] ; [15.57692308 38.42307692],0
u2,1,0.090969,2.857143,[20 16] ; [ 8 16],[16.8 19.2] ; [11.2 12.8],0
s7,1,0.111568,2.531868,[30 66] ; [ 9 39],[26. 70.] ; [13. 35.],0
u1,1,0.141169,2.165167,[16 86] ; [ 4 50],[13.07692308 88.92307692] ; [ 6.92307692 47.07692308],0
v1,1,0.15115,2.060606,[40 62] ; [14 37],[36. 66.] ; [18. 33.],0
p3,1,0.154718,2.025105,[30 72] ; [10 43],[26.32258065 75.67741935] ; [13.67741935 39.32258065],0
d4,1,0.203297,1.618528,[74 26] ; [34 19],[70.58823529 29.41176471] ; [37.41176471 15.58823529],0
a6,1,0.220999,1.497875,[59 42] ; [26 28],[55.38709677 45.61290323] ; [29.61290323 24.38709677],0
a2,1,0.237732,1.393995,[21 81] ; [ 7 47],[18.30769231 83.69230769] ; [ 9.69230769 44.30769231],0
n1,1,0.242956,1.363361,[17 26] ; [ 7 20],[14.74285714 28.25714286] ; [ 9.25714286 17.74285714],0
a8,1,0.250903,1.318267,[14 82] ; [ 4 46],[11.83561644 84.16438356] ; [ 6.16438356 43.83561644],0
a5,1,0.291131,1.114384,[60 42] ; [27 27],[56.88461538 45.11538462] ; [30.11538462 23.88461538],0
