Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,3e-06,21.920807,[129  17] ; [21 17],[119.02173913  26.97826087] ; [30.97826087  7.02173913],1
s7,1,0.000612,11.738038,[74 65] ; [ 8 29],[64.76136364 74.23863636] ; [17.23863636 19.76136364],1
p7,1,0.001153,10.5649,[106  40] ; [17 21],[97.59782609 48.40217391] ; [25.40217391 12.59782609],0
p4,1,0.003882,8.338431,[85 62] ; [12 26],[77.07567568 69.92432432] ; [19.92432432 18.07567568],0
s4,1,0.004933,7.903733,[ 16 131] ; [11 27],[ 21.45405405 125.54594595] ; [ 5.54594595 32.45405405],0
p10,1,0.006054,7.534102,[121  24] ; [24 14],[114.89071038  30.10928962] ; [30.10928962  7.89071038],0
p11,1,0.009891,6.654468,[122  26] ; [24 14],[116.17204301  31.82795699] ; [29.82795699  8.17204301],0
p6,1,0.01544,5.865585,[62 84] ; [ 8 30],[55.54347826 90.45652174] ; [14.45652174 23.54347826],0
n6,1,0.019497,5.456349,[124  22] ; [26 12],[119.02173913  26.97826087] ; [30.97826087  7.02173913],0
n4,1,0.031296,4.636668,[111  36] ; [22 16],[105.68108108  41.31891892] ; [27.31891892 10.68108108],0
n5,1,0.037062,4.347542,[112  33] ; [23 15],[106.96721311  38.03278689] ; [28.03278689  9.96721311],0
a3,1,0.039699,4.23071,[97 51] ; [18 20],[91.50537634 56.49462366] ; [23.49462366 14.50537634],0
d5,1,0.058199,3.587968,[95 53] ; [18 20],[89.91397849 58.08602151] ; [23.08602151 14.91397849],0
p8,1,0.116828,2.459338,[79 68] ; [15 23],[74.69189189 72.30810811] ; [19.30810811 18.69189189],0
s8,1,0.125976,2.341399,[63 85] ; [11 27],[58.88172043 89.11827957] ; [15.11827957 22.88172043],0
v1,1,0.138986,2.189145,[91 53] ; [19 19],[87.03296703 56.96703297] ; [22.96703297 15.03296703],0
d3,1,0.147724,2.095598,[70 78] ; [13 25],[66.04301075 81.95698925] ; [16.95698925 21.04301075],0
r2,1,0.155182,2.020559,[135   9] ; [33  5],[132.92307692  11.07692308] ; [35.07692308  2.92307692],0
n3,1,0.159456,1.979374,[32  5] ; [6 3],[30.56521739  6.43478261] ; [7.43478261 1.56521739],0
p5,1,0.160077,1.9735,[ 20 128] ; [ 2 36],[ 17.50537634 130.49462366] ; [ 4.49462366 33.50537634],0
b1,1,0.190811,1.711347,[53 95] ; [18 20],[56.49462366 91.50537634] ; [14.50537634 23.49462366],0
v3,1,0.204284,1.611477,[75 72] ; [15 23],[71.51351351 75.48648649] ; [18.48648649 19.51351351],0
b2,1,0.256618,1.286909,[33 54] ; [ 4 13],[30.95192308 56.04807692] ; [ 6.04807692 10.95192308],0
b3,1,0.256618,1.286909,[33 54] ; [ 4 13],[30.95192308 56.04807692] ; [ 6.04807692 10.95192308],0
s1,1,0.282309,1.155939,[  3 142] ; [ 2 36],[  3.96174863 141.03825137] ; [ 1.03825137 36.96174863],0
r1,1,0.313071,1.017675,[120  28] ; [28 10],[117.76344086  30.23655914] ; [30.23655914  7.76344086],0
u2,1,0.324834,0.969384,[26 23] ; [ 8 12],[24.14492754 24.85507246] ; [ 9.85507246 10.14492754],0
r3,1,0.435297,0.608648,[142   4] ; [36  2],[141.23913043   4.76086957] ; [36.76086957  1.23913043],0
a1,1,0.440346,0.595381,[  7 141] ; [ 3 35],[  7.95698925 140.04301075] ; [ 2.04301075 35.95698925],0
r4,1,0.472281,0.516634,[131  17] ; [32  6],[129.69892473  18.30107527] ; [33.30107527  4.69892473],0
a7,1,0.51477,0.424359,[101  46] ; [24 14],[99.32432432 47.67567568] ; [25.67567568 12.32432432],0
p3,1,0.562621,0.335186,[74 74] ; [17 21],[72.40860215 75.59139785] ; [18.59139785 19.40860215],0
p12,1,0.568758,0.324766,[  8 139] ; [ 3 35],[  8.74054054 138.25945946] ; [ 2.25945946 35.74054054],0
s2,1,0.587088,0.294914,[62 84] ; [18 20],[63.47826087 82.52173913] ; [16.52173913 21.47826087],0
a6,1,0.639444,0.21947,[88 60] ; [21 17],[86.7311828 61.2688172] ; [22.2688172 15.7311828],0
p1,1,0.639898,0.218876,[ 11 137] ; [ 2 36],[ 10.34408602 137.65591398] ; [ 2.65591398 35.34408602],0
u3,1,0.650267,0.205564,[25 26] ; [11  9],[25.85915493 25.14084507] ; [10.14084507  9.85915493],0
n1,1,0.680519,0.169542,[12 25] ; [2 6],[11.51111111 25.48888889] ; [2.48888889 5.51111111],0
s5,1,0.70402,0.144324,[46 97] ; [11 27],[45.03314917 97.96685083] ; [11.96685083 26.03314917],0
v4,1,0.708294,0.139987,[136   9] ; [35  3],[135.49180328   9.50819672] ; [35.50819672  2.49180328],0
a4,1,0.734913,0.114649,[ 35 113] ; [ 8 30],[ 34.21505376 113.78494624] ; [ 8.78494624 29.21505376],0
b4,1,0.751637,0.100161,[86 62] ; [21 17],[85.13978495 62.86021505] ; [21.86021505 16.13978495],0
d2,1,0.780597,0.077585,[ 18 130] ; [ 4 34],[ 17.50537634 130.49462366] ; [ 4.49462366 33.50537634],0
d4,1,0.793043,0.068833,[93 55] ; [23 15],[92.30107527 55.69892473] ; [23.69892473 14.30107527],0
a5,1,0.853105,0.034284,[92 56] ; [23 15],[91.50537634 56.49462366] ; [23.49462366 14.50537634],0
s6,1,0.86767,0.027762,[92 51] ; [25 13],[92.43646409 50.56353591] ; [24.56353591 13.43646409],0
a8,1,0.869678,0.026918,[ 17 119] ; [ 5 32],[ 17.29479769 118.70520231] ; [ 4.70520231 32.29479769],0
b5,1,0.893824,0.017813,[80 68] ; [21 17],[80.3655914 67.6344086] ; [20.6344086 17.3655914],0
s3,1,0.9096,0.012892,[74 71] ; [19 19],[73.68852459 71.31147541] ; [19.31147541 18.68852459],0
