Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.003405,8.576516,[22  9] ; [69 94],[14.54123711 16.45876289] ; [76.45876289 86.54123711],0
p2,1,0.006471,7.414093,[16 15] ; [124  40],[22.25641026  8.74358974] ; [117.74358974  46.25641026],0
p11,1,0.018647,5.534362,[18 13] ; [128  36],[23.21025641  7.78974359] ; [122.78974359  41.21025641],0
a6,1,0.024105,5.087095,[15 16] ; [113  50],[20.45360825 10.54639175] ; [107.54639175  55.45360825],0
s3,1,0.027404,4.865165,[22  9] ; [80 82],[16.38341969 14.61658031] ; [85.61658031 76.38341969],0
n4,1,0.035358,4.427815,[17 14] ; [120  43],[21.89175258  9.10824742] ; [115.10824742  47.89175258],0
s6,1,0.037706,4.318245,[22  7] ; [90 73],[16.91666667 12.08333333] ; [95.08333333 67.91666667],0
s5,1,0.052042,3.774412,[12 15] ; [ 41 116],[ 7.77717391 19.22282609] ; [ 45.22282609 111.77717391],0
a5,1,0.06915,3.303074,[17 14] ; [117  47],[21.3025641  9.6974359] ; [112.6974359  51.3025641],0
n5,1,0.076316,3.141655,[15 16] ; [105  56],[19.375 11.625] ; [100.625  60.375],0
a2,1,0.078809,3.089302,[ 2 29] ; [ 32 132],[ 5.40512821 25.59487179] ; [ 28.59487179 135.40512821],0
d1,1,0.114498,2.491014,[13 18] ; [94 70],[17.01025641 13.98974359] ; [89.98974359 74.01025641],0
p9,1,0.14029,2.174773,[26  3] ; [125  36],[23.04736842  5.95263158] ; [127.95263158  33.04736842],0
p10,1,0.142076,2.155329,[25  4] ; [119  43],[21.86387435  7.13612565] ; [122.13612565  39.86387435],0
b4,1,0.150103,2.071204,[15 16] ; [102  62],[18.6 12.4] ; [98.4 65.6],0
a3,1,0.162676,1.949176,[19 12] ; [120  43],[22.21134021  8.78865979] ; [116.78865979  46.21134021],0
p8,1,0.164798,1.929636,[ 6 22] ; [ 56 105],[ 9.18518519 18.81481481] ; [ 52.81481481 108.18518519],0
b2,1,0.167236,1.907544,[ 3 11] ; [39 57],[5.34545455 8.65454545] ; [36.65454545 59.34545455],0
b3,1,0.167236,1.907544,[ 3 11] ; [39 57],[5.34545455 8.65454545] ; [36.65454545 59.34545455],0
r1,1,0.170399,1.879426,[22  9] ; [134  30],[24.8  6.2] ; [131.2  32.8],0
p6,1,0.173274,1.854383,[ 3 26] ; [ 34 126],[ 5.67724868 23.32275132] ; [ 31.32275132 128.67724868],0
u3,1,0.192685,1.69697,[8 4] ; [20 24],[6. 6.] ; [22. 22.],0
d3,1,0.201551,1.6311,[23  8] ; [102  62],[19.87179487 11.12820513] ; [105.12820513  58.87179487],0
p3,1,0.25043,1.320903,[ 6 25] ; [ 48 115],[ 8.62886598 22.37113402] ; [ 45.37113402 117.62886598],0
s7,1,0.298429,1.081201,[16 14] ; [68 90],[13.40425532 16.59574468] ; [70.59574468 87.40425532],0
v3,1,0.311042,1.026244,[13 18] ; [83 77],[15.58115183 15.41884817] ; [80.41884817 79.58115183],0
b1,1,0.320861,0.985436,[ 9 22] ; [ 63 101],[11.44615385 19.55384615] ; [ 60.55384615 103.44615385],0
n1,1,0.358535,0.843017,[1 7] ; [12 31],[2.03921569 5.96078431] ; [10.96078431 32.03921569],0
v1,1,0.379678,0.771744,[15 16] ; [90 68],[17.22222222 13.77777778] ; [87.77777778 70.22222222],0
a7,1,0.436794,0.604692,[24  7] ; [115  48],[22.21134021  8.78865979] ; [116.78865979  46.21134021],0
v4,1,0.451483,0.566927,[30  1] ; [151  11],[29.07253886  1.92746114] ; [151.92746114  10.07253886],0
p7,1,0.503848,0.446821,[14 15] ; [88 72],[15.65079365 13.34920635] ; [86.34920635 73.65079365],0
d2,1,0.616976,0.25014,[12 19] ; [71 92],[13.2628866 17.7371134] ; [69.7371134 93.2628866],0
n6,1,0.658558,0.19528,[24  7] ; [131  31],[24.89637306  6.10362694] ; [130.10362694  31.89637306],0
a1,1,0.715659,0.13269,[ 2 29] ; [  8 156],[ 1.58974359 29.41025641] ; [  8.41025641 155.58974359],0
d4,1,0.727532,0.121389,[27  4] ; [138  25],[26.36597938  4.63402062] ; [138.63402062  24.36597938],0
a4,1,0.823538,0.049728,[12 19] ; [67 97],[12.55897436 18.44102564] ; [66.44102564 97.55897436],0
s8,1,0.860339,0.030956,[13 18] ; [66 98],[12.55897436 18.44102564] ; [66.44102564 97.55897436],0
d5,1,0.861781,0.030313,[25  6] ; [130  34],[24.64102564  6.35897436] ; [130.35897436  33.64102564],0
r2,1,0.862998,0.029777,[29  2] ; [150   9],[29.20526316  1.79473684] ; [149.79473684   9.20526316],0
u2,1,0.884254,0.021193,[6 6] ; [20 22],[5.77777778 6.22222222] ; [20.22222222 21.77777778],0
n2,1,0.893948,0.017772,[6 2] ; [32 12],[5.84615385 2.15384615] ; [32.15384615 11.84615385],0
n3,1,0.893948,0.017772,[6 2] ; [32 12],[5.84615385 2.15384615] ; [32.15384615 11.84615385],0
a8,1,0.902727,0.014937,[ 4 22] ; [ 25 128],[ 4.2122905 21.7877095] ; [ 24.7877095 128.2122905],0
u1,1,0.938769,0.005901,[ 4 27] ; [ 22 142],[ 4.13333333 26.86666667] ; [ 21.86666667 142.13333333],0
r3,1,0.943082,0.005098,[29  1] ; [157   5],[29.0625  0.9375] ; [156.9375   5.0625],0
r4,1,0.969326,0.001479,[26  5] ; [138  26],[26.07179487  4.92820513] ; [137.92820513  26.07179487],0
b5,1,0.973715,0.001086,[19 12] ; [100  64],[18.91794872 12.08205128] ; [100.08205128  63.91794872],0
