Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,56.484969,[ 5 29] ; [117  27],[23.30337079 10.69662921] ; [98.69662921 45.30337079],1
v4,1,0.0,42.529147,[15 19] ; [130  12],[28.01136364  5.98863636] ; [116.98863636  25.01136364],1
a6,1,0.000355,12.757205,[ 9 25] ; [87 57],[18.33707865 15.66292135] ; [77.66292135 66.33707865],1
u3,1,0.000483,12.179092,[ 1 18] ; [31 31],[ 7.50617284 11.49382716] ; [24.49382716 37.50617284],1
r1,1,0.001075,10.693472,[11 23] ; [91 53],[19.48314607 14.51685393] ; [82.51685393 61.48314607],0
r3,1,0.001705,9.842596,[20 13] ; [122  22],[26.47457627  6.52542373] ; [115.52542373  28.47457627],0
v3,1,0.003495,8.529149,[ 2 32] ; [42 97],[ 8.64739884 25.35260116] ; [ 35.35260116 103.64739884],0
p11,1,0.008347,6.957469,[16 18] ; [102  42],[22.53932584 11.46067416] ; [95.46067416 48.53932584],0
a7,1,0.013609,6.088119,[13 21] ; [88 55],[19.40112994 14.59887006] ; [81.59887006 61.40112994],0
b1,1,0.018818,5.518379,[22 12] ; [61 83],[15.85393258 18.14606742] ; [67.14606742 76.85393258],0
v1,1,0.029037,4.765414,[ 7 27] ; [57 83],[12.50574713 21.49425287] ; [51.49425287 88.50574713],0
d3,1,0.039472,4.240423,[ 7 27] ; [56 86],[12.17045455 21.82954545] ; [50.82954545 91.17045455],0
v2,1,0.040966,4.177424,[ 7 25] ; [57 81],[12.04705882 19.95294118] ; [51.95294118 86.04705882],0
p2,1,0.044685,4.030499,[19 15] ; [105  38],[23.81920904 10.18079096] ; [100.18079096  42.81920904],0
p3,1,0.061651,3.492397,[ 7 27] ; [54 90],[11.65168539 22.34831461] ; [49.34831461 94.65168539],0
a5,1,0.066653,3.363574,[12 22] ; [76 68],[16.80898876 17.19101124] ; [71.19101124 72.80898876],0
p10,1,0.069544,3.293754,[15 18] ; [89 53],[19.61142857 13.38857143] ; [84.38857143 57.61142857],0
s2,1,0.105064,2.626947,[ 3 31] ; [ 30 114],[ 6.30337079 27.69662921] ; [ 26.69662921 117.30337079],0
n6,1,0.120194,2.414788,[17 16] ; [95 49],[20.88135593 12.11864407] ; [91.11864407 52.88135593],0
p6,1,0.123486,2.372546,[ 4 29] ; [ 35 108],[ 7.3125 25.6875] ; [ 31.6875 111.3125],0
d5,1,0.151168,2.060426,[12 22] ; [70 73],[15.75141243 18.24858757] ; [66.24858757 76.75141243],0
s3,1,0.193297,1.692308,[ 6 27] ; [ 42 101],[ 9. 24.] ; [ 39. 104.],0
a3,1,0.215849,1.531756,[15 18] ; [82 61],[18.1875 14.8125] ; [78.8125 64.1875],0
b5,1,0.23611,1.403667,[17 17] ; [88 56],[20.05617978 13.94382022] ; [84.94382022 59.05617978],0
b4,1,0.244824,1.352602,[21 13] ; [73 71],[17.95505618 16.04494382] ; [76.04494382 67.95505618],0
p7,1,0.246921,1.34064,[13 21] ; [69 71],[16.02298851 17.97701149] ; [65.97701149 74.02298851],0
n3,1,0.276915,1.18217,[10  6] ; [27  8],[11.60784314  4.39215686] ; [25.39215686  9.60784314],0
n2,1,0.328302,0.955583,[10  6] ; [28  9],[11.47169811  4.52830189] ; [26.52830189 10.47169811],0
n4,1,0.342408,0.901397,[18 16] ; [89 55],[20.43820225 13.56179775] ; [86.56179775 57.43820225],0
p9,1,0.35095,0.870018,[19 14] ; [94 48],[21.30857143 11.69142857] ; [91.69142857 50.30857143],0
p8,1,0.384862,0.755112,[ 9 24] ; [50 92],[11.12571429 21.87428571] ; [47.87428571 94.12571429],0
a8,1,0.399981,0.708385,[ 5 27] ; [ 14 121],[ 3.64071856 28.35928144] ; [ 15.35928144 119.64071856],0
p1,1,0.40656,0.688837,[ 2 32] ; [ 15 127],[ 3.28409091 30.71590909] ; [ 13.71590909 128.28409091],0
a2,1,0.45108,0.567936,[ 1 33] ; [  9 135],[ 1.91011236 32.08988764] ; [  8.08988764 135.91011236],0
p4,1,0.461941,0.541186,[11 23] ; [56 87],[12.8700565 21.1299435] ; [54.1299435 88.8700565],0
s1,1,0.476592,0.506652,[ 3 31] ; [  8 136],[ 2.1011236 31.8988764] ; [  8.8988764 135.1011236],0
a1,1,0.476592,0.506652,[ 3 31] ; [  8 136],[ 2.1011236 31.8988764] ; [  8.8988764 135.1011236],0
s7,1,0.516877,0.42012,[ 5 26] ; [ 29 107],[ 6.31137725 24.68862275] ; [ 27.68862275 108.31137725],0
u2,1,0.521882,0.410172,[ 7 12] ; [28 34],[ 8.20987654 10.79012346] ; [26.79012346 35.20987654],0
s5,1,0.525935,0.402239,[ 2 32] ; [ 13 127],[ 2.93103448 31.06896552] ; [ 12.06896552 127.93103448],0
n5,1,0.57249,0.318534,[22 12] ; [85 58],[20.55367232 13.44632768] ; [86.44632768 56.55367232],0
d4,1,0.598081,0.2779,[16 18] ; [75 69],[17.38202247 16.61797753] ; [73.61797753 70.38202247],0
p12,1,0.770925,0.084777,[ 1 33] ; [  3 139],[ 0.77272727 33.22727273] ; [  3.22727273 138.77272727],0
n1,1,0.777464,0.079877,[ 6 10] ; [15 21],[6.46153846 9.53846154] ; [14.53846154 21.46153846],0
b2,1,0.852568,0.034538,[ 6 12] ; [31 56],[ 6.34285714 11.65714286] ; [30.65714286 56.34285714],0
b3,1,0.852568,0.034538,[ 6 12] ; [31 56],[ 6.34285714 11.65714286] ; [30.65714286 56.34285714],0
u1,1,0.877357,0.023815,[ 1 33] ; [  5 139],[ 1.14606742 32.85393258] ; [  4.85393258 139.14606742],0
d2,1,0.90395,0.014562,[ 6 28] ; [ 24 119],[ 5.76271186 28.23728814] ; [ 24.23728814 118.76271186],0
s8,1,0.906725,0.013729,[ 4 30] ; [ 18 126],[ 4.20224719 29.79775281] ; [ 17.79775281 126.20224719],0
s4,1,0.913566,0.011781,[ 4 30] ; [ 16 128],[ 3.82022472 30.17977528] ; [ 16.17977528 127.82022472],0
a4,1,0.992245,9.4e-05,[ 9 25] ; [ 38 106],[ 8.97752809 25.02247191] ; [ 38.02247191 105.97752809],0
