Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,9.7e-05,15.197399,[34 10] ; [10 21],[25.81333333 18.18666667] ; [18.18666667 12.81333333],1
p11,1,0.000201,13.818182,[30 14] ; [ 8 24],[22. 22.] ; [16. 16.],1
v4,1,0.000317,12.968126,[37  5] ; [16 16],[30.08108108 11.91891892] ; [22.91891892  9.08108108],1
p10,1,0.002133,9.431302,[32 12] ; [12 20],[25.47368421 18.52631579] ; [18.52631579 13.47368421],0
n6,1,0.004082,8.246914,[31 12] ; [12 19],[24.98648649 18.01351351] ; [18.01351351 12.98648649],0
s6,1,0.005666,7.653664,[21 21] ; [ 6 26],[15.32432432 26.67567568] ; [11.67567568 20.32432432],0
a1,1,0.005973,7.558406,[ 1 43] ; [ 7 25],[ 4.63157895 39.36842105] ; [ 3.36842105 28.63157895],0
p7,1,0.00934,6.756551,[21 22] ; [ 6 25],[15.68918919 27.31081081] ; [11.31081081 19.68918919],0
d2,1,0.009549,6.717179,[16 27] ; [21 10],[21.5 21.5] ; [15.5 15.5],0
r3,1,0.012624,6.221078,[28 14] ; [12 20],[22.7027027 19.2972973] ; [17.2972973 14.7027027],0
u2,1,0.012805,6.195795,[11  8] ; [1 9],[ 7.86206897 11.13793103] ; [4.13793103 5.86206897],0
p4,1,0.025205,5.009768,[19 25] ; [ 6 26],[14.47368421 29.52631579] ; [10.52631579 21.47368421],0
p6,1,0.031859,4.606061,[15 29] ; [ 4 28],[11. 33.] ; [ 8. 24.],0
s2,1,0.044638,4.032275,[19 24] ; [ 7 25],[14.90666667 28.09333333] ; [11.09333333 20.90666667],0
b5,1,0.046909,3.948654,[28 16] ; [13 19],[23.73684211 20.26315789] ; [17.26315789 14.73684211],0
v1,1,0.04908,3.872607,[18 23] ; [ 7 25],[14.04109589 26.95890411] ; [10.95890411 21.04109589],0
p3,1,0.062433,3.471549,[17 27] ; [ 6 26],[13.31578947 30.68421053] ; [ 9.68421053 22.31578947],0
