Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p11,1,1.2e-05,19.143416,[ 3 33] ; [18 13],[11.28358209 24.71641791] ; [ 9.71641791 21.28358209],1
p4,1,4.5e-05,16.662256,[ 3 32] ; [17 14],[10.60606061 24.39393939] ; [ 9.39393939 21.60606061],1
p9,1,6.4e-05,15.968858,[ 7 26] ; [22  9],[14.953125 18.046875] ; [14.046875 16.953125],1
p10,1,9e-05,15.340238,[ 7 28] ; [21 10],[14.84848485 20.15151515] ; [13.15151515 17.84848485],1
p7,1,0.000263,13.316402,[ 4 31] ; [16 14],[10.76923077 24.23076923] ; [ 9.23076923 20.76923077],1
v4,1,0.000408,12.493819,[15 21] ; [26  5],[22.02985075 13.97014925] ; [18.97014925 12.02985075],1
s8,1,0.000499,12.118599,[ 1 35] ; [11 20],[ 6.44776119 29.55223881] ; [ 5.55223881 25.44776119],1
p6,1,0.001381,10.231521,[ 1 34] ; [10 21],[ 5.83333333 29.16666667] ; [ 5.16666667 25.83333333],0
s7,1,0.003055,8.774201,[ 3 30] ; [12 17],[ 7.98387097 25.01612903] ; [ 7.01612903 21.98387097],0
s2,1,0.00384,8.358119,[ 4 32] ; [13 18],[ 9.13432836 26.86567164] ; [ 7.86567164 23.13432836],0
p3,1,0.009813,6.668539,[ 5 31] ; [13 18],[ 9.67164179 26.32835821] ; [ 8.32835821 22.67164179],0
b5,1,0.020404,5.376953,[13 23] ; [20 11],[17.73134328 18.26865672] ; [15.26865672 15.73134328],0
p8,1,0.022137,5.234967,[ 6 30] ; [13 18],[10.20895522 25.79104478] ; [ 8.79104478 22.20895522],0
a1,1,0.022993,5.169063,[ 8 28] ; [ 1 30],[ 4.8358209 31.1641791] ; [ 4.1641791 26.8358209],0
s5,1,0.023061,5.163889,[ 3 33] ; [ 9 21],[ 6.54545455 29.45454545] ; [ 5.45454545 24.54545455],0
s3,1,0.024804,5.037514,[ 6 28] ; [13 17],[10.09375 23.90625] ; [ 8.90625 21.09375],0
s6,1,0.044864,4.023743,[ 7 29] ; [13 18],[10.74626866 25.25373134] ; [ 9.25373134 21.74626866],0
u2,1,0.053019,3.743316,[ 3 11] ; [8 6],[5.5 8.5] ; [5.5 8.5],0
n6,1,0.061906,3.485563,[15 21] ; [20 11],[18.80597015 17.19402985] ; [16.19402985 14.80597015],0
s4,1,0.072097,3.234623,[ 5 31] ; [10 21],[ 8.05970149 27.94029851] ; [ 6.94029851 24.05970149],0
n3,1,0.111872,2.527574,[ 5 11] ; [10  7],[7.27272727 8.72727273] ; [7.72727273 9.27272727],0
a2,1,0.127485,2.322862,[ 5 31] ; [ 1 30],[ 3.2238806 32.7761194] ; [ 2.7761194 28.2238806],0
b3,1,0.1352,2.231752,[13 14] ; [ 5 14],[10.56521739 16.43478261] ; [ 7.43478261 11.56521739],0
b2,1,0.1352,2.231752,[13 14] ; [ 5 14],[10.56521739 16.43478261] ; [ 7.43478261 11.56521739],0
d1,1,0.151347,2.05862,[14 22] ; [ 7 24],[11.28358209 24.71641791] ; [ 9.71641791 21.28358209],0
v3,1,0.152922,2.042857,[10 26] ; [ 4 26],[ 7.63636364 28.36363636] ; [ 6.36363636 23.63636364],0
p1,1,0.198548,1.653021,[ 6 30] ; [ 2 29],[ 4.29850746 31.70149254] ; [ 3.70149254 27.29850746],0
r4,1,0.218715,1.512783,[ 5 31] ; [ 8 23],[ 6.98507463 29.01492537] ; [ 6.01492537 24.98507463],0
s1,1,0.220712,1.499734,[ 4 32] ; [ 1 30],[ 2.68656716 33.31343284] ; [ 2.31343284 28.68656716],0
u3,1,0.224765,1.473684,[ 3 11] ; [6 8],[4.5 9.5] ; [4.5 9.5],0
v1,1,0.22983,1.441913,[ 8 28] ; [11 20],[10.20895522 25.79104478] ; [ 8.79104478 22.20895522],0
a4,1,0.284522,1.145364,[13 21] ; [ 8 23],[10.98461538 23.01538462] ; [10.01538462 20.98461538],0
n1,1,0.300115,1.073684,[9 8] ; [ 6 11],[7.5 9.5] ; [7.5 9.5],0
n4,1,0.332717,0.938293,[25 11] ; [18 13],[23.10447761 12.89552239] ; [19.89552239 11.10447761],0
d5,1,0.415568,0.662815,[21 15] ; [15 16],[19.34328358 16.65671642] ; [16.65671642 14.34328358],0
d3,1,0.415568,0.662815,[15 21] ; [16 15],[16.65671642 19.34328358] ; [14.34328358 16.65671642],0
a3,1,0.417334,0.657812,[22 12] ; [17 14],[20.4 13.6] ; [18.6 12.4],0
n2,1,0.491967,0.472222,[8 9] ; [10  7],[9. 8.] ; [9. 8.],0
n5,1,0.497786,0.459653,[26 10] ; [20 11],[24.71641791 11.28358209] ; [21.28358209  9.71641791],0
a6,1,0.509184,0.435744,[18 18] ; [13 18],[16.65671642 19.34328358] ; [14.34328358 16.65671642],0
v2,1,0.533931,0.386905,[ 6 29] ; [ 7 23],[ 7. 28.] ; [ 6. 24.],0
r2,1,0.652615,0.202619,[22 12] ; [21  9],[22.84375 11.15625] ; [20.15625  9.84375],0
d2,1,0.705819,0.142489,[14 21] ; [11 20],[13.25757576 21.74242424] ; [11.74242424 19.25757576],0
b1,1,0.773455,0.082863,[21 15] ; [17 14],[20.41791045 15.58208955] ; [17.58208955 13.41791045],0
d4,1,0.773455,0.082863,[21 15] ; [17 14],[20.41791045 15.58208955] ; [17.58208955 13.41791045],0
r1,1,0.826428,0.048086,[13 23] ; [12 19],[13.43283582 22.56716418] ; [11.56716418 19.43283582],0
b4,1,0.836269,0.042712,[20 16] ; [18 13],[20.41791045 15.58208955] ; [17.58208955 13.41791045],0
a5,1,0.895247,0.017337,[18 18] ; [16 15],[18.26865672 17.73134328] ; [15.73134328 15.26865672],0
u1,1,0.914433,0.011545,[ 1 35] ; [ 1 30],[ 1.07462687 34.92537313] ; [ 0.92537313 30.07462687],0
p12,1,0.914433,0.011545,[ 1 35] ; [ 1 30],[ 1.07462687 34.92537313] ; [ 0.92537313 30.07462687],0
a7,1,0.982253,0.000495,[15 21] ; [13 18],[15.04477612 20.95522388] ; [12.95522388 18.04477612],0
