Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p5,1,0.0,27.447477,[  6 277] ; [14 68],[ 15.50684932 267.49315068] ; [ 4.49315068 77.50684932],1
d4,1,0.000271,13.263861,[213  70] ; [76  5],[224.68956044  58.31043956] ; [64.31043956 16.68956044],1
s6,1,0.000276,13.228039,[132 149] ; [56 24],[146.33795014 134.66204986] ; [41.66204986 38.33795014],1
s2,1,0.001482,10.100317,[ 70 210] ; [35 46],[ 81.44044321 198.55955679] ; [23.55955679 57.44044321],0
b5,1,0.006734,7.342633,[188  95] ; [41 41],[177.55342466 105.44657534] ; [51.44657534 30.55342466],0
d1,1,0.010395,6.56591,[141 142] ; [54 28],[151.19178082 131.80821918] ; [43.80821918 38.19178082],0
p3,1,0.020812,5.342502,[108 175] ; [43 39],[117.07671233 165.92328767] ; [33.92328767 48.07671233],0
a7,1,0.026386,4.930566,[218  63] ; [53 28],[210.36187845  70.63812155] ; [60.63812155 20.36187845],0
a5,1,0.029244,4.753219,[181 102] ; [63 19],[189.18356164  93.81643836] ; [54.81643836 27.18356164],0
p10,1,0.041693,4.147613,[213  67] ; [71 11],[219.66850829  60.33149171] ; [64.33149171 17.66850829],0
p7,1,0.045459,4.001513,[165 113] ; [58 23],[172.68523677 105.31476323] ; [50.31476323 30.68523677],0
v1,1,0.048747,3.884029,[133 143] ; [48 31],[140.72112676 135.27887324] ; [40.27887324 38.72112676],0
a1,1,0.059189,3.559971,[  4 279] ; [ 4 78],[  6.20273973 276.79726027] ; [ 1.79726027 80.20273973],0
p1,1,0.063152,3.452616,[ 15 268] ; [ 9 72],[ 18.65934066 264.34065934] ; [ 5.34065934 75.65934066],0
d2,1,0.065228,3.399201,[109 174] ; [40 40],[116.16253444 166.83746556] ; [32.83746556 47.16253444],0
b2,1,0.085257,2.961732,[ 42 105] ; [19 26],[ 46.703125 100.296875] ; [14.296875 30.703125],0
b3,1,0.085257,2.961732,[ 42 105] ; [19 26],[ 46.703125 100.296875] ; [14.296875 30.703125],0
a4,1,0.108243,2.579682,[103 179] ; [38 44],[109.23626374 172.76373626] ; [31.76373626 50.23626374],0
s3,1,0.110775,2.543124,[103 176] ; [37 42],[109.10614525 169.89385475] ; [30.89385475 48.10614525],0
p8,1,0.112328,2.52116,[135 143] ; [48 34],[141.31666667 136.68333333] ; [41.68333333 40.31666667],0
n6,1,0.128949,2.305114,[223  59] ; [71 11],[227.76923077  54.23076923] ; [66.23076923 15.76923077],0
u1,1,0.161253,1.962435,[ 29 254] ; [13 69],[ 32.56438356 250.43561644] ; [ 9.43561644 72.56438356],0
d5,1,0.18382,1.766467,[222  60] ; [70 12],[226.21978022  55.78021978] ; [65.78021978 16.21978022],0
p9,1,0.185984,1.749146,[228  53] ; [70 10],[231.96121884  49.03878116] ; [66.03878116 13.96121884],0
p6,1,0.193059,1.694118,[ 77 203] ; [28 52],[ 81.66666667 198.33333333] ; [23.33333333 56.66666667],0
a6,1,0.193068,1.694048,[204  79] ; [53 29],[199.2630137  83.7369863] ; [57.7369863 24.2630137],0
s4,1,0.212346,1.555359,[ 31 249] ; [13 67],[ 34.22222222 245.77777778] ; [ 9.77777778 70.22222222],0
u3,1,0.217403,1.521429,[53 59] ; [18 12],[56. 56.] ; [15. 15.],0
r1,1,0.23176,1.430028,[211  70] ; [66 15],[215.01933702  65.98066298] ; [61.98066298 19.01933702],0
r2,1,0.244576,1.35402,[255  25] ; [77  4],[257.50692521  22.49307479] ; [74.49307479  6.50692521],0
p12,1,0.249408,1.326618,[ 12 270] ; [ 6 75],[ 13.98347107 268.01652893] ; [ 4.01652893 76.98347107],0
s8,1,0.292378,1.108637,[ 54 229] ; [20 62],[ 57.37534247 225.62465753] ; [16.62465753 65.37534247],0
n1,1,0.314656,1.011031,[18 54] ; [5 8],[19.48235294 52.51764706] ; [3.51764706 9.48235294],0
b4,1,0.315573,1.007208,[169 114] ; [54 28],[172.90136986 110.09863014] ; [50.09863014 31.90136986],0
r3,1,0.319059,0.992801,[269  13] ; [75  6],[267.23966942  14.76033058] ; [76.76033058  4.23966942],0
r4,1,0.42097,0.647607,[246  37] ; [74  8],[248.10958904  34.89041096] ; [71.89041096 10.10958904],0
v4,1,0.422467,0.643442,[266  17] ; [78  3],[267.45054945  15.54945055] ; [76.54945055  4.45054945],0
a3,1,0.432779,0.615353,[168 115] ; [52 29],[171.04395604 111.95604396] ; [48.95604396 32.04395604],0
a2,1,0.478967,0.501215,[ 49 234] ; [17 65],[ 51.17260274 231.82739726] ; [14.82739726 67.17260274],0
u2,1,0.488668,0.479457,[57 56] ; [13 17],[55.31468531 57.68531469] ; [14.68531469 15.31468531],0
v2,1,0.493067,0.469826,[139 129] ; [38 42],[136.31034483 131.68965517] ; [40.68965517 39.31034483],0
p4,1,0.583956,0.299883,[148 133] ; [46 36],[150.17630854 130.82369146] ; [43.82369146 38.17630854],0
n5,1,0.643192,0.214592,[187  93] ; [57 25],[188.72928177  91.27071823] ; [55.27071823 26.72928177],0
n2,1,0.653484,0.201536,[51 21] ; [10  3],[51.67058824 20.32941176] ; [9.32941176 3.67058824],0
p11,1,0.680894,0.169122,[229  54] ; [68 14],[230.27671233  52.72328767] ; [66.72328767 15.27671233],0
n3,1,0.902725,0.014938,[55 18] ; [10  3],[55.1744186 17.8255814] ; [9.8255814 3.1744186],0
s1,1,0.906642,0.013753,[  3 275] ; [ 1 80],[  3.09749304 274.90250696] ; [ 0.90250696 80.09749304],0
a8,1,0.914978,0.011398,[ 27 229] ; [ 8 71],[ 26.74626866 229.25373134] ; [ 8.25373134 70.74626866],0
n4,1,0.9313,0.007432,[194  88] ; [56 26],[193.68131868  88.31868132] ; [56.31868132 25.68131868],0
v3,1,0.936892,0.006269,[ 83 190] ; [25 56],[ 83.28813559 189.71186441] ; [24.71186441 56.28813559],0
b1,1,0.957083,0.002896,[101 182] ; [29 53],[100.79452055 182.20547945] ; [29.20547945 52.79452055],0
d3,1,0.974733,0.001003,[189  92] ; [55 27],[188.8815427  92.1184573] ; [55.1184573 26.8815427],0
