Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.0,74.649376,[ 3 39] ; [193  63],[27.62416107 14.37583893] ; [168.37583893  87.62416107],1
d5,1,0.0,43.117578,[21 21] ; [230  26],[35.37583893  6.62416107] ; [215.62416107  40.37583893],1
d3,1,0.0,41.243015,[12 30] ; [198  58],[29.59731544 12.40268456] ; [180.40268456  75.59731544],1
a3,1,4.7e-05,16.562062,[26 16] ; [222  33],[35.07070707  6.92929293] ; [212.92929293  42.07070707],1
d2,1,0.001939,9.606826,[14 28] ; [151 105],[23.25503356 18.74496644] ; [141.74496644 114.25503356],0
u1,1,0.002823,8.91817,[ 3 39] ; [ 74 182],[10.85234899 31.14765101] ; [ 66.14765101 189.85234899],0
a2,1,0.004251,8.173297,[ 4 38] ; [ 79 177],[11.69798658 30.30201342] ; [ 71.30201342 184.69798658],0
a4,1,0.004955,7.895836,[12 30] ; [133 123],[20.43624161 21.56375839] ; [124.56375839 131.43624161],0
u2,1,0.040325,4.204159,[8 8] ; [26  7],[11.10204082  4.89795918] ; [22.89795918 10.10204082],0
p3,1,0.085953,2.94859,[19 23] ; [152 104],[24.10067114 17.89932886] ; [146.89932886 109.10067114],0
v2,1,0.096157,2.768155,[21 20] ; [160  87],[25.76736111 15.23263889] ; [155.23263889  91.76736111],0
a5,1,0.107703,2.587602,[30 12] ; [210  46],[33.82550336  8.17449664] ; [206.17449664  49.82550336],0
n4,1,0.10812,2.581494,[31 10] ; [218  37],[34.48986486  6.51013514] ; [214.51013514  40.48986486],0
a7,1,0.111291,2.535787,[24 18] ; [178  78],[28.46979866 13.53020134] ; [173.53020134  82.46979866],0
v3,1,0.197949,1.657446,[17 25] ; [125 119],[20.85314685 21.14685315] ; [121.14685315 122.85314685],0
u3,1,0.203463,1.617341,[10  6] ; [27  7],[11.84  4.16] ; [25.16  8.84],0
p1,1,0.219983,1.504483,[ 7 35] ; [ 26 228],[ 4.68243243 37.31756757] ; [ 28.31756757 225.68243243],0
p11,1,0.234791,1.411601,[31 11] ; [209  47],[33.82550336  8.17449664] ; [206.17449664  49.82550336],0
n1,1,0.243091,1.362581,[7 3] ; [28 28],[5.3030303 4.6969697] ; [29.6969697 26.3030303],0
r1,1,0.251666,1.31403,[32  9] ; [217  38],[34.48986486  6.51013514] ; [214.51013514  40.48986486],0
s4,1,0.274164,1.195793,[ 6 36] ; [ 55 199],[ 8.65540541 33.34459459] ; [ 52.34459459 201.65540541],0
p9,1,0.276282,1.185286,[37  5] ; [237  18],[38.74747475  3.25252525] ; [235.25252525  19.74747475],0
