Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,0.0,41.365473,[ 78 207] ; [188 170],[117.90046656 167.09953344] ; [148.09953344 209.90046656],1
v2,1,0.0,40.896996,[128 155] ; [254 108],[167.60620155 115.39379845] ; [214.39379845 147.60620155],1
n5,1,1e-06,23.282479,[195  98] ; [307  64],[221.51506024  71.48493976] ; [280.48493976  90.51506024],1
p3,1,8e-06,19.939656,[123 170] ; [221 151],[151.56691729 141.43308271] ; [192.43308271 179.56691729],1
p6,1,9e-06,19.67102,[ 83 208] ; [165 198],[110.34862385 180.65137615] ; [137.65137615 225.34862385],1
p4,1,1.6e-05,18.632605,[155 138] ; [257 114],[181.80120482 111.19879518] ; [230.19879518 140.80120482],1
p9,1,8.1e-05,15.523651,[229  60] ; [331  36],[246.70731707  42.29268293] ; [313.29268293  53.70731707],1
p10,1,0.000181,14.017846,[223  69] ; [322  46],[241.12121212  50.87878788] ; [303.87878788  64.12121212],1
s8,1,0.000313,12.988228,[116 178] ; [198 172],[139.03012048 154.96987952] ; [174.96987952 195.03012048],1
s5,1,0.000382,12.617426,[ 82 202] ; [152 206],[103.51401869 180.48598131] ; [130.48598131 227.51401869],1
p8,1,0.000871,11.082999,[135 155] ; [217 147],[156.08562691 133.91437309] ; [195.91437309 168.08562691],1
n4,1,0.00196,9.586275,[217  77] ; [311  61],[233.08108108  60.91891892] ; [294.91891892  77.08108108],0
p2,1,0.002594,9.07287,[238  56] ; [331  40],[251.55789474  42.44210526] ; [317.44210526  53.55789474],0
p7,1,0.003752,8.400178,[174 116] ; [255 105],[191.4  98.6] ; [237.6 122.4],0
p5,1,0.004012,8.278513,[ 20 273] ; [ 51 319],[ 31.37707391 261.62292609] ; [ 39.62292609 330.37707391],0
s2,1,0.005054,7.860131,[135 158] ; [211 159],[152.90799397 140.09200603] ; [193.09200603 176.90799397],0
p12,1,0.006903,7.298043,[ 13 279] ; [ 37 331],[ 22.12121212 269.87878788] ; [ 27.87878788 340.12121212],0
v4,1,0.008361,6.954513,[280  14] ; [368   5],[285.62518741   8.37481259] ; [362.37481259  10.62518741],0
s6,1,0.012771,6.200513,[188 102] ; [268  95],[202.51148545  87.48851455] ; [253.48851455 109.51148545],0
b3,1,0.013854,6.056615,[ 51 119] ; [ 99 137],[ 62.80788177 107.19211823] ; [ 87.19211823 148.80788177],0
b2,1,0.013854,6.056615,[ 51 119] ; [ 99 137],[ 62.80788177 107.19211823] ; [ 87.19211823 148.80788177],0
p11,1,0.016731,5.724334,[218  76] ; [306  68],[230.62275449  63.37724551] ; [293.37724551  80.62275449],0
a5,1,0.020637,5.357162,[217  77] ; [304  70],[229.30239521  64.69760479] ; [291.69760479  82.30239521],0
s7,1,0.026631,4.914573,[128 154] ; [192 162],[141.88679245 140.11320755] ; [178.11320755 175.88679245],0
b5,1,0.035967,4.398674,[166 128] ; [241 133],[179.12874251 114.87125749] ; [227.87125749 146.12874251],0
r2,1,0.036473,4.374841,[282  10] ; [368   4],[285.84337349   6.15662651] ; [364.15662651   7.84337349],0
n6,1,0.057265,3.614882,[243  51] ; [326  45],[251.55789474  42.44210526] ; [317.44210526  53.55789474],0
u4,1,0.058114,3.590412,[  3 291] ; [ 12 362],[  6.60179641 287.39820359] ; [  8.39820359 365.60179641],0
u1,1,0.058987,3.565633,[ 53 241] ; [ 90 284],[ 62.93712575 231.06287425] ; [ 80.06287425 293.93712575],0
a8,1,0.076973,3.127681,[ 32 240] ; [ 56 276],[ 39.62913907 232.37086093] ; [ 48.37086093 283.62913907],0
a4,1,0.096326,2.765337,[137 157] ; [198 175],[147.66116942 146.33883058] ; [187.33883058 185.66116942],0
r1,1,0.116557,2.462984,[246  47] ; [328  44],[252.90526316  40.09473684] ; [321.09473684  50.90526316],0
n1,1,0.143276,2.142413,[29 54] ; [30 34],[33.31292517 49.68707483] ; [25.68707483 38.31292517],0
s1,1,0.149143,2.080994,[ 12 279] ; [  8 359],[  8.8449848 282.1550152] ; [ 11.1550152 355.8449848],0
r3,1,0.167699,1.903395,[287   6] ; [370   3],[289.04054054   3.95945946] ; [367.95945946   5.04054054],0
a2,1,0.25291,1.307156,[ 74 220] ; [109 265],[ 80.54191617 213.45808383] ; [102.45808383 271.54191617],0
b1,1,0.284568,1.145144,[114 180] ; [130 244],[107.38922156 186.61077844] ; [136.61077844 237.38922156],0
d1,1,0.374823,0.787611,[203  91] ; [270 104],[208.17664671  85.82335329] ; [264.82335329 109.17664671],0
p1,1,0.375991,0.783767,[ 19 273] ; [ 31 341],[ 21.98795181 270.01204819] ; [ 28.01204819 343.98795181],0
n2,1,0.377944,0.777379,[61 24] ; [50 14],[63.32214765 21.67785235] ; [47.67785235 16.32214765],0
d4,1,0.416673,0.659679,[260  34] ; [338  36],[263.19161677  30.80838323] ; [334.80838323  39.19161677],0
a3,1,0.435359,0.608485,[220  74] ; [288  84],[224.25225225  69.74774775] ; [283.74774775  88.25225225],0
b4,1,0.484938,0.487738,[169 125] ; [225 149],[173.40718563 120.59281437] ; [220.59281437 153.40718563],0
u3,1,0.51409,0.425734,[43 30] ; [55 31],[44.99371069 28.00628931] ; [53.00628931 32.99371069],0
a1,1,0.542512,0.370904,[ 12 282] ; [ 19 355],[ 13.64371257 280.35628743] ; [ 17.35628743 356.64371257],0
s3,1,0.67257,0.17861,[159 133] ; [207 162],[161.68229955 130.31770045] ; [204.31770045 164.68229955],0
n3,1,0.686591,0.162801,[64 21] ; [50 14],[65.03355705 19.96644295] ; [48.96644295 15.03355705],0
d2,1,0.829055,0.046619,[157 136] ; [203 170],[158.37837838 134.62162162] ; [201.62162162 171.37837838],0
u2,1,0.832539,0.04471,[40 33] ; [48 37],[40.65822785 32.34177215] ; [47.34177215 37.65822785],0
d3,1,0.848397,0.036544,[222  72] ; [280  94],[220.94011976  73.05988024] ; [281.05988024  92.94011976],0
s4,1,0.875226,0.024657,[ 51 239] ; [ 63 305],[ 50.24316109 239.75683891] ; [ 63.75683891 304.24316109],0
a7,1,0.895224,0.017344,[222  72] ; [280  93],[221.27136432  72.72863568] ; [280.72863568  92.27136432],0
a6,1,0.935392,0.006571,[205  89] ; [259 114],[204.52173913  89.47826087] ; [259.47826087 113.52173913],0
