Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,2.9e-05,17.453457,[34  2] ; [13 14],[26.85714286  9.14285714] ; [20.14285714  6.85714286],1
n6,1,0.000438,12.361919,[31  5] ; [12 15],[24.57142857 11.42857143] ; [18.42857143  8.57142857],1
r2,1,0.015087,5.90625,[35  1] ; [21  6],[32.  4.] ; [24.  3.],0
s8,1,0.041322,4.162747,[12 23] ; [ 3 23],[ 8.60655738 26.39344262] ; [ 6.39344262 19.60655738],0
n1,1,0.050229,3.833802,[7 3] ; [3 8],[4.76190476 5.23809524] ; [5.23809524 5.76190476],0
s6,1,0.111214,2.536879,[22 13] ; [11 15],[18.93442623 16.06557377] ; [14.06557377 11.93442623],0
r4,1,0.126557,2.334231,[31  5] ; [19  8],[28.57142857  7.42857143] ; [21.42857143  5.57142857],0
b4,1,0.139547,2.182952,[24 12] ; [13 14],[21.14285714 14.85714286] ; [15.85714286 11.14285714],0
p10,1,0.149004,2.082413,[ 9 26] ; [ 3 24],[ 6.77419355 28.22580645] ; [ 5.22580645 21.77419355],0
s7,1,0.170093,1.882122,[16 18] ; [ 7 17],[13.48275862 20.51724138] ; [ 9.51724138 14.48275862],0
v4,1,0.206576,1.595264,[33  3] ; [21  5],[31.35483871  4.64516129] ; [22.64516129  3.35483871],0
r3,1,0.21535,1.535088,[34  2] ; [23  4],[32.57142857  3.42857143] ; [24.42857143  2.57142857],0
a5,1,0.234563,1.412978,[23 13] ; [21  6],[25.14285714 10.85714286] ; [18.85714286  8.14285714],0
a4,1,0.246788,1.341398,[13 22] ; [14 13],[15.24193548 19.75806452] ; [11.75806452 15.24193548],0
a7,1,0.257163,1.283967,[25 11] ; [15 12],[22.85714286 13.14285714] ; [17.14285714  9.85714286],0
p7,1,0.264005,1.247634,[20 14] ; [12 15],[17.83606557 16.16393443] ; [14.16393443 12.83606557],0
d4,1,0.277386,1.179854,[25 11] ; [22  5],[26.85714286  9.14285714] ; [20.14285714  6.85714286],0
p2,1,0.280087,1.166667,[26 10] ; [16 11],[24. 12.] ; [18.  9.],0
b1,1,0.305507,1.05,[18 18] ; [17 10],[20. 16.] ; [15. 12.],0
r1,1,0.368803,0.807692,[30  6] ; [20  7],[28.57142857  7.42857143] ; [21.42857143  5.57142857],0
a6,1,0.368803,0.807692,[24 12] ; [15 12],[22.28571429 13.71428571] ; [16.71428571 10.28571429],0
u1,1,0.370389,0.802358,[ 7 29] ; [ 3 24],[ 5.71428571 30.28571429] ; [ 4.28571429 22.71428571],0
s1,1,0.441183,0.593203,[ 3 32] ; [ 4 23],[ 3.9516129 31.0483871] ; [ 3.0483871 23.9516129],0
u3,1,0.466394,0.530507,[6 7] ; [5 3],[6.80952381 6.19047619] ; [4.19047619 3.80952381],0
s3,1,0.481564,0.49532,[20 15] ; [13 14],[18.62903226 16.37096774] ; [14.37096774 12.62903226],0
d2,1,0.512638,0.428679,[19 17] ; [12 15],[17.71428571 18.28571429] ; [13.28571429 13.71428571],0
v3,1,0.549166,0.358814,[18 18] ; [11 15],[16.83870968 19.16129032] ; [12.16129032 13.83870968],0
s5,1,0.551508,0.354623,[ 9 26] ; [ 5 21],[ 8.03278689 26.96721311] ; [ 5.96721311 20.03278689],0
a3,1,0.589154,0.291667,[23 13] ; [19  8],[24. 12.] ; [18.  9.],0
n3,1,0.647141,0.209524,[8 3] ; [7 4],[7.5 3.5] ; [7.5 3.5],0
d5,1,0.687288,0.162037,[25 11] ; [20  7],[25.71428571 10.28571429] ; [19.28571429  7.71428571],0
b5,1,0.708058,0.140224,[23 13] ; [16 11],[22.28571429 13.71428571] ; [16.71428571 10.28571429],0
u2,1,0.713628,0.13468,[5 7] ; [4 4],[5.4 6.6] ; [3.6 4.4],0
d3,1,0.754638,0.097674,[24 12] ; [19  8],[24.57142857 11.42857143] ; [18.42857143  8.57142857],0
p8,1,0.754638,0.097674,[12 24] ; [ 8 19],[11.42857143 24.57142857] ; [ 8.57142857 18.42857143],0
p1,1,0.765474,0.088983,[ 2 34] ; [ 2 25],[ 2.28571429 33.71428571] ; [ 1.71428571 25.28571429],0
p4,1,0.768779,0.08642,[16 20] ; [11 16],[15.42857143 20.57142857] ; [11.57142857 15.42857143],0
s2,1,0.791085,0.070173,[15 19] ; [11 16],[14.49180328 19.50819672] ; [11.50819672 15.49180328],0
v2,1,0.86702,0.028038,[20 15] ; [16 11],[20.32258065 14.67741935] ; [15.67741935 11.32258065],0
b3,1,0.871173,0.026298,[ 9 18] ; [4 9],[ 8.775 18.225] ; [4.225 8.775],0
b2,1,0.871173,0.026298,[ 9 18] ; [4 9],[ 8.775 18.225] ; [4.225 8.775],0
a2,1,0.933411,0.006981,[ 9 27] ; [ 7 20],[ 9.14285714 26.85714286] ; [ 6.85714286 20.14285714],0
p11,1,0.941948,0.005303,[19 17] ; [14 13],[18.85714286 17.14285714] ; [14.14285714 12.85714286],0
d1,1,0.941948,0.005303,[17 19] ; [13 14],[17.14285714 18.85714286] ; [12.85714286 14.14285714],0
s4,1,0.953239,0.003439,[ 5 30] ; [ 4 23],[ 5.08064516 29.91935484] ; [ 3.91935484 23.08064516],0
p6,1,0.96651,0.001763,[ 8 26] ; [ 6 19],[ 8.06779661 25.93220339] ; [ 5.93220339 19.06779661],0
p3,1,0.972806,0.001162,[14 22] ; [10 16],[13.93548387 22.06451613] ; [10.06451613 15.93548387],0
