Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.000288,13.148732,[ 7 39] ; [15 12],[13.8630137 32.1369863] ; [ 8.1369863 18.8630137],1
s2,1,0.000875,11.075438,[ 5 42] ; [12 15],[10.7972973 36.2027027] ; [ 6.2027027 20.7972973],1
n1,1,0.011658,6.3621,[ 4 17] ; [7 4],[ 7.21875 13.78125] ; [3.78125 7.21875],0
s8,1,0.01792,5.60394,[ 3 44] ; [ 7 20],[ 6.35135135 40.64864865] ; [ 3.64864865 23.35135135],0
d3,1,0.018753,5.524449,[18 29] ; [18  9],[22.86486486 24.13513514] ; [13.13513514 13.86486486],0
p2,1,0.018753,5.524449,[18 29] ; [18  9],[22.86486486 24.13513514] ; [13.13513514 13.86486486],0
u3,1,0.021288,5.30303,[ 4 20] ; [6 5],[ 6.85714286 17.14285714] ; [3.14285714 7.85714286],0
p6,1,0.021964,5.248665,[ 6 38] ; [10 17],[ 9.91549296 34.08450704] ; [ 6.08450704 20.91549296],0
p7,1,0.028824,4.778098,[14 33] ; [15 12],[18.41891892 28.58108108] ; [10.58108108 16.41891892],0
r3,1,0.035787,4.407207,[25 22] ; [21  6],[29.21621622 17.78378378] ; [16.78378378 10.21621622],0
n2,1,0.04632,3.969925,[10 12] ; [9 2],[12.66666667  9.33333333] ; [6.33333333 4.66666667],0
s6,1,0.047686,3.921009,[12 35] ; [13 14],[15.87837838 31.12162162] ; [ 9.12162162 17.87837838],0
b4,1,0.090956,2.857368,[27 20] ; [10 17],[23.5 23.5] ; [13.5 13.5],0
r4,1,0.09432,2.799054,[12 35] ; [12 15],[15.24324324 31.75675676] ; [ 8.75675676 18.24324324],0
s1,1,0.105269,2.623845,[ 1 45] ; [ 3 24],[ 2.52054795 43.47945205] ; [ 1.47945205 25.52054795],0
v4,1,0.155002,2.022317,[29 18] ; [21  6],[31.75675676 15.24324324] ; [18.24324324  8.75675676],0
v3,1,0.15649,2.007819,[12 35] ; [ 3 23],[ 9.65753425 37.34246575] ; [ 5.34246575 20.65753425],0
p8,1,0.17393,1.848738,[ 8 39] ; [ 8 18],[10.30136986 36.69863014] ; [ 5.69863014 20.30136986],0
n4,1,0.208668,1.580642,[28 19] ; [12 15],[25.40540541 21.59459459] ; [14.59459459 12.40540541],0
a7,1,0.257232,1.283594,[18 29] ; [14 13],[20.32432432 26.67567568] ; [11.67567568 15.32432432],0
a5,1,0.257232,1.283594,[18 29] ; [14 13],[20.32432432 26.67567568] ; [11.67567568 15.32432432],0
a4,1,0.273169,1.200763,[13 33] ; [11 16],[15.12328767 30.87671233] ; [ 8.87671233 18.12328767],0
n3,1,0.313616,1.015385,[12 10] ; [8 3],[13.33333333  8.66666667] ; [6.66666667 4.33333333],0
s7,1,0.33084,0.945608,[ 9 35] ; [ 8 18],[10.68571429 33.31428571] ; [ 6.31428571 19.68571429],0
p9,1,0.332997,0.937208,[13 31] ; [11 16],[14.87323944 29.12676056] ; [ 9.12676056 17.87323944],0
d1,1,0.337544,0.919737,[14 33] ; [11 16],[15.87837838 31.12162162] ; [ 9.12162162 17.87837838],0
a1,1,0.342882,0.899625,[ 7 40] ; [ 2 25],[ 5.71621622 41.28378378] ; [ 3.28378378 23.71621622],0
s4,1,0.359007,0.841364,[ 8 39] ; [ 7 20],[ 9.52702703 37.47297297] ; [ 5.47297297 21.52702703],0
s3,1,0.37035,0.802491,[14 32] ; [11 16],[15.75342466 30.24657534] ; [ 9.24657534 17.75342466],0
v1,1,0.379141,0.773486,[ 9 35] ; [ 8 19],[10.53521127 33.46478873] ; [ 6.46478873 20.53521127],0
n6,1,0.402581,0.700603,[26 21] ; [17  9],[27.68493151 19.31506849] ; [15.31506849 10.68493151],0
b1,1,0.414052,0.667136,[25 22] ; [17 10],[26.67567568 20.32432432] ; [15.32432432 11.67567568],0
d5,1,0.414052,0.667136,[25 22] ; [17 10],[26.67567568 20.32432432] ; [15.32432432 11.67567568],0
p1,1,0.427744,0.628942,[ 4 43] ; [ 1 26],[ 3.17567568 43.82432432] ; [ 1.82432432 25.17567568],0
d4,1,0.434152,0.61169,[27 20] ; [18  9],[28.58108108 18.41891892] ; [16.41891892 10.58108108],0
r2,1,0.436688,0.60497,[27 18] ; [18  8],[28.52112676 16.47887324] ; [16.47887324  9.52112676],0
s5,1,0.439081,0.598682,[ 6 40] ; [ 5 20],[ 7.12676056 38.87323944] ; [ 3.87323944 21.12676056],0
n5,1,0.439714,0.597029,[27 20] ; [13 14],[25.40540541 21.59459459] ; [14.59459459 12.40540541],0
a3,1,0.443888,0.58621,[23 23] ; [16 11],[24.57534247 21.42465753] ; [14.42465753 12.57534247],0
v2,1,0.449956,0.570763,[14 33] ; [10 16],[15.45205479 31.54794521] ; [ 8.54794521 17.45205479],0
u1,1,0.563769,0.333221,[ 2 45] ; [ 2 25],[ 2.54054054 44.45945946] ; [ 1.45945946 25.54054054],0
b2,1,0.603537,0.269694,[10 20] ; [ 5 14],[ 9.18367347 20.81632653] ; [ 5.81632653 13.18367347],0
b3,1,0.603537,0.269694,[10 20] ; [ 5 14],[ 9.18367347 20.81632653] ; [ 5.81632653 13.18367347],0
b5,1,0.641745,0.216467,[27 20] ; [17 10],[27.94594595 19.05405405] ; [16.05405405 10.94594595],0
p12,1,0.687338,0.161982,[ 1 46] ; [ 1 26],[ 1.27027027 45.72972973] ; [ 0.72972973 26.27027027],0
a6,1,0.709478,0.138799,[24 23] ; [15 12],[24.77027027 22.22972973] ; [14.22972973 12.77027027],0
a2,1,0.712896,0.135402,[ 4 43] ; [ 3 24],[ 4.44594595 42.55405405] ; [ 2.55405405 24.44594595],0
d2,1,0.779764,0.078191,[22 24] ; [12 15],[21.42465753 24.57534247] ; [12.57534247 14.42465753],0
a8,1,0.90472,0.014328,[ 3 42] ; [ 2 25],[ 3.125 41.875] ; [ 1.875 25.125],0
p11,1,0.914267,0.01159,[18 29] ; [10 17],[17.78378378 29.21621622] ; [10.21621622 16.78378378],0
u2,1,0.92809,0.008145,[ 8 15] ; [4 7],[ 8.11764706 14.88235294] ; [3.88235294 7.11764706],0
