Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.0,35.860881,[74 18] ; [ 5 22],[61.07563025 30.92436975] ; [17.92436975  9.07563025],1
d5,1,0.000265,13.299504,[77 15] ; [14 14],[69.76666667 22.23333333] ; [21.23333333  6.76666667],1
a7,1,0.001175,10.528733,[72 20] ; [13 15],[65.16666667 26.83333333] ; [19.83333333  8.16666667],0
r4,1,0.006035,7.539719,[78 14] ; [17 11],[72.83333333 19.16666667] ; [22.16666667  5.83333333],0
p1,1,0.007133,7.239064,[ 3 88] ; [ 5 23],[ 6.11764706 84.88235294] ; [ 1.88235294 26.11764706],0
a3,1,0.014206,6.012422,[63 29] ; [12 16],[57.5 34.5] ; [17.5 10.5],0
r1,1,0.0205,5.368825,[72 19] ; [16 12],[67.29411765 23.70588235] ; [20.70588235  7.29411765],0
r3,1,0.022624,5.19716,[85  6] ; [22  6],[81.82352941  9.17647059] ; [25.17647059  2.82352941],0
n5,1,0.050147,3.83652,[35 57] ; [16 11],[39.42857143 52.57142857] ; [11.57142857 15.42857143],0
s2,1,0.072758,3.219671,[40 51] ; [ 7 21],[35.94117647 55.05882353] ; [11.05882353 16.94117647],0
r2,1,0.091154,2.853866,[82  9] ; [21  6],[79.43220339 11.56779661] ; [23.56779661  3.43220339],0
u3,1,0.092393,2.832184,[21  7] ; [8 8],[18.45454545  9.54545455] ; [10.54545455  5.45454545],0
a5,1,0.0941,2.802795,[59 33] ; [13 15],[55.2 36.8] ; [16.8 11.2],0
s3,1,0.107723,2.587319,[51 39] ; [11 17],[47.28813559 42.71186441] ; [14.71186441 13.28813559],0
u2,1,0.118497,2.437079,[22  6] ; [9 7],[19.72727273  8.27272727] ; [11.27272727  4.72727273],0
a8,1,0.13021,2.289999,[ 5 78] ; [ 4 22],[ 6.85321101 76.14678899] ; [ 2.14678899 23.85321101],0
b4,1,0.144483,2.129547,[57 35] ; [13 15],[53.66666667 38.33333333] ; [16.33333333 11.66666667],0
a4,1,0.183492,1.76911,[32 60] ; [ 6 22],[29.13333333 62.86666667] ; [ 8.86666667 19.13333333],0
p8,1,0.185249,1.755,[37 53] ; [15 12],[40. 50.] ; [12. 15.],0
d2,1,0.205147,1.605351,[35 57] ; [ 7 21],[32.2 59.8] ; [ 9.8 18.2],0
b5,1,0.205147,1.605351,[57 35] ; [21  7],[59.8 32.2] ; [18.2  9.8],0
s5,1,0.234936,1.410724,[23 66] ; [ 4 23],[20.71551724 68.28448276] ; [ 6.28448276 20.71551724],0
p3,1,0.243034,1.36291,[41 51] ; [ 9 19],[38.33333333 53.66666667] ; [11.66666667 16.33333333],0
b1,1,0.273884,1.197189,[45 47] ; [17 11],[47.53333333 44.46666667] ; [14.46666667 13.53333333],0
n3,1,0.28245,1.155266,[15  7] ; [11  2],[16.34285714  5.65714286] ; [9.65714286 3.34285714],0
v2,1,0.325632,0.966189,[43 44] ; [10 16],[40.80530973 46.19469027] ; [12.19469027 13.80530973],0
b2,1,0.343769,0.896326,[14 39] ; [ 2 12],[12.65671642 40.34328358] ; [ 3.34328358 10.65671642],0
b3,1,0.343769,0.896326,[14 39] ; [ 2 12],[12.65671642 40.34328358] ; [ 3.34328358 10.65671642],0
p7,1,0.362495,0.829233,[50 38] ; [18  9],[52.03478261 35.96521739] ; [15.96521739 11.03478261],0
v3,1,0.371963,0.797095,[23 62] ; [ 5 22],[21.25 63.75] ; [ 6.75 20.25],0
v4,1,0.394794,0.724126,[86  6] ; [23  3],[84.98305085  7.01694915] ; [24.01694915  1.98305085],0
s8,1,0.41535,0.663436,[34 58] ; [ 8 20],[32.2 59.8] ; [ 9.8 18.2],0
v1,1,0.427907,0.628499,[44 45] ; [11 16],[42.19827586 46.80172414] ; [12.80172414 14.19827586],0
p6,1,0.445583,0.581862,[23 66] ; [ 9 18],[24.55172414 64.44827586] ; [ 7.44827586 19.55172414],0
a2,1,0.468241,0.526123,[15 77] ; [ 3 25],[13.8 78.2] ; [ 4.2 23.8],0
s7,1,0.472446,0.516248,[32 54] ; [ 8 19],[30.44247788 55.55752212] ; [ 9.55752212 17.44247788],0
p9,1,0.479214,0.500652,[67 24] ; [18  9],[65.55084746 25.44915254] ; [19.44915254  7.55084746],0
n2,1,0.598901,0.276657,[17  5] ; [9 4],[16.34285714  5.65714286] ; [9.65714286 3.34285714],0
p4,1,0.665984,0.186335,[47 45] ; [13 15],[46. 46.] ; [14. 14.],0
a6,1,0.692321,0.156584,[66 26] ; [19  9],[65.16666667 26.83333333] ; [19.83333333  8.16666667],0
s1,1,0.699014,0.149499,[ 2 87] ; [ 1 27],[ 2.28205128 86.71794872] ; [ 0.71794872 27.28205128],0
p5,1,0.717761,0.130648,[ 5 87] ; [ 1 26],[ 4.63865546 87.36134454] ; [ 1.36134454 25.63865546],0
p10,1,0.775856,0.081068,[60 31] ; [17 10],[59.38135593 31.61864407] ; [17.61864407  9.38135593],0
s4,1,0.829118,0.046584,[18 74] ; [ 6 22],[18.4 73.6] ; [ 5.6 22.4],0
s6,1,0.883977,0.021295,[54 38] ; [16 12],[53.66666667 38.33333333] ; [16.33333333 11.66666667],0
n1,1,0.891284,0.018681,[ 6 15] ; [4 9],[ 6.17647059 14.82352941] ; [3.82352941 9.17647059],0
p11,1,0.963246,0.002123,[62 30] ; [19  9],[62.1 29.9] ; [18.9  9.1],0
n4,1,0.976991,0.000832,[49 43] ; [15 13],[49.06666667 42.93333333] ; [14.93333333 13.06666667],0
