Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a5,1,2.4e-05,17.840211,[79 23] ; [12 20],[69.26865672 32.73134328] ; [21.73134328 10.26865672],1
r4,1,0.000269,13.273653,[98  4] ; [24  8],[92.86567164  9.13432836] ; [29.13432836  2.86567164],1
v1,1,0.000394,12.559944,[68 34] ; [10 22],[59.37313433 42.62686567] ; [18.62686567 13.37313433],1
p7,1,0.004439,8.094701,[90 11] ; [21 10],[84.93181818 16.06818182] ; [26.06818182  4.93181818],0
n4,1,0.015432,5.866482,[89 13] ; [22 10],[84.49253731 17.50746269] ; [26.50746269  5.49253731],0
p9,1,0.017464,5.649139,[90 11] ; [23  9],[85.81203008 15.18796992] ; [27.18796992  4.81203008],0
p3,1,0.020288,5.386922,[68 34] ; [14 18],[62.41791045 39.58208955] ; [19.58208955 12.41791045],0
a2,1,0.024658,5.047771,[25 77] ; [ 2 30],[20.55223881 81.44776119] ; [ 6.44776119 25.55223881],0
u1,1,0.025238,5.007506,[20 82] ; [ 1 31],[15.98507463 86.01492537] ; [ 5.01492537 26.98507463],0
p10,1,0.028281,4.81087,[83 17] ; [20 11],[78.6259542 21.3740458] ; [24.3740458  6.6259542],0
n6,1,0.044297,4.045192,[91 11] ; [24  8],[87.53731343 14.46268657] ; [27.46268657  4.53731343],0
d1,1,0.056971,3.623434,[61 41] ; [13 19],[56.32835821 45.67164179] ; [17.67164179 14.32835821],0
r2,1,0.067947,3.331925,[97  4] ; [27  4],[94.87878788  6.12121212] ; [29.12121212  1.87878788],0
p2,1,0.078435,3.09703,[94  8] ; [26  6],[91.34328358 10.65671642] ; [28.65671642  3.34328358],0
u3,1,0.081872,3.02735,[19 13] ; [4 9],[16.35555556 15.64444444] ; [6.64444444 6.35555556],0
d4,1,0.08393,2.9871,[82 20] ; [21 11],[78.40298507 23.59701493] ; [24.59701493  7.40298507],0
d3,1,0.128009,2.316479,[71 31] ; [17 14],[67.4887218 34.5112782] ; [20.5112782 10.4887218],0
p4,1,0.130331,2.288557,[83 19] ; [22 10],[79.92537313 22.07462687] ; [25.07462687  6.92537313],0
n3,1,0.143414,2.140938,[15  6] ; [12  1],[16.67647059  4.32352941] ; [10.32352941  2.67647059],0
s8,1,0.16034,1.971012,[39 62] ; [ 8 24],[35.69172932 65.30827068] ; [11.30827068 20.69172932],0
a3,1,0.173715,1.850589,[70 31] ; [18 14],[66.82706767 34.17293233] ; [21.17293233 10.82706767],0
v2,1,0.179963,1.797933,[60 42] ; [14 17],[56.7518797 45.2481203] ; [17.2481203 13.7518797],0
n1,1,0.185099,1.756198,[ 6 16] ; [6 6],[ 7.76470588 14.23529412] ; [4.23529412 7.76470588],0
d5,1,0.197319,1.662108,[84 18] ; [23  9],[81.44776119 20.55223881] ; [25.55223881  6.44776119],0
s4,1,0.204108,1.612735,[15 86] ; [ 2 30],[12.90977444 88.09022556] ; [ 4.09022556 27.90977444],0
v4,1,0.226427,1.463164,[98  4] ; [29  3],[96.67164179  5.32835821] ; [30.32835821  1.67164179],0
a4,1,0.265865,1.237959,[46 55] ; [11 21],[43.28571429 57.71428571] ; [13.71428571 18.28571429],0
s5,1,0.281201,1.161275,[25 73] ; [ 5 26],[22.79069767 75.20930233] ; [ 7.20930233 23.79069767],0
p8,1,0.308774,1.035913,[72 28] ; [20 12],[69.6969697 30.3030303] ; [22.3030303  9.6969697],0
r3,1,0.388891,0.742408,[99  3] ; [30  2],[98.19402985  3.80597015] ; [30.80597015  1.19402985],0
s6,1,0.412657,0.671133,[52 45] ; [14 17],[50.015625 46.984375] ; [15.984375 15.015625],0
a6,1,0.450772,0.568711,[68 34] ; [19 13],[66.2238806 35.7761194] ; [20.7761194 11.2238806],0
a7,1,0.45187,0.565957,[74 28] ; [21 11],[72.31343284 29.68656716] ; [22.68656716  9.31343284],0
s7,1,0.462559,0.539695,[37 59] ; [ 9 20],[35.328 60.672] ; [10.672 18.328],0
b3,1,0.471559,0.51832,[28 41] ; [9 9],[29.34482759 39.65517241] ; [ 7.65517241 10.34482759],0
