Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p10,1,0.0,73.082271,[574  88] ; [107  76],[533.51715976 128.48284024] ; [147.48284024  35.51715976],1
p9,1,0.0,49.455923,[585  75] ; [122  60],[554.18052257 105.81947743] ; [152.81947743  29.18052257],1
p2,1,0.0,28.654976,[571  92] ; [131  58],[546.27464789 116.72535211] ; [155.72535211  33.27464789],1
p8,1,0.0,28.110818,[371 283] ; [ 65 122],[339.05350773 314.94649227] ; [96.94649227 90.05350773],1
n4,1,0.0,27.845744,[537 131] ; [117  72],[509.76896149 158.23103851] ; [144.23103851  44.76896149],1
n6,1,1e-06,23.490642,[583  83] ; [138  51],[561.62105263 104.37894737] ; [159.37894737  29.62105263],1
n5,1,4e-06,21.446977,[519 146] ; [116  73],[494.46721311 170.53278689] ; [140.53278689  48.46721311],1
r4,1,1.8e-05,18.43149,[640  30] ; [166  25],[627.20092915  42.79907085] ; [178.79907085  12.20092915],1
r3,1,2.1e-05,18.065637,[649  19] ; [170  19],[638.38039673  29.61960327] ; [180.61960327   8.38039673],1
p7,1,2.6e-05,17.658714,[432 214] ; [93 93],[407.63221154 238.36778846] ; [117.36778846  68.63221154],1
p4,1,3.1e-05,17.344302,[411 250] ; [ 85 103],[386.16725559 274.83274441] ; [109.83274441  78.16725559],1
b1,1,6.5e-05,15.964042,[227 443] ; [95 96],[250.56910569 419.43089431] ; [ 71.43089431 119.56910569],1
p3,1,0.001475,10.10943,[347 317] ; [ 74 115],[327.71864009 336.28135991] ; [93.28135991 95.71864009],0
p12,1,0.003453,8.551154,[ 60 600] ; [  5 183],[ 50.58962264 609.41037736] ; [ 14.41037736 173.58962264],0
v1,1,0.00688,7.304147,[367 281] ; [ 86 103],[350.70967742 297.29032258] ; [102.29032258  86.70967742],0
v2,1,0.019667,5.441177,[371 268] ; [89 95],[357.15674362 281.84325638] ; [102.84325638  81.15674362],0
b3,1,0.02588,4.964044,[169 254] ; [25 66],[159.6536965 263.3463035] ; [34.3463035 56.6536965],0
b2,1,0.02588,4.964044,[169 254] ; [25 66],[159.6536965 263.3463035] ; [34.3463035 56.6536965],0
s1,1,0.027497,4.859359,[ 17 640] ; [ 11 177],[ 21.7704142 635.2295858] ; [  6.2295858 181.7704142],0
s4,1,0.032716,4.560585,[102 556] ; [ 42 148],[111.73584906 546.26415094] ; [ 32.26415094 157.73584906],0
r1,1,0.059949,3.538801,[559 109] ; [147  42],[550.30105018 117.69894982] ; [155.69894982  33.30105018],0
p6,1,0.060016,3.536935,[250 405] ; [ 57 129],[239.10225922 415.89774078] ; [ 67.89774078 118.10225922],0
a6,1,0.064484,3.418128,[465 202] ; [119  71],[454.52508751 212.47491249] ; [129.47491249  60.52508751],0
v3,1,0.071704,3.243585,[268 375] ; [ 62 119],[257.51213592 385.48786408] ; [ 72.48786408 108.51213592],0
s8,1,0.080385,3.057105,[304 360] ; [ 73 116],[293.46776084 370.53223916] ; [ 83.53223916 105.46776084],0
p5,1,0.080978,3.045155,[ 79 582] ; [ 14 174],[ 72.40636042 588.59363958] ; [ 20.59363958 167.40636042],0
u2,1,0.093794,2.808023,[111  77] ; [27 31],[105.46341463  82.53658537] ; [32.53658537 25.46341463],0
a5,1,0.098325,2.732507,[499 170] ; [131  60],[490.08139535 178.91860465] ; [139.91860465  51.08139535],0
b5,1,0.101001,2.689671,[398 272] ; [126  65],[407.75842044 262.24157956] ; [116.24157956  74.75842044],0
a8,1,0.165642,1.921947,[ 85 526] ; [ 17 155],[ 79.59386973 531.40613027] ; [ 22.40613027 149.59386973],0
d1,1,0.241842,1.369823,[400 270] ; [105  86],[392.97328688 277.02671312] ; [112.02671312  78.97328688],0
d2,1,0.257149,1.284043,[316 350] ; [99 91],[322.88551402 343.11448598] ; [92.11448598 97.88551402],0
d4,1,0.273562,1.198799,[549 117] ; [150  40],[543.84813084 122.15186916] ; [155.15186916  34.84813084],0
n1,1,0.29752,1.085277,[47 81] ; [31 39],[50.42424242 77.57575758] ; [27.57575758 42.42424242],0
b4,1,0.333802,0.93409,[398 272] ; [106  85],[392.19512195 277.80487805] ; [111.80487805  79.19512195],0
s3,1,0.343442,0.89754,[376 280] ; [101  88],[370.31005917 285.68994083] ; [106.68994083  82.31005917],0
a3,1,0.443897,0.586188,[481 187] ; [130  58],[476.80841121 191.19158879] ; [134.19158879  53.80841121],0
s7,1,0.545811,0.364875,[318 325] ; [83 94],[314.44268293 328.55731707] ; [86.55731707 90.44268293],0
a2,1,0.554375,0.349538,[158 512] ; [ 49 142],[161.08013937 508.91986063] ; [ 45.91986063 145.08013937],0
u3,1,0.556682,0.345482,[117  72] ; [34 25],[115.0766129  73.9233871] ; [35.9233871 23.0766129],0
n2,1,0.619872,0.246048,[99 30] ; [53 19],[97.55223881 31.44776119] ; [54.44776119 17.55223881],0
p1,1,0.66461,0.187972,[ 59 604] ; [ 15 175],[ 57.51699883 605.48300117] ; [ 16.48300117 173.51699883],0
a4,1,0.716117,0.132244,[299 368] ; [ 88 102],[301.20070012 365.79929988] ; [ 85.79929988 104.20070012],0
a1,1,0.733571,0.115858,[ 32 638] ; [  8 183],[ 31.12659698 638.87340302] ; [  8.87340302 182.12659698],0
a7,1,0.759418,0.093786,[484 183] ; [140  50],[485.65694282 181.34305718] ; [138.34305718  51.65694282],0
d3,1,0.808523,0.058724,[461 207] ; [128  60],[459.64018692 208.35981308] ; [129.35981308  58.64018692],0
s6,1,0.86534,0.028758,[441 214] ; [124  62],[440.04161712 214.95838288] ; [124.95838288  61.04161712],0
s5,1,0.874928,0.024776,[219 425] ; [ 62 117],[219.88335358 424.11664642] ; [ 61.11664642 117.88335358],0
s2,1,0.885034,0.020906,[341 321] ; [99 91],[341.87793427 320.12206573] ; [98.12206573 91.87793427],0
u1,1,0.895445,0.017271,[120 550] ; [ 35 156],[120.6155633 549.3844367] ; [ 34.3844367 156.6155633],0
n3,1,0.898947,0.016127,[95 35] ; [51 18],[95.37688442 34.62311558] ; [50.62311558 18.37688442],0
d5,1,0.898953,0.016125,[538 130] ; [153  36],[538.60910152 129.39089848] ; [152.39089848  36.60910152],0
u4,1,0.904504,0.014394,[ 15 655] ; [  4 187],[ 14.78513357 655.21486643] ; [  4.21486643 186.78513357],0
