Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,34.112655,[123  36] ; [85 98],[96.70175439 62.29824561] ; [111.29824561  71.70175439],1
v1,1,0.0,26.516437,[118  40] ; [86 96],[94.8 63.2] ; [109.2  72.8],1
n6,1,0.019982,5.413427,[148  10] ; [159  26],[141.41690962  16.58309038] ; [165.58309038  19.41690962],0
s4,1,0.022021,5.244135,[ 29 131] ; [ 53 132],[ 38.02898551 121.97101449] ; [ 43.97101449 141.02898551],0
p5,1,0.027474,4.860806,[ 36 124] ; [ 25 161],[ 28.20809249 131.79190751] ; [ 32.79190751 153.20809249],0
a1,1,0.031873,4.60534,[ 15 145] ; [  7 180],[ 10.14409222 149.85590778] ; [ 11.85590778 175.14409222],0
d3,1,0.039451,4.241323,[123  36] ; [126  61],[114.42485549  44.57514451] ; [134.57514451  52.42485549],0
n4,1,0.054971,3.68298,[141  19] ; [149  36],[134.49275362  25.50724638] ; [155.50724638  29.49275362],0
s8,1,0.069612,3.29215,[122  35] ; [129  58],[114.55523256  42.44476744] ; [136.44476744  50.55523256],0
n5,1,0.071325,3.252262,[138  22] ; [145  39],[131.62790698  28.37209302] ; [151.37209302  32.62790698],0
d4,1,0.079067,3.083978,[140  18] ; [153  34],[134.18550725  23.81449275] ; [158.81449275  28.18550725],0
p3,1,0.087974,2.911063,[97 62] ; [97 90],[89.15028902 69.84971098] ; [104.84971098  82.15028902],0
p11,1,0.092099,2.837304,[134  26] ; [143  44],[127.72334294  32.27665706] ; [149.27665706  37.72334294],0
d5,1,0.097995,2.737868,[138  20] ; [151  36],[132.35362319  25.64637681] ; [156.64637681  30.35362319],0
r4,1,0.10279,2.661716,[152   8] ; [169  18],[148.01152738  11.98847262] ; [172.98847262  14.01152738],0
d1,1,0.111942,2.526585,[109  51] ; [112  75],[101.90201729  58.09798271] ; [119.09798271  67.90201729],0
p1,1,0.169661,1.885938,[ 22 137] ; [ 17 169],[ 17.97391304 141.02608696] ; [ 21.02608696 164.97391304],0
p12,1,0.169661,1.885938,[ 22 137] ; [ 17 169],[ 17.97391304 141.02608696] ; [ 21.02608696 164.97391304],0
u4,1,0.23599,1.404391,[  7 153] ; [  4 183],[  5.07204611 154.92795389] ; [  5.92795389 181.07204611],0
p8,1,0.245729,1.347421,[95 61] ; [100  83],[89.73451327 66.26548673] ; [105.26548673  77.73451327],0
a8,1,0.270915,1.212106,[ 19 124] ; [ 31 143],[ 22.55520505 120.44479495] ; [ 27.44479495 146.55520505],0
s5,1,0.28083,1.163069,[86 71] ; [87 91],[81.07761194 75.92238806] ; [91.92238806 86.07761194],0
a7,1,0.282438,1.155323,[107  53] ; [135  52],[111.58501441  48.41498559] ; [130.41498559  56.58501441],0
p2,1,0.301489,1.067594,[134  26] ; [163  23],[137.34104046  22.65895954] ; [159.65895954  26.34104046],0
s1,1,0.354903,0.85585,[  6 152] ; [ 11 173],[  7.85380117 150.14619883] ; [  9.14619883 174.85380117],0
p10,1,0.380154,0.770203,[140  19] ; [156  28],[137.21282799  21.78717201] ; [158.78717201  25.21282799],0
s3,1,0.403288,0.698502,[122  34] ; [153  34],[125.0728863  30.9271137] ; [149.9271137  37.0728863],0
a3,1,0.40945,0.680396,[133  26] ; [150  37],[130.04913295  28.95086705] ; [152.95086705  34.04913295],0
a4,1,0.412393,0.671891,[81 78] ; [ 87 100],[77.20231214 81.79768786] ; [90.79768786 96.20231214],0
b4,1,0.420429,0.649117,[95 65] ; [103  84],[91.29682997 68.70317003] ; [106.70317003  80.29682997],0
b2,1,0.438192,0.601012,[46 63] ; [50 84],[43.0617284 65.9382716] ; [52.9382716 81.0617284],0
b3,1,0.438192,0.601012,[46 63] ; [50 84],[43.0617284 65.9382716] ; [52.9382716 81.0617284],0
p7,1,0.4425,0.589791,[112  42] ; [124  56],[108.81437126  45.18562874] ; [127.18562874  52.81437126],0
a6,1,0.474786,0.510816,[108  50] ; [121  66],[104.87536232  53.12463768] ; [124.12463768  62.87536232],0
p4,1,0.478679,0.50187,[110  49] ; [122  64],[106.92173913  52.07826087] ; [125.07826087  60.92173913],0
n3,1,0.512835,0.428277,[22  9] ; [30 17],[20.66666667 10.33333333] ; [31.33333333 15.66666667],0
r1,1,0.515331,0.423227,[139  21] ; [157  29],[136.87861272  23.12138728] ; [159.12138728  26.87861272],0
a5,1,0.541217,0.373288,[130  30] ; [147  40],[127.72334294  32.27665706] ; [149.27665706  37.72334294],0
n1,1,0.543894,0.368369,[13 18] ; [23 24],[14.30769231 16.69230769] ; [21.69230769 25.30769231],0
a2,1,0.641725,0.216493,[ 49 111] ; [ 53 134],[ 47.03170029 112.96829971] ; [ 54.96829971 132.03170029],0
s2,1,0.687839,0.161434,[123  36] ; [148  39],[124.53468208  34.46531792] ; [146.46531792  40.53468208],0
p9,1,0.742187,0.108214,[141  16] ; [169  17],[141.89504373  15.10495627] ; [168.10495627  17.89504373],0
p6,1,0.784493,0.074785,[74 83] ; [ 84 100],[72.74486804 84.25513196] ; [85.25513196 98.74486804],0
d2,1,0.789888,0.070999,[89 70] ; [102  85],[87.7716763 71.2283237] ; [103.2283237  83.7716763],0
r2,1,0.804067,0.061547,[153   6] ; [177   6],[153.42105263   5.57894737] ; [176.57894737   6.42105263],0
u2,1,0.814677,0.054942,[18  9] ; [25 11],[18.42857143  8.57142857] ; [24.57142857 11.42857143],0
u3,1,0.819102,0.052304,[19  8] ; [27 10],[19.40625  7.59375] ; [26.59375 10.40625],0
u1,1,0.839869,0.040829,[ 40 120] ; [ 45 142],[ 39.19308357 120.80691643] ; [ 45.80691643 141.19308357],0
v4,1,0.906231,0.013875,[156   4] ; [180   5],[155.82608696   4.17391304] ; [180.17391304   4.82608696],0
b1,1,0.908542,0.013197,[66 94] ; [ 76 111],[65.47550432 94.52449568] ; [ 76.52449568 110.47550432],0
b5,1,0.921889,0.009615,[95 65] ; [112  75],[95.44668588 64.55331412] ; [111.55331412  75.44668588],0
n2,1,0.93267,0.007138,[24  7] ; [36 11],[23.84615385  7.15384615] ; [36.15384615 10.84615385],0
r3,1,0.950293,0.003886,[155   5] ; [179   6],[154.89855072   5.10144928] ; [179.10144928   5.89855072],0
