Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s2,1,0.013235,6.137368,[6 9] ; [14 86],[ 2.60869565 12.39130435] ; [17.39130435 82.60869565],0
a3,1,0.056107,3.648864,[ 5 10] ; [59 40],[8.42105263 6.57894737] ; [55.57894737 43.42105263],0
p2,1,0.063991,3.430809,[12  3] ; [53 44],[8.70535714 6.29464286] ; [56.29464286 40.70535714],0
p6,1,0.070323,3.275457,[6 9] ; [18 76],[ 3.30275229 11.69724771] ; [20.69724771 73.30275229],0
d3,1,0.0778,3.110275,[9 5] ; [39 60],[5.94690265 8.05309735] ; [42.05309735 56.94690265],0
n4,1,0.089965,2.875,[6 9] ; [63 37],[9. 6.] ; [60. 40.],0
s8,1,0.092945,2.822611,[ 4 11] ; [11 89],[ 1.95652174 13.04347826] ; [13.04347826 86.95652174],0
s7,1,0.106402,2.606871,[ 5 10] ; [15 79],[ 2.75229358 12.24770642] ; [17.24770642 76.75229358],0
b4,1,0.117232,2.453914,[ 5 10] ; [55 45],[7.82608696 7.17391304] ; [52.17391304 47.82608696],0
a5,1,0.121613,2.396418,[ 4 11] ; [48 52],[6.7826087 8.2173913] ; [45.2173913 54.7826087],0
u3,1,0.156814,2.004682,[5 5] ; [11 30],[3.1372549 6.8627451] ; [12.8627451 28.1372549],0
b5,1,0.258313,1.277778,[11  4] ; [58 42],[9. 6.] ; [60. 40.],0
u2,1,0.277776,1.177938,[5 5] ; [13 28],[3.52941176 6.47058824] ; [14.47058824 26.52941176],0
b3,1,0.308315,1.037881,[3 7] ; [27 30],[4.47761194 5.52238806] ; [25.52238806 31.47761194],0
b2,1,0.308315,1.037881,[3 7] ; [27 30],[4.47761194 5.52238806] ; [25.52238806 31.47761194],0
n3,1,0.349575,0.875,[3 3] ; [25 11],[4. 2.] ; [24. 12.],0
r3,1,0.355285,0.854492,[9 6] ; [71 28],[10.52631579  4.47368421] ; [69.47368421 29.52631579],0
p7,1,0.364476,0.822412,[7 7] ; [37 62],[5.45132743 8.54867257] ; [38.54867257 60.45132743],0
v1,1,0.381857,0.764716,[ 5 10] ; [22 74],[ 3.64864865 11.35135135] ; [23.35135135 72.64864865],0
a7,1,0.388025,0.745123,[9 5] ; [52 48],[7.49122807 6.50877193] ; [53.50877193 46.49122807],0
u1,1,0.394418,0.72528,[ 2 13] ; [ 7 93],[ 1.17391304 13.82608696] ; [ 7.82608696 92.17391304],0
d4,1,0.395346,0.722436,[10  5] ; [55 45],[8.47826087 6.52173913] ; [56.52173913 43.47826087],0
n2,1,0.430223,0.622222,[3 3] ; [24 12],[3.85714286 2.14285714] ; [23.14285714 12.85714286],0
p11,1,0.498237,0.458689,[7 8] ; [56 44],[8.2173913 6.7826087] ; [54.7826087 45.2173913],0
s3,1,0.523671,0.406658,[ 3 12] ; [27 70],[ 4.01785714 10.98214286] ; [25.98214286 71.01785714],0
d1,1,0.524951,0.404155,[ 4 11] ; [35 65],[5.08695652 9.91304348] ; [33.91304348 66.08695652],0
n6,1,0.556698,0.345455,[9 6] ; [67 32],[10.  5.] ; [66. 33.],0
b1,1,0.562639,0.335155,[6 9] ; [48 52],[7.04347826 7.95652174] ; [46.95652174 53.04347826],0
v3,1,0.585442,0.297519,[ 2 13] ; [19 80],[ 2.76315789 12.23684211] ; [18.23684211 80.76315789],0
p4,1,0.631248,0.230373,[6 9] ; [33 65],[5.17699115 9.82300885] ; [33.82300885 64.17699115],0
p10,1,0.672814,0.178328,[9 6] ; [52 44],[8.24324324 6.75675676] ; [52.75675676 43.24324324],0
a2,1,0.682307,0.167541,[ 1 14] ; [10 90],[ 1.43478261 13.56521739] ; [ 9.56521739 90.43478261],0
r2,1,0.685072,0.164472,[9 4] ; [73 25],[9.6036036 3.3963964] ; [72.3963964 25.6036036],0
d2,1,0.686003,0.163446,[ 5 10] ; [38 60],[5.7079646 9.2920354] ; [37.2920354 60.7079646],0
p3,1,0.705634,0.142677,[ 5 10] ; [28 70],[ 4.38053097 10.61946903] ; [28.61946903 69.38053097],0
p8,1,0.723939,0.12475,[ 5 10] ; [28 69],[ 4.41964286 10.58035714] ; [28.58035714 68.41964286],0
n5,1,0.764152,0.09002,[9 6] ; [64 36],[9.52173913 5.47826087] ; [63.47826087 36.52173913],0
s1,1,0.79392,0.068238,[ 1 14] ; [ 5 94],[ 0.78947368 14.21052632] ; [ 5.21052632 93.78947368],0
s5,1,0.794181,0.068061,[ 1 13] ; [ 9 88],[ 1.26126126 12.73873874] ; [ 8.73873874 88.26126126],0
r4,1,0.826571,0.048006,[6 9] ; [43 57],[6.39130435 8.60869565] ; [42.60869565 57.39130435],0
d5,1,0.868737,0.027312,[9 5] ; [62 38],[8.71929825 5.28070175] ; [62.28070175 37.71929825],0
a4,1,0.875355,0.024605,[ 5 10] ; [31 68],[ 4.73684211 10.26315789] ; [31.26315789 67.73684211],0
v4,1,0.896714,0.016851,[11  4] ; [71 28],[10.78947368  4.21052632] ; [71.21052632 27.78947368],0
a6,1,0.903738,0.014627,[8 7] ; [55 45],[8.2173913 6.7826087] ; [54.7826087 45.2173913],0
n1,1,0.926033,0.008619,[2 4] ; [12 22],[2.1 3.9] ; [11.9 22.1],0
v2,1,0.943009,0.005111,[ 4 11] ; [27 71],[ 4.11504425 10.88495575] ; [26.88495575 71.11504425],0
p9,1,0.978675,0.000714,[10  5] ; [63 32],[9.95454545 5.04545455] ; [63.04545455 31.95454545],0
