Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v4,1,0.000167,14.173913,[83 14] ; [21 17],[74.72592593 22.27407407] ; [29.27407407  8.72592593],1
r3,1,0.000447,12.325985,[84 14] ; [22 16],[76.38235294 21.61764706] ; [29.61764706  8.38235294],1
r4,1,0.000721,11.433165,[60 38] ; [11 27],[51.16176471 46.83823529] ; [19.83823529 18.16176471],1
p9,1,0.002998,8.80898,[71 23] ; [18 19],[63.86259542 30.13740458] ; [25.13740458 11.86259542],0
p10,1,0.006825,7.318408,[63 32] ; [15 22],[56.13636364 38.86363636] ; [21.86363636 15.13636364],0
p11,1,0.010943,6.474585,[67 31] ; [17 21],[60.52941176 37.47058824] ; [23.47058824 14.52941176],0
p2,1,0.020573,5.362572,[68 29] ; [18 19],[62.25373134 34.74626866] ; [23.74626866 13.25373134],0
b1,1,0.03766,4.320301,[35 63] ; [21 17],[40.35294118 57.64705882] ; [15.64705882 22.35294118],0
n4,1,0.049414,3.861228,[62 36] ; [17 21],[56.92647059 41.07352941] ; [22.07352941 15.92647059],0
p8,1,0.053887,3.716211,[39 58] ; [ 8 28],[34.27819549 62.72180451] ; [12.72180451 23.27819549],0
s5,1,0.065483,3.392756,[21 73] ; [ 3 33],[17.35384615 76.64615385] ; [ 6.64615385 29.35384615],0
d2,1,0.094331,2.798868,[33 63] ; [19 19],[37.25373134 58.74626866] ; [14.74626866 23.25373134],0
b4,1,0.103088,2.657109,[59 39] ; [17 21],[54.76470588 43.23529412] ; [21.23529412 16.76470588],0
p4,1,0.152628,2.045785,[41 56] ; [11 27],[37.36296296 59.63703704] ; [14.63703704 23.36296296],0
p3,1,0.182781,1.774866,[32 66] ; [ 8 30],[28.82352941 69.17647059] ; [11.17647059 26.82352941],0
s2,1,0.215344,1.535131,[34 64] ; [ 9 29],[30.98529412 67.01470588] ; [12.01470588 25.98529412],0
v3,1,0.219743,1.50605,[19 77] ; [ 4 33],[16.60150376 79.39849624] ; [ 6.39849624 30.60150376],0
s4,1,0.227653,1.455466,[19 79] ; [11 27],[21.61764706 76.38235294] ; [ 8.38235294 29.61764706],0
n2,1,0.231154,1.433749,[27 10] ; [9 7],[25.13207547 11.86792453] ; [10.86792453  5.13207547],0
b5,1,0.233892,1.417033,[60 38] ; [19 19],[56.92647059 41.07352941] ; [22.07352941 15.92647059],0
a1,1,0.267122,1.231466,[ 7 91] ; [ 5 33],[ 8.64705882 89.35294118] ; [ 3.35294118 34.64705882],0
s6,1,0.271047,1.21144,[41 57] ; [12 26],[38.19117647 59.80882353] ; [14.80882353 23.19117647],0
r2,1,0.273765,1.197785,[73 22] ; [25 12],[70.53030303 24.46969697] ; [27.46969697  9.53030303],0
d5,1,0.296561,1.089596,[63 34] ; [21 17],[60.35555556 36.64444444] ; [23.64444444 14.35555556],0
n5,1,0.352752,0.863532,[62 35] ; [21 17],[59.63703704 37.36296296] ; [23.36296296 14.63703704],0
s7,1,0.388388,0.743982,[28 66] ; [ 8 28],[26.03076923 67.96923077] ; [ 9.96923077 26.03076923],0
d4,1,0.390547,0.737238,[62 36] ; [21 17],[59.80882353 38.19117647] ; [23.19117647 14.80882353],0
a3,1,0.417494,0.657358,[54 44] ; [18 20],[51.88235294 46.11764706] ; [20.11764706 17.88235294],0
s8,1,0.449048,0.573053,[24 74] ; [ 7 31],[22.33823529 75.66176471] ; [ 8.66176471 29.33823529],0
n1,1,0.486919,0.483327,[12 25] ; [6 8],[13.05882353 23.94117647] ; [4.94117647 9.05882353],0
u1,1,0.529013,0.396287,[ 5 93] ; [ 1 37],[ 4.32352941 93.67647059] ; [ 1.67647059 36.32352941],0
b2,1,0.530503,0.393429,[22 34] ; [ 8 17],[20.74074074 35.25925926] ; [ 9.25925926 15.74074074],0
b3,1,0.530503,0.393429,[22 34] ; [ 8 17],[20.74074074 35.25925926] ; [ 9.25925926 15.74074074],0
p5,1,0.539496,0.376474,[ 5 92] ; [ 1 36],[ 4.34328358 92.65671642] ; [ 1.65671642 35.34328358],0
d3,1,0.562132,0.336027,[50 47] ; [17 20],[48.5 48.5] ; [18.5 18.5],0
a5,1,0.581592,0.303668,[49 49] ; [17 21],[47.55882353 50.44117647] ; [18.44117647 19.55882353],0
s3,1,0.583048,0.301333,[34 62] ; [15 22],[35.36842105 60.63157895] ; [13.63157895 23.36842105],0
a8,1,0.619548,0.246503,[10 83] ; [ 3 35],[ 9.22900763 83.77099237] ; [ 3.77099237 34.22900763],0
a6,1,0.641245,0.217117,[55 43] ; [23 15],[56.20588235 41.79411765] ; [21.79411765 16.20588235],0
u3,1,0.705131,0.14319,[13 30] ; [ 7 13],[13.65079365 29.34920635] ; [ 6.34920635 13.65079365],0
a7,1,0.705734,0.142575,[52 45] ; [19 19],[51.01481481 45.98518519] ; [19.98518519 18.01481481],0
p6,1,0.872754,0.025652,[27 68] ; [10 27],[26.62878788 68.37121212] ; [10.37121212 26.62878788],0
p7,1,0.886651,0.020319,[44 52] ; [17 19],[44.36363636 51.63636364] ; [16.63636364 19.36363636],0
v2,1,0.887086,0.020162,[22 73] ; [ 9 28],[22.31060606 72.68939394] ; [ 8.68939394 28.31060606],0
u2,1,0.891896,0.01847,[19 25] ; [ 9 11],[19.25 24.75] ; [ 8.75 11.25],0
s1,1,0.912743,0.012008,[ 3 95] ; [ 1 36],[ 2.9037037 95.0962963] ; [ 1.0962963 35.9037037],0
n3,1,0.932528,0.007168,[25 12] ; [11  5],[25.13207547 11.86792453] ; [10.86792453  5.13207547],0
a4,1,0.941415,0.005401,[30 67] ; [12 26],[30.17777778 66.82222222] ; [11.82222222 26.17777778],0
a2,1,0.955749,0.003079,[10 88] ; [ 4 34],[10.08823529 87.91176471] ; [ 3.91176471 34.08823529],0
d1,1,0.957584,0.002829,[34 64] ; [13 25],[33.86764706 64.13235294] ; [13.13235294 24.86764706],0
p1,1,0.970327,0.001384,[10 87] ; [ 4 34],[10.05925926 86.94074074] ; [ 3.94074074 34.05925926],0
