Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.000159,14.265706,[29  5] ; [ 8 14],[22.46428571 11.53571429] ; [14.53571429  7.46428571],1
d4,1,0.017063,5.68984,[19 15] ; [19  3],[23.07142857 10.92857143] ; [14.92857143  7.07142857],0
a6,1,0.020772,5.345838,[20 14] ; [ 6 16],[15.78571429 18.21428571] ; [10.21428571 11.78571429],0
r3,1,0.02703,4.888889,[14 19] ; [16  6],[18. 15.] ; [12. 10.],0
a3,1,0.032764,4.558081,[16 17] ; [17  5],[19.8 13.2] ; [13.2  8.8],0
s7,1,0.040634,4.191195,[ 4 30] ; [ 7 13],[ 6.92592593 27.07407407] ; [ 4.07407407 15.92592593],0
a4,1,0.041398,4.159664,[ 9 24] ; [12 10],[12.6 20.4] ; [ 8.4 13.6],0
v2,1,0.056658,3.632611,[ 7 26] ; [10 12],[10.2 22.8] ; [ 6.8 15.2],0
r1,1,0.059995,3.537533,[10 24] ; [12 10],[13.35714286 20.64285714] ; [ 8.64285714 13.35714286],0
d5,1,0.066234,3.373975,[18 16] ; [17  5],[21.25 12.75] ; [13.75  8.25],0
n3,1,0.072143,3.233566,[6 9] ; [7 2],[8.125 6.875] ; [4.875 4.125],0
n6,1,0.097254,2.75,[18 15] ; [ 7 15],[15. 18.] ; [10. 12.],0
n1,1,0.141326,2.163462,[9 6] ; [3 7],[7.2 7.8] ; [4.8 5.2],0
r4,1,0.167146,1.908357,[ 8 26] ; [ 9 13],[10.32142857 23.67857143] ; [ 6.67857143 15.32142857],0
d1,1,0.18664,1.743945,[11 23] ; [11 11],[13.35714286 20.64285714] ; [ 8.64285714 13.35714286],0
b4,1,0.203495,1.617112,[19 15] ; [16  6],[21.25 12.75] ; [13.75  8.25],0
d3,1,0.230493,1.43782,[13 21] ; [12 10],[15.17857143 18.82142857] ; [ 9.82142857 12.17857143],0
a8,1,0.261209,1.262338,[ 7 26] ; [ 2 19],[ 5.5 27.5] ; [ 3.5 17.5],0
p8,1,0.270912,1.212121,[ 5 28] ; [ 6 16],[ 6.6 26.4] ; [ 4.4 17.6],0
a7,1,0.27375,1.197861,[15 19] ; [13  9],[17. 17.] ; [11. 11.],0
p10,1,0.311873,1.022727,[15 18] ; [ 7 15],[13.2 19.8] ; [ 8.8 13.2],0
b1,1,0.316093,1.005044,[17 17] ; [14  8],[18.82142857 15.17857143] ; [12.17857143  9.82142857],0
p5,1,0.338352,0.916667,[ 4 29] ; [ 1 21],[ 3. 30.] ; [ 2. 20.],0
p3,1,0.362788,0.828218,[ 8 26] ; [ 3 19],[ 6.67857143 27.32142857] ; [ 4.32142857 17.67857143],0
s8,1,0.37152,0.798574,[ 6 28] ; [ 2 20],[ 4.85714286 29.14285714] ; [ 3.14285714 18.85714286],0
p1,1,0.37152,0.798574,[ 6 28] ; [ 2 20],[ 4.85714286 29.14285714] ; [ 3.14285714 18.85714286],0
s6,1,0.376371,0.78252,[ 7 26] ; [ 7 15],[ 8.4 24.6] ; [ 5.6 16.4],0
v3,1,0.406443,0.68918,[ 6 28] ; [ 2 19],[ 4.94545455 29.05454545] ; [ 3.05454545 17.94545455],0
b3,1,0.433357,0.613811,[ 8 15] ; [8 9],[ 9.2 13.8] ; [ 6.8 10.2],0
b2,1,0.433357,0.613811,[ 8 15] ; [8 9],[ 9.2 13.8] ; [ 6.8 10.2],0
p4,1,0.43614,0.606417,[11 23] ; [ 5 17],[ 9.71428571 24.28571429] ; [ 6.28571429 15.71428571],0
