Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b1,1,0.001023,10.785718,[35 72] ; [16  7],[41.97692308 65.02307692] ; [ 9.02307692 13.97692308],0
n4,1,0.023295,5.146408,[81 26] ; [12 11],[76.54615385 30.45384615] ; [16.45384615  6.54615385],0
v4,1,0.031904,4.603658,[100   5] ; [19  4],[97.6171875  7.3828125] ; [21.3828125  1.6171875],0
s2,1,0.036408,4.377891,[39 66] ; [14  9],[43.4765625 61.5234375] ; [ 9.5234375 13.4765625],0
p3,1,0.03691,4.354548,[53 53] ; [ 6 17],[48.48062016 57.51937984] ; [10.51937984 12.48062016],0
p8,1,0.051619,3.788089,[60 45] ; [ 8 15],[55.78125 49.21875] ; [12.21875 10.78125],0
r3,1,0.093118,2.819634,[99  7] ; [19  4],[96.96124031  9.03875969] ; [21.03875969  1.96124031],0
a6,1,0.114185,2.495321,[70 37] ; [11 12],[66.66923077 40.33076923] ; [14.33076923  8.66923077],0
n1,1,0.124634,2.358101,[12 11] ; [2 7],[10.0625 12.9375] ; [3.9375 5.0625],0
s7,1,0.158628,1.987258,[45 55] ; [13  8],[47.9338843 52.0661157] ; [10.0661157 10.9338843],0
r1,1,0.183899,1.765828,[75 31] ; [13 10],[72.31007752 33.68992248] ; [15.68992248  7.31007752],0
r4,1,0.196377,1.669116,[91 16] ; [17  6],[88.89230769 18.10769231] ; [19.10769231  3.89230769],0
d3,1,0.226663,1.461678,[27 80] ; [ 8 13],[29.2578125 77.7421875] ; [ 5.7421875 15.2578125],0
b5,1,0.237003,1.398331,[61 46] ; [10 13],[58.43846154 48.56153846] ; [12.56153846 10.43846154],0
s3,1,0.266823,1.233005,[50 54] ; [14  9],[52.40944882 51.59055118] ; [11.59055118 11.40944882],0
p5,1,0.273506,1.19908,[13 94] ; [ 1 22],[11.52307692 95.47692308] ; [ 2.47692308 20.52307692],0
b4,1,0.285532,1.140569,[55 52] ; [ 9 14],[52.67692308 54.32307692] ; [11.32307692 11.67692308],0
s1,1,0.309588,1.032434,[  4 102] ; [ 2 21],[  4.93023256 101.06976744] ; [ 1.06976744 21.93023256],0
u2,1,0.318608,0.994652,[27 24] ; [4 7],[25.5 25.5] ; [5.5 5.5],0
s5,1,0.387117,0.747979,[24 80] ; [ 7 15],[25.58730159 78.41269841] ; [ 5.41269841 16.58730159],0
p6,1,0.40381,0.696951,[32 74] ; [ 9 14],[33.68992248 72.31007752] ; [ 7.31007752 15.68992248],0
a7,1,0.410832,0.676393,[68 39] ; [16  6],[69.6744186 37.3255814] ; [14.3255814  7.6744186],0
s4,1,0.434026,0.612027,[20 86] ; [ 6 17],[21.36434109 84.63565891] ; [ 4.63565891 18.36434109],0
a4,1,0.475628,0.508872,[26 81] ; [ 4 19],[24.69230769 82.30769231] ; [ 5.30769231 17.69230769],0
p9,1,0.536884,0.381346,[98  9] ; [21  1],[98.70542636  8.29457364] ; [20.29457364  1.70542636],0
d5,1,0.611364,0.258194,[52 55] ; [12 10],[53.08527132 53.91472868] ; [10.91472868 11.08527132],0
p7,1,0.631764,0.229676,[65 40] ; [13 10],[63.984375 41.015625] ; [14.015625  8.984375],0
v2,1,0.664934,0.187585,[48 51] ; [10 13],[47.06557377 51.93442623] ; [10.93442623 12.06557377],0
p1,1,0.677857,0.172549,[15 92] ; [ 4 19],[15.63846154 91.36153846] ; [ 3.36153846 19.63846154],0
s8,1,0.707423,0.140864,[42 65] ; [10 13],[42.8 64.2] ; [ 9.2 13.8],0
n3,1,0.71249,0.135802,[20  4] ; [7 2],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
n2,1,0.71249,0.135802,[20  4] ; [7 2],[19.63636364  4.36363636] ; [7.36363636 1.63636364],0
a5,1,0.733887,0.115573,[61 46] ; [14  9],[61.73076923 45.26923077] ; [13.26923077  9.73076923],0
n5,1,0.74123,0.109048,[86 21] ; [17  5],[85.43410853 21.56589147] ; [17.56589147  4.43410853],0
v1,1,0.752869,0.099136,[50 53] ; [12 11],[50.68253968 52.31746032] ; [11.31746032 11.68253968],0
b2,1,0.797915,0.065559,[17 48] ; [3 7],[17.33333333 47.66666667] ; [2.66666667 7.33333333],0
b3,1,0.797915,0.065559,[17 48] ; [3 7],[17.33333333 47.66666667] ; [2.66666667 7.33333333],0
a8,1,0.817662,0.053155,[ 8 92] ; [ 2 19],[ 8.26446281 91.73553719] ; [ 1.73553719 19.26446281],0
u3,1,0.830087,0.046049,[26 25] ; [6 5],[26.32258065 24.67741935] ; [5.67741935 5.32258065],0
p4,1,0.839595,0.04097,[58 49] ; [13 10],[58.43846154 48.56153846] ; [12.56153846 10.43846154],0
d2,1,0.866703,0.028173,[25 82] ; [ 5 18],[24.69230769 82.30769231] ; [ 5.30769231 17.69230769],0
v3,1,0.893971,0.017764,[35 70] ; [ 8 15],[35.2734375 69.7265625] ; [ 7.7265625 15.2734375],0
p2,1,0.899423,0.015974,[85 22] ; [18  5],[84.77692308 22.22307692] ; [18.22307692  4.77692308],0
s6,1,0.934342,0.006787,[66 39] ; [13  8],[65.83333333 39.16666667] ; [13.16666667  7.83333333],0
d1,1,0.946256,0.004544,[  5 102] ; [ 1 22],[  4.93846154 102.06153846] ; [ 1.06153846 21.93846154],0
n6,1,0.947369,0.004358,[89 18] ; [19  4],[88.89230769 18.10769231] ; [19.10769231  3.89230769],0
a2,1,0.964532,0.001977,[ 9 98] ; [ 2 21],[ 9.05384615 97.94615385] ; [ 1.94615385 21.05384615],0
a3,1,0.988703,0.0002,[56 51] ; [12 11],[55.96923077 51.03076923] ; [12.03076923 10.96923077],0
