Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p3,1,0.0,33.20503,[33 10] ; [ 7 38],[19.54545455 23.45454545] ; [20.45454545 24.54545455],1
p8,1,0.0,26.626206,[29 13] ; [ 6 37],[17.29411765 24.70588235] ; [17.70588235 25.29411765],1
p6,1,1e-06,24.391728,[24 19] ; [ 3 41],[13.34482759 29.65517241] ; [13.65517241 30.34482759],1
p7,1,5e-06,20.760368,[33  9] ; [13 31],[22.46511628 19.53488372] ; [23.53488372 20.46511628],1
d5,1,0.011144,6.44226,[36  7] ; [26 18],[30.64367816 12.35632184] ; [31.35632184 12.64367816],0
s5,1,0.018137,5.582893,[21 19] ; [11 30],[15.80246914 24.19753086] ; [16.19753086 24.80246914],0
r1,1,0.018987,5.502683,[34  9] ; [25 20],[28.82954545 14.17045455] ; [30.17045455 14.82954545],0
p2,1,0.019318,5.472524,[37  6] ; [29 16],[32.25 10.75] ; [33.75 11.25],0
n5,1,0.023973,5.096572,[32 11] ; [23 22],[26.875 16.125] ; [28.125 16.875],0
d1,1,0.032838,4.554202,[22 21] ; [13 32],[17.10227273 25.89772727] ; [17.89772727 27.10227273],0
s6,1,0.05282,3.749602,[33  7] ; [28 16],[29.04761905 10.95238095] ; [31.95238095 12.04761905],0
a4,1,0.053055,3.742193,[20 23] ; [12 33],[15.63636364 27.36363636] ; [16.36363636 28.63636364],0
r4,1,0.054876,3.685861,[37  6] ; [31 14],[33.22727273  9.77272727] ; [34.77272727 10.22727273],0
a2,1,0.067029,3.354309,[ 7 36] ; [ 2 43],[ 4.39772727 38.60227273] ; [ 4.60227273 40.39772727],0
b5,1,0.090324,2.868587,[21 22] ; [30 15],[24.92045455 18.07954545] ; [26.07954545 18.92045455],0
n1,1,0.109249,2.565058,[5 5] ; [ 4 15],[3.10344828 6.89655172] ; [ 5.89655172 13.10344828],0
s7,1,0.11069,2.544346,[20 21] ; [14 30],[16.4 24.6] ; [17.6 26.4],0
v1,1,0.114045,2.497248,[19 23] ; [13 32],[15.44827586 26.55172414] ; [16.55172414 28.44827586],0
p9,1,0.138113,2.198864,[35  8] ; [29 14],[32. 11.] ; [32. 11.],0
n6,1,0.154282,2.0294,[36  6] ; [33 12],[33.31034483  8.68965517] ; [35.68965517  9.31034483],0
p11,1,0.159939,1.974807,[31 12] ; [26 19],[27.85227273 15.14772727] ; [29.14772727 15.85227273],0
a5,1,0.168648,1.894918,[30 13] ; [25 20],[26.875 16.125] ; [28.125 16.875],0
d3,1,0.169701,1.88558,[34  9] ; [29 15],[31.13793103 11.86206897] ; [31.86206897 12.13793103],0
