Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r4,1,0.0,53.465352,[2 9] ; [204  19],[9.68376068 1.31623932] ; [196.31623932  26.68376068],1
r2,1,6e-06,20.544654,[7 4] ; [211   9],[10.38095238  0.61904762] ; [207.61904762  12.38095238],1
v4,1,6e-06,20.544654,[7 4] ; [211   9],[10.38095238  0.61904762] ; [207.61904762  12.38095238],1
p11,1,0.007037,7.263605,[5 6] ; [178  45],[8.6025641 2.3974359] ; [174.3974359  48.6025641],0
r1,1,0.007592,7.127308,[6 5] ; [188  33],[9.19827586 1.80172414] ; [184.80172414  36.19827586],0
s2,1,0.017955,5.600517,[4 7] ; [156  66],[7.55364807 3.44635193] ; [152.44635193  69.55364807],0
p7,1,0.018504,5.547826,[2 8] ; [126  92],[5.61403509 4.38596491] ; [122.38596491  95.61403509],0
p2,1,0.027432,4.863387,[6 5] ; [182  41],[8.83760684 2.16239316] ; [179.16239316  43.83760684],0
v2,1,0.035694,4.41167,[3 8] ; [127  87],[6.35555556 4.64444444] ; [123.64444444  90.35555556],0
p5,1,0.041572,4.152535,[3 8] ; [ 19 199],[1.05676856 9.94323144] ; [ 20.94323144 197.05676856],0
p9,1,0.044368,4.0425,[7 4] ; [189  31],[9.33333333 1.66666667] ; [186.66666667  33.33333333],0
n6,1,0.059385,3.554465,[7 4] ; [187  33],[9.23809524 1.76190476] ; [184.76190476  35.23809524],0
n3,1,0.065245,3.398767,[3 5] ; [34 14],[5.28571429 2.71428571] ; [31.71428571 16.28571429],0
p10,1,0.07406,3.190655,[7 4] ; [187  35],[9.15879828 1.84120172] ; [184.84120172  37.15879828],0
s6,1,0.088887,2.894409,[7 4] ; [183  36],[9.08695652 1.91304348] ; [180.91304348  38.08695652],0
d5,1,0.094015,2.804241,[7 4] ; [185  37],[9.06437768 1.93562232] ; [182.93562232  39.06437768],0
b2,1,0.095838,2.773474,[1 8] ; [60 95],[3.34756098 5.65243902] ; [57.65243902 97.34756098],0
b3,1,0.095838,2.773474,[1 8] ; [60 95],[3.34756098 5.65243902] ; [57.65243902 97.34756098],0
b1,1,0.097164,2.751481,[7 4] ; [ 86 137],[4.37179487 6.62820513] ; [ 88.62820513 134.37179487],0
s3,1,0.101417,2.683122,[6 5] ; [168  52],[8.28571429 2.71428571] ; [165.71428571  54.28571429],0
p1,1,0.126748,2.331887,[2 9] ; [ 14 209],[ 0.75213675 10.24786325] ; [ 15.24786325 207.75213675],0
n4,1,0.173315,1.854031,[7 4] ; [178  43],[8.77155172 2.22844828] ; [176.22844828  44.77155172],0
a5,1,0.23057,1.43734,[7 4] ; [176  47],[8.6025641 2.3974359] ; [174.3974359  48.6025641],0
p3,1,0.246651,1.342175,[3 8] ; [100 122],[4.86266094 6.13733906] ; [ 98.13733906 123.86266094],0
v3,1,0.260051,1.268484,[3 8] ; [ 94 117],[4.80630631 6.19369369] ; [ 92.19369369 118.80630631],0
a7,1,0.279695,1.168569,[6 5] ; [156  67],[7.61538462 3.38461538] ; [154.38461538  68.61538462],0
u1,1,0.283228,1.151535,[ 1 10] ; [ 51 172],[2.44444444 8.55555556] ; [ 49.55555556 173.44444444],0
u3,1,0.301639,1.066936,[1 2] ; [26 15],[1.84090909 1.15909091] ; [25.15909091 15.84090909],0
d1,1,0.304128,1.056006,[5 6] ; [136  87],[6.62820513 4.37179487] ; [134.37179487  88.62820513],0
b5,1,0.35658,0.849901,[8 3] ; [131  92],[6.53418803 4.46581197] ; [132.46581197  90.53418803],0
d4,1,0.362541,0.829072,[8 3] ; [185  37],[9.11158798 1.88841202] ; [183.88841202  38.11158798],0
u2,1,0.416252,0.660874,[1 2] ; [23 17],[1.6744186 1.3255814] ; [22.3255814 17.6744186],0
s1,1,0.429221,0.624929,[ 1 10] ; [  9 210],[ 0.47826087 10.52173913] ; [  9.52173913 209.47826087],0
a3,1,0.461489,0.542282,[8 3] ; [182  41],[8.93162393 2.06837607] ; [181.06837607  41.93162393],0
s5,1,0.47046,0.520896,[3 8] ; [ 83 135],[4.13100437 6.86899563] ; [ 81.86899563 136.13100437],0
s8,1,0.472355,0.516461,[6 5] ; [144  77],[7.11206897 3.88793103] ; [142.88793103  78.11206897],0
s4,1,0.48815,0.480601,[3 8] ; [ 42 181],[2.11538462 8.88461538] ; [ 42.88461538 180.11538462],0
p4,1,0.53681,0.381484,[5 6] ; [122 100],[5.99570815 5.00429185] ; [121.00429185 100.99570815],0
p8,1,0.554233,0.349788,[4 7] ; [100 120],[4.95238095 6.04761905] ; [ 99.04761905 120.95238095],0
a6,1,0.634017,0.226652,[8 3] ; [146  76],[7.27038627 3.72961373] ; [146.72961373  75.27038627],0
n2,1,0.659394,0.194261,[6 2] ; [40  9],[6.45614035 1.54385965] ; [39.54385965  9.45614035],0
p12,1,0.659428,0.194219,[ 1 10] ; [ 13 209],[ 0.66094421 10.33905579] ; [ 13.33905579 208.66094421],0
