Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000413,12.470943,[11 24] ; [32 13],[18.8125 16.1875] ; [24.1875 20.8125],1
b1,1,0.001591,9.970144,[23 12] ; [14 32],[15.98765432 19.01234568] ; [21.01234568 24.98765432],0
n5,1,0.012052,6.303245,[25 10] ; [19 25],[19.49367089 15.50632911] ; [24.50632911 19.49367089],0
n1,1,0.032476,4.573187,[7 8] ; [ 3 18],[ 4.16666667 10.83333333] ; [ 5.83333333 15.16666667],0
n4,1,0.032992,4.546211,[25 10] ; [22 24],[20.30864198 14.69135802] ; [26.69135802 19.30864198],0
a6,1,0.034363,4.476535,[13 22] ; [28 18],[17.71604938 17.28395062] ; [23.28395062 22.71604938],0
p4,1,0.037374,4.333305,[19 15] ; [15 31],[14.45 19.55] ; [19.55 26.45],0
d5,1,0.041531,4.154215,[20 15] ; [36 10],[24.19753086 10.80246914] ; [31.80246914 14.19753086],0
a4,1,0.043337,4.082208,[14 21] ; [ 9 37],[ 9.9382716 25.0617284] ; [13.0617284 32.9382716],0
s7,1,0.091188,2.853278,[17 17] ; [13 29],[13.42105263 20.57894737] ; [16.57894737 25.42105263],0
d2,1,0.096194,2.767535,[17 18] ; [14 32],[13.39506173 21.60493827] ; [17.60493827 28.39506173],0
s8,1,0.127756,2.319566,[13 22] ; [10 36],[ 9.9382716 25.0617284] ; [13.0617284 32.9382716],0
d4,1,0.139689,2.181377,[24 11] ; [38  8],[26.79012346  8.20987654] ; [35.20987654 10.79012346],0
v1,1,0.159149,1.982298,[16 17] ; [14 29],[13.02631579 19.97368421] ; [16.97368421 26.02631579],0
u1,1,0.172569,1.860484,[ 1 34] ; [ 5 41],[ 2.59259259 32.40740741] ; [ 3.40740741 42.59259259],0
d1,1,0.248678,1.330714,[13 22] ; [23 23],[15.55555556 19.44444444] ; [20.44444444 25.55555556],0
v2,1,0.416007,0.661568,[16 17] ; [26 19],[17.76923077 15.23076923] ; [24.23076923 20.76923077],0
p9,1,0.42129,0.646713,[26  9] ; [29 15],[24.36708861 10.63291139] ; [30.63291139 13.36708861],0
a1,1,0.433961,0.6122,[ 3 32] ; [ 2 44],[ 2.16049383 32.83950617] ; [ 2.83950617 43.16049383],0
s2,1,0.443289,0.587755,[17 18] ; [18 27],[15.3125 19.6875] ; [19.6875 25.3125],0
p6,1,0.453108,0.562865,[10 23] ; [10 34],[ 8.57142857 24.42857143] ; [11.42857143 32.57142857],0
b2,1,0.466608,0.529996,[ 8 18] ; [ 4 15],[ 6.93333333 19.06666667] ; [ 5.06666667 13.93333333],0
b3,1,0.466608,0.529996,[ 8 18] ; [ 4 15],[ 6.93333333 19.06666667] ; [ 5.06666667 13.93333333],0
p10,1,0.48094,0.496732,[20 14] ; [28 14],[21.47368421 12.52631579] ; [26.52631579 15.47368421],0
