Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
u2,1,0.046358,3.968521,[2 8] ; [8 5],[4.34782609 5.65217391] ; [5.65217391 7.34782609],0
s6,1,0.060907,3.512525,[13 13] ; [25  9],[16.46666667  9.53333333] ; [21.53333333 12.46666667],0
n6,1,0.077278,3.121229,[18  8] ; [29  4],[20.71186441  5.28813559] ; [26.28813559  6.71186441],0
p11,1,0.113192,2.509075,[14 12] ; [25  9],[16.9  9.1] ; [22.1 11.9],0
n4,1,0.132545,2.262443,[22  4] ; [23 11],[19.5  6.5] ; [25.5  8.5],0
p5,1,0.142955,2.145864,[ 1 25] ; [ 5 27],[ 2.68965517 23.31034483] ; [ 3.31034483 28.68965517],0
u3,1,0.160958,1.965207,[4 6] ; [9 4],[5.65217391 4.34782609] ; [7.34782609 5.65217391],0
u1,1,0.165664,1.921746,[ 2 24] ; [ 7 27],[ 3.9 22.1] ; [ 5.1 28.9],0
p9,1,0.197213,1.662896,[15 11] ; [25  9],[17.33333333  8.66666667] ; [22.66666667 11.33333333],0
p8,1,0.201847,1.628959,[ 8 18] ; [16 18],[10.4 15.6] ; [13.6 20.4],0
p1,1,0.224067,1.47813,[ 4 22] ; [ 2 32],[ 2.6 23.4] ; [ 3.4 30.6],0
r3,1,0.224067,1.47813,[22  4] ; [32  2],[23.4  2.6] ; [30.6  3.4],0
b3,1,0.239918,1.381074,[ 5 12] ; [11 12],[ 6.8 10.2] ; [ 9.2 13.8],0
b2,1,0.239918,1.381074,[ 5 12] ; [11 12],[ 6.8 10.2] ; [ 9.2 13.8],0
a1,1,0.271455,1.209379,[ 1 25] ; [ 4 30],[ 2.16666667 23.83333333] ; [ 2.83333333 31.16666667],0
r2,1,0.271455,1.209379,[25  1] ; [30  4],[23.83333333  2.16666667] ; [31.16666667  2.83333333],0
r1,1,0.345009,0.891731,[17  9] ; [26  8],[18.63333333  7.36666667] ; [24.36666667  9.63333333],0
p6,1,0.357001,0.848416,[ 7 19] ; [13 21],[ 8.66666667 17.33333333] ; [11.33333333 22.66666667],0
d3,1,0.414062,0.667106,[11 15] ; [18 16],[12.56666667 13.43333333] ; [16.43333333 17.56666667],0
p7,1,0.414062,0.667106,[15 11] ; [16 18],[13.43333333 12.56666667] ; [17.56666667 16.43333333],0
