Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p9,1,0.0,27.945491,[103   7] ; [12 11],[95.11278195 14.88721805] ; [19.88721805  3.11278195],1
p11,1,8.9e-05,15.353001,[96 14] ; [12 11],[89.32330827 20.67669173] ; [18.67669173  4.32330827],1
p7,1,0.000175,14.080283,[81 27] ; [ 8 15],[73.3740458 34.6259542] ; [15.6259542  7.3740458],1
s8,1,0.004156,8.214303,[85 25] ; [11 12],[79.39849624 30.60150376] ; [16.60150376  6.39849624],0
a3,1,0.006018,7.544771,[97 13] ; [15  8],[92.63157895 17.36842105] ; [19.36842105  3.63157895],0
p2,1,0.006536,7.396338,[93 16] ; [14  9],[88.35606061 20.64393939] ; [18.64393939  4.35606061],0
n6,1,0.011462,6.392218,[97 12] ; [15  7],[93.19083969 15.80916031] ; [18.80916031  3.19083969],0
r4,1,0.01474,5.947277,[95 15] ; [15  8],[90.97744361 19.02255639] ; [19.02255639  3.97744361],0
p8,1,0.018652,5.533865,[62 46] ; [ 7 16],[56.88549618 51.11450382] ; [12.11450382 10.88549618],0
r3,1,0.03017,4.69956,[107   3] ; [20  3],[105.03759398   4.96240602] ; [21.96240602  1.03759398],0
v4,1,0.052264,3.767289,[102   6] ; [19  4],[99.75572519  8.24427481] ; [21.24427481  1.75572519],0
r1,1,0.062996,3.456699,[87 23] ; [14  9],[83.53383459 26.46616541] ; [17.46616541  5.53383459],0
v3,1,0.07755,3.115521,[54 55] ; [ 6 15],[50.30769231 58.69230769] ; [ 9.69230769 11.30769231],0
n5,1,0.110416,2.548263,[95 15] ; [16  6],[92.5 17.5] ; [18.5  3.5],0
d5,1,0.154183,2.030372,[90 19] ; [16  7],[87.53030303 21.46969697] ; [18.46969697  4.53030303],0
a5,1,0.185892,1.749877,[86 24] ; [15  8],[83.53383459 26.46616541] ; [17.46616541  5.53383459],0
b5,1,0.196765,1.666224,[46 64] ; [13 10],[48.79699248 61.20300752] ; [10.20300752 12.79699248],0
p4,1,0.229833,1.441897,[72 38] ; [12 11],[69.47368421 40.52631579] ; [14.52631579  8.47368421],0
p3,1,0.246585,1.342548,[67 43] ; [11 12],[64.5112782 45.4887218] ; [13.4887218  9.5112782],0
p6,1,0.276266,1.185365,[51 57] ; [ 8 15],[48.64122137 59.35877863] ; [10.35877863 12.64122137],0
r2,1,0.28188,1.158003,[101   7] ; [20  3],[99.75572519  8.24427481] ; [21.24427481  1.75572519],0
s1,1,0.28771,1.130306,[  4 106] ; [ 2 21],[  4.96240602 105.03759398] ; [ 1.03759398 21.96240602],0
b1,1,0.304086,1.056188,[54 56] ; [14  9],[56.2406015 53.7593985] ; [11.7593985 11.2406015],0
a2,1,0.308151,1.038583,[11 99] ; [ 4 19],[12.40601504 97.59398496] ; [ 2.59398496 20.40601504],0
p5,1,0.341896,0.903308,[15 93] ; [ 5 18],[16.48854962 91.51145038] ; [ 3.51145038 19.48854962],0
a6,1,0.369196,0.806368,[37 73] ; [10 13],[38.87218045 71.12781955] ; [ 8.12781955 14.87218045],0
u1,1,0.389549,0.740349,[11 99] ; [ 1 22],[  9.92481203 100.07518797] ; [ 2.07518797 20.92481203],0
p12,1,0.446635,0.579178,[10 99] ; [ 1 22],[ 9.08333333 99.91666667] ; [ 1.91666667 21.08333333],0
d4,1,0.461162,0.543074,[88 21] ; [17  6],[86.70454545 22.29545455] ; [18.29545455  4.70454545],0
d1,1,0.569333,0.3238,[55 55] ; [13 10],[56.2406015 53.7593985] ; [11.7593985 11.2406015],0
v2,1,0.570581,0.321711,[53 53] ; [10 13],[51.76744186 54.23255814] ; [11.23255814 11.76744186],0
p1,1,0.571465,0.320238,[10 99] ; [ 3 20],[10.73484848 98.26515152] ; [ 2.26515152 20.73484848],0
a1,1,0.611534,0.257947,[  8 102] ; [ 1 22],[  7.44360902 102.55639098] ; [ 1.55639098 21.44360902],0
d2,1,0.624179,0.240037,[56 54] ; [13 10],[57.06766917 52.93233083] ; [11.93233083 11.06766917],0
s6,1,0.65519,0.199419,[88 19] ; [18  5],[87.24615385 19.75384615] ; [18.75384615  4.24615385],0
n1,1,0.660768,0.192593,[16 11] ; [8 4],[16.61538462 10.38461538] ; [7.38461538 4.61538462],0
b4,1,0.668774,0.18304,[52 58] ; [12 11],[52.93233083 57.06766917] ; [11.06766917 11.93233083],0
d3,1,0.681176,0.168805,[53 57] ; [10 13],[52.10526316 57.89473684] ; [10.89473684 12.10526316],0
b3,1,0.68624,0.163186,[43 39] ; [8 9],[42.24242424 39.75757576] ; [8.75757576 8.24242424],0
b2,1,0.68624,0.163186,[43 39] ; [8 9],[42.24242424 39.75757576] ; [8.75757576 8.24242424],0
u3,1,0.697161,0.151442,[7 6] ; [5 3],[7.42857143 5.57142857] ; [4.57142857 3.42857143],0
u2,1,0.750679,0.100962,[9 4] ; [5 3],[8.66666667 4.33333333] ; [5.33333333 2.66666667],0
s2,1,0.758261,0.094719,[80 30] ; [16  7],[79.39849624 30.60150376] ; [16.60150376  6.39849624],0
s3,1,0.774615,0.081993,[83 27] ; [18  5],[83.53383459 26.46616541] ; [17.46616541  5.53383459],0
a4,1,0.787978,0.072327,[54 56] ; [12 11],[54.58646617 55.41353383] ; [11.41353383 11.58646617],0
s5,1,0.789183,0.071488,[47 58] ; [11 12],[47.578125 57.421875] ; [10.421875 12.578125],0
n2,1,0.804228,0.061444,[22  6] ; [9 3],[21.7  6.3] ; [9.3 2.7],0
n4,1,0.81147,0.056897,[97 13] ; [19  3],[96.66666667 13.33333333] ; [19.33333333  2.66666667],0
v1,1,0.831829,0.045095,[61 46] ; [12 10],[60.5503876 46.4496124] ; [12.4496124  9.5503876],0
u4,1,0.870412,0.026613,[  4 106] ; [ 1 22],[  4.13533835 105.86466165] ; [ 0.86466165 22.13533835],0
a8,1,0.962406,0.002222,[15 92] ; [ 3 19],[14.93023256 92.06976744] ; [ 3.06976744 18.93023256],0
s4,1,0.968291,0.00158,[28 81] ; [ 6 17],[28.07575758 80.92424242] ; [ 5.92424242 17.07575758],0
n3,1,1.0,0.0,[18  9] ; [8 4],[18.  9.] ; [8. 4.],0
