Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a3,1,2e-06,22.4,[12 28] ; [33  7],[22.5 17.5] ; [22.5 17.5],1
a4,1,4e-06,21.058496,[ 5 36] ; [24 15],[14.8625 26.1375] ; [14.1375 24.8625],1
d5,1,1e-05,19.436174,[14 27] ; [33  7],[23.79012346 17.20987654] ; [23.20987654 16.79012346],1
d2,1,0.000147,14.410134,[11 30] ; [27 12],[19.475 21.525] ; [18.525 20.475],1
d1,1,0.000194,13.88773,[ 8 33] ; [24 16],[16.19753086 24.80246914] ; [15.80246914 24.19753086],1
d4,1,0.000832,11.168091,[20 20] ; [34  6],[27. 13.] ; [27. 13.],1
s6,1,0.001474,10.111111,[11 28] ; [25 14],[18. 21.] ; [18. 21.],0
r2,1,0.001589,9.972546,[25 15] ; [36  3],[30.88607595  9.11392405] ; [30.11392405  8.88607595],0
r4,1,0.017761,5.619567,[18 23] ; [28 12],[23.28395062 17.71604938] ; [22.71604938 17.28395062],0
p3,1,0.041355,4.161392,[10 31] ; [18 21],[14.35 26.65] ; [13.65 25.35],0
b5,1,0.059052,3.563807,[25 16] ; [16 24],[20.75308642 20.24691358] ; [20.24691358 19.75308642],0
n3,1,0.071601,3.245932,[ 7 11] ; [13  6],[9.72972973 8.27027027] ; [10.27027027  8.72972973],0
s5,1,0.073955,3.192982,[ 7 32] ; [14 25],[10.5 28.5] ; [10.5 28.5],0
d3,1,0.093897,2.806264,[13 28] ; [20 20],[16.7037037 24.2962963] ; [16.2962963 23.7037037],0
r3,1,0.116074,2.469512,[24 17] ; [30 10],[27.33333333 13.66666667] ; [26.66666667 13.33333333],0
n5,1,0.118918,2.43152,[29 12] ; [21 18],[25.625 15.375] ; [24.375 14.625],0
n1,1,0.119422,2.424884,[ 5 13] ; [11 10],[ 7.38461538 10.61538462] ; [ 8.61538462 12.38461538],0
v4,1,0.121335,2.4,[27 13] ; [33  7],[30. 10.] ; [30. 10.],0
b2,1,0.121582,2.39682,[ 7 18] ; [11 11],[ 9.57446809 15.42553191] ; [ 8.42553191 13.57446809],0
b3,1,0.121582,2.39682,[ 7 18] ; [11 11],[ 9.57446809 15.42553191] ; [ 8.42553191 13.57446809],0
n6,1,0.179392,1.802654,[22 19] ; [26 12],[24.91139241 16.08860759] ; [23.08860759 14.91139241],0
p2,1,0.183839,1.766315,[25 16] ; [18 21],[22.0375 18.9625] ; [20.9625 18.0375],0
v2,1,0.192574,1.697818,[12 27] ; [18 22],[14.81012658 24.18987342] ; [15.18987342 24.81012658],0
v3,1,0.193391,1.691595,[10 30] ; [14 22],[12.63157895 27.36842105] ; [11.36842105 24.63157895],0
b1,1,0.195176,1.678106,[23 18] ; [28 12],[25.81481481 15.18518519] ; [25.18518519 14.81481481],0
s3,1,0.210354,1.568989,[21 19] ; [15 24],[18.2278481 21.7721519] ; [17.7721519 21.2278481],0
r1,1,0.218127,1.516649,[19 22] ; [24 16],[21.7654321 19.2345679] ; [21.2345679 18.7654321],0
s2,1,0.218479,1.514337,[13 28] ; [18 22],[15.69135802 25.30864198] ; [15.30864198 24.69135802],0
u2,1,0.233614,1.418719,[11 18] ; [1 6],[ 9.66666667 19.33333333] ; [2.33333333 4.66666667],0
p8,1,0.261592,1.260312,[10 31] ; [14 25],[12.3 28.7] ; [11.7 27.3],0
n2,1,0.29148,1.112772,[9 9] ; [14  7],[10.61538462  7.38461538] ; [12.38461538  8.61538462],0
s4,1,0.362213,0.830205,[ 6 35] ; [ 9 31],[ 7.59259259 33.40740741] ; [ 7.40740741 32.59259259],0
p6,1,0.378692,0.774942,[ 7 33] ; [10 29],[ 8.60759494 31.39240506] ; [ 8.39240506 30.60759494],0
p1,1,0.413835,0.667756,[ 4 37] ; [ 2 38],[ 3.03703704 37.96296296] ; [ 2.96296296 37.03703704],0
p9,1,0.427222,0.630363,[17 22] ; [20 18],[18.74025974 20.25974026] ; [18.25974026 19.74025974],0
a6,1,0.432023,0.617378,[12 29] ; [15 25],[13.66666667 27.33333333] ; [13.33333333 26.66666667],0
a1,1,0.434398,0.611035,[ 3 38] ; [ 5 35],[ 4.04938272 36.95061728] ; [ 3.95061728 36.04938272],0
s7,1,0.45771,0.551489,[11 25] ; [14 22],[12.5 23.5] ; [12.5 23.5],0
v1,1,0.485351,0.486815,[13 27] ; [16 24],[14.5 25.5] ; [14.5 25.5],0
s8,1,0.523019,0.407935,[10 31] ; [12 27],[11.275 29.725] ; [10.725 28.275],0
n4,1,0.526676,0.4008,[28 13] ; [24 15],[26.65 14.35] ; [25.35 13.65],0
u1,1,0.541739,0.372326,[ 1 40] ; [ 2 38],[ 1.51851852 39.48148148] ; [ 1.48148148 38.51851852],0
u3,1,0.643563,0.214113,[11 18] ; [2 5],[10.47222222 18.52777778] ; [2.52777778 4.47222222],0
s1,1,0.667455,0.184594,[ 3 38] ; [ 4 36],[ 3.54320988 37.45679012] ; [ 3.45679012 36.54320988],0
p7,1,0.743772,0.106839,[17 23] ; [18 21],[17.72151899 22.27848101] ; [17.27848101 21.72151899],0
a8,1,0.74506,0.105729,[ 3 35] ; [ 4 36],[ 3.41025641 34.58974359] ; [ 3.58974359 36.41025641],0
p4,1,0.746357,0.104618,[16 24] ; [17 22],[16.70886076 23.29113924] ; [16.29113924 22.70886076],0
b4,1,0.748025,0.103198,[24 17] ; [22 18],[23.28395062 17.71604938] ; [22.71604938 17.28395062],0
p10,1,0.894316,0.017648,[16 23] ; [17 23],[16.29113924 22.70886076] ; [16.70886076 23.29113924],0
