Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,0.000414,12.466098,[31 10] ; [ 7 16],[24.34375 16.65625] ; [13.65625  9.34375],1
p10,1,0.001351,10.271751,[35  6] ; [11 12],[29.46875 11.53125] ; [16.53125  6.46875],0
s8,1,0.001454,10.136107,[24 17] ; [ 4 19],[17.9375 23.0625] ; [10.0625 12.9375],0
d4,1,0.005198,7.809069,[38  3] ; [15  8],[33.953125  7.046875] ; [19.046875  3.953125],0
s5,1,0.008668,6.889952,[20 18] ; [ 4 18],[15.2 22.8] ; [ 8.8 13.2],0
d5,1,0.008965,6.829823,[36  5] ; [13  9],[31.88888889  9.11111111] ; [17.11111111  4.88888889],0
p9,1,0.010559,6.537999,[35  6] ; [13 10],[30.75 10.25] ; [17.25  5.75],0
s2,1,0.011305,6.416725,[26 15] ; [ 7 16],[21.140625 19.859375] ; [11.859375 11.140625],0
s3,1,0.012558,6.230329,[24 17] ; [ 6 17],[19.21875 21.78125] ; [10.78125 12.21875],0
p4,1,0.017368,5.658804,[33  8] ; [12 11],[28.828125 12.171875] ; [16.171875  6.828125],0
a5,1,0.017368,5.658804,[33  8] ; [12 11],[28.828125 12.171875] ; [16.171875  6.828125],0
p3,1,0.018559,5.542595,[30 11] ; [10 13],[25.625 15.375] ; [14.375  8.625],0
b4,1,0.023412,5.137693,[28 13] ; [ 9 14],[23.703125 17.296875] ; [13.296875  9.703125],0
p2,1,0.02704,4.888273,[30 11] ; [22  1],[33.3125  7.6875] ; [18.6875  4.3125],0
d2,1,0.027636,4.850602,[26 15] ; [ 8 15],[21.78125 19.21875] ; [12.21875 10.78125],0
s4,1,0.073209,3.209563,[16 25] ; [ 4 19],[12.8125 28.1875] ; [ 7.1875 15.8125],0
a3,1,0.08971,2.879564,[30 11] ; [12 11],[26.90625 14.09375] ; [15.09375  7.90625],0
r4,1,0.099377,2.71552,[39  2] ; [19  4],[37.15625  3.84375] ; [20.84375  2.15625],0
a7,1,0.116208,2.467694,[28 13] ; [19  3],[30.58730159 10.41269841] ; [16.41269841  5.58730159],0
d3,1,0.179592,1.800998,[34  7] ; [15  7],[31.88888889  9.11111111] ; [17.11111111  4.88888889],0
s7,1,0.211024,1.564384,[23 17] ; [ 9 13],[20.64516129 19.35483871] ; [11.35483871 10.64516129],0
a8,1,0.244737,1.353101,[ 2 37] ; [ 3 19],[ 3.19672131 35.80327869] ; [ 1.80327869 20.19672131],0
u2,1,0.268925,1.222222,[10  1] ; [8 3],[9. 2.] ; [9. 2.],0
b5,1,0.295754,1.093241,[25 16] ; [17  6],[26.90625 14.09375] ; [15.09375  7.90625],0
a4,1,0.35242,0.864725,[21 20] ; [ 9 14],[19.21875 21.78125] ; [10.78125 12.21875],0
v3,1,0.364423,0.822595,[11 29] ; [ 4 19],[ 9.52380952 30.47619048] ; [ 5.47619048 17.52380952],0
v1,1,0.427732,0.628975,[18 22] ; [ 8 15],[16.50793651 23.49206349] ; [ 9.49206349 13.50793651],0
p12,1,0.439192,0.598393,[ 4 37] ; [ 1 22],[ 3.203125 37.796875] ; [ 1.796875 21.203125],0
u1,1,0.510437,0.433171,[ 8 33] ; [ 3 20],[ 7.046875 33.953125] ; [ 3.953125 19.046875],0
a2,1,0.512878,0.428192,[12 29] ; [ 5 18],[10.890625 30.109375] ; [ 6.109375 16.890625],0
p7,1,0.538979,0.377435,[30 10] ; [18  4],[30.96774194  9.03225806] ; [17.03225806  4.96774194],0
v4,1,0.544924,0.36649,[39  2] ; [21  2],[38.4375  2.5625] ; [21.5625  1.4375],0
s1,1,0.544924,0.36649,[ 2 39] ; [ 2 21],[ 2.5625 38.4375] ; [ 1.4375 21.5625],0
a6,1,0.619133,0.247088,[26 15] ; [16  7],[26.90625 14.09375] ; [15.09375  7.90625],0
r2,1,0.621313,0.244026,[37  3] ; [22  1],[37.46031746  2.53968254] ; [21.53968254  1.46031746],0
a1,1,0.637745,0.221704,[ 3 38] ; [ 1 22],[ 2.5625 38.4375] ; [ 1.4375 21.5625],0
p1,1,0.641188,0.217192,[ 7 33] ; [ 3 20],[ 6.34920635 33.65079365] ; [ 3.65079365 19.34920635],0
v2,1,0.720894,0.127637,[21 19] ; [11 12],[20.31746032 19.68253968] ; [11.68253968 11.31746032],0
r1,1,0.758219,0.094754,[30 11] ; [16  7],[29.46875 11.53125] ; [16.53125  6.46875],0
p11,1,0.785925,0.07377,[29 12] ; [17  6],[29.46875 11.53125] ; [16.53125  6.46875],0
n4,1,0.794466,0.067869,[21 20] ; [11 12],[20.5 20.5] ; [11.5 11.5],0
n1,1,0.805803,0.06044,[6 8] ; [3 5],[5.72727273 8.27272727] ; [3.27272727 4.72727273],0
n3,1,0.856417,0.032738,[10  4] ; [6 2],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
n2,1,0.856417,0.032738,[10  4] ; [6 2],[10.18181818  3.81818182] ; [5.81818182 2.18181818],0
b2,1,0.865053,0.028881,[10 18] ; [5 8],[10.24390244 17.75609756] ; [4.75609756 8.24390244],0
b3,1,0.865053,0.028881,[10 18] ; [5 8],[10.24390244 17.75609756] ; [4.75609756 8.24390244],0
p8,1,0.90908,0.013041,[22 19] ; [12 11],[21.78125 19.21875] ; [12.21875 10.78125],0
b1,1,0.941563,0.005374,[20 21] ; [11 12],[19.859375 21.140625] ; [11.140625 11.859375],0
n6,1,0.971121,0.001311,[28 12] ; [16  7],[27.93650794 12.06349206] ; [16.06349206  6.93650794],0
