Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,1.7e-05,18.549448,[43 29] ; [ 7 33],[32.14285714 39.85714286] ; [17.85714286 22.14285714],1
p6,1,2.8e-05,17.581341,[36 33] ; [ 5 36],[25.71818182 43.28181818] ; [15.28181818 25.71818182],1
p11,1,0.001333,10.296747,[59 13] ; [22 19],[51.61061947 20.38938053] ; [29.38938053 11.61061947],0
n5,1,0.001619,9.937447,[60 12] ; [23 18],[52.88495575 19.11504425] ; [30.11504425 10.88495575],0
p3,1,0.021269,5.304641,[39 33] ; [13 28],[33.13274336 38.86725664] ; [18.86725664 22.13274336],0
n4,1,0.023436,5.135922,[58 14] ; [25 16],[52.88495575 19.11504425] ; [30.11504425 10.88495575],0
s7,1,0.049744,3.850082,[33 35] ; [11 27],[28.22641509 39.77358491] ; [15.77358491 22.22641509],0
n2,1,0.075426,3.160797,[14  3] ; [5 5],[11.96296296  5.03703704] ; [7.03703704 2.96296296],0
p2,1,0.075731,3.154219,[61 11] ; [29 12],[57.34513274 14.65486726] ; [32.65486726  8.34513274],0
p4,1,0.077142,3.12412,[44 28] ; [18 23],[39.50442478 32.49557522] ; [22.49557522 18.50442478],0
r3,1,0.109623,2.559644,[69  3] ; [36  5],[66.90265487  5.09734513] ; [38.09734513  2.90265487],0
b2,1,0.111013,2.539734,[13 35] ; [ 9 10],[15.76119403 32.23880597] ; [ 6.23880597 12.76119403],0
b3,1,0.111013,2.539734,[13 35] ; [ 9 10],[15.76119403 32.23880597] ; [ 6.23880597 12.76119403],0
v2,1,0.119873,2.418981,[47 25] ; [19 19],[43.2 28.8] ; [22.8 15.2],0
a7,1,0.13134,2.276598,[40 31] ; [29 12],[43.74107143 27.25892857] ; [25.25892857 15.74107143],0
a6,1,0.159341,1.980471,[34 38] ; [25 16],[37.59292035 34.40707965] ; [21.40707965 19.59292035],0
a3,1,0.171201,1.872399,[38 33] ; [16 24],[34.54054054 36.45945946] ; [19.45945946 20.54054054],0
p5,1,0.182327,1.778555,[14 57] ; [ 4 36],[11.51351351 59.48648649] ; [ 6.48648649 33.51351351],0
p10,1,0.185933,1.749553,[59 12] ; [29 11],[56.28828829 14.71171171] ; [31.71171171  8.28828829],0
b4,1,0.205381,1.603691,[35 37] ; [25 16],[38.2300885 33.7699115] ; [21.7699115 19.2300885],0
n6,1,0.232878,1.423199,[58 14] ; [29 12],[55.43362832 16.56637168] ; [31.56637168  9.43362832],0
v4,1,0.24408,1.356876,[68  3] ; [37  4],[66.5625  4.4375] ; [38.4375  2.5625],0
v3,1,0.244213,1.356109,[36 36] ; [15 24],[33.08108108 38.91891892] ; [17.91891892 21.08108108],0
s2,1,0.257048,1.284588,[35 37] ; [15 25],[32.14285714 39.85714286] ; [17.85714286 22.14285714],0
a8,1,0.301736,1.066504,[10 56] ; [ 3 34],[ 8.33009709 57.66990291] ; [ 4.66990291 32.33009709],0
s3,1,0.331039,0.94483,[42 30] ; [19 20],[39.56756757 32.43243243] ; [21.43243243 17.56756757],0
b5,1,0.352268,0.865271,[41 31] ; [27 14],[43.32743363 28.67256637] ; [24.67256637 16.32743363],0
u2,1,0.357069,0.848175,[18 15] ; [16  8],[19.68421053 13.31578947] ; [14.31578947  9.68421053],0
s6,1,0.363122,0.827068,[48 22] ; [24 16],[45.81818182 24.18181818] ; [26.18181818 13.81818182],0
s8,1,0.364693,0.821666,[29 43] ; [13 28],[26.76106195 45.23893805] ; [15.23893805 25.76106195],0
