Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,1e-06,23.496351,[ 57 107] ; [86 51],[77.91362126 86.08637874] ; [65.08637874 71.91362126],1
s2,1,0.00019,13.926963,[ 58 113] ; [77 63],[74.22829582 96.77170418] ; [60.77170418 79.22829582],1
s6,1,0.000241,13.480932,[85 87] ; [98 42],[100.88461538  71.11538462] ; [82.11538462 57.88461538],1
v3,1,0.001212,10.471706,[ 41 123] ; [58 78],[ 54.12 109.88] ; [44.88 91.12],0
p9,1,0.002338,9.263121,[118  51] ; [120  22],[129.33118971  39.66881029] ; [108.66881029  33.33118971],0
p4,1,0.009149,6.793576,[ 61 111] ; [72 72],[72.39240506 99.60759494] ; [60.60759494 83.39240506],0
p2,1,0.015216,5.891257,[109  64] ; [109  35],[118.97160883  54.02839117] ; [99.02839117 44.97160883],0
p3,1,0.020072,5.4056,[ 44 128] ; [54 89],[ 53.51111111 118.48888889] ; [44.48888889 98.51111111],0
p5,1,0.020639,5.357022,[  6 167] ; [ 14 128],[ 10.98412698 162.01587302] ; [  9.01587302 132.98412698],0
a5,1,0.04082,4.18349,[110  63] ; [107  37],[118.42586751  54.57413249] ; [98.57413249 45.42586751],0
s3,1,0.05022,3.834089,[73 99] ; [75 65],[81.58974359 90.41025641] ; [66.41025641 73.58974359],0
r2,1,0.056333,3.642178,[157  15] ; [139   5],[161.11392405  10.88607595] ; [134.88607595   9.11392405],0
r3,1,0.05852,3.578832,[152  20] ; [136   8],[156.75949367  15.24050633] ; [131.24050633  12.75949367],0
p12,1,0.069712,3.289787,[  8 165] ; [ 14 128],[ 12.08253968 160.91746032] ; [  9.91746032 132.08253968],0
r4,1,0.078606,3.093481,[143  30] ; [129  15],[148.44164038  24.55835962] ; [123.55835962  20.44164038],0
s5,1,0.079675,3.071523,[ 35 130] ; [40 93],[ 41.52684564 123.47315436] ; [33.47315436 99.52684564],0
s7,1,0.089134,2.889936,[ 55 111] ; [58 78],[ 62.11258278 103.88741722] ; [50.88741722 85.11258278],0
p10,1,0.098374,2.731711,[112  59] ; [106  37],[118.71974522  52.28025478] ; [99.28025478 43.71974522],0
p11,1,0.10203,2.673525,[110  63] ; [104  40],[116.78864353  56.21135647] ; [97.21135647 46.78864353],0
s8,1,0.131977,2.269089,[ 53 120] ; [55 87],[ 59.31428571 113.68571429] ; [48.68571429 93.31428571],0
s1,1,0.132518,2.26276,[ 11 160] ; [  4 139],[  8.16878981 162.83121019] ; [  6.83121019 136.16878981],0
p6,1,0.161004,1.964773,[ 22 151] ; [ 26 115],[ 26.44585987 146.55414013] ; [ 21.55414013 119.44585987],0
r1,1,0.192142,1.70112,[124  48] ; [113  31],[129.  43.] ; [108.  36.],0
p8,1,0.212414,1.554896,[ 39 134] ; [ 41 102],[ 43.79746835 129.20253165] ; [ 36.20253165 106.79746835],0
n4,1,0.215206,1.536053,[115  58] ; [105  39],[120.06309148  52.93690852] ; [99.93690852 44.06309148],0
a8,1,0.223694,1.480517,[ 11 149] ; [ 14 114],[ 13.88888889 146.11111111] ; [ 11.11111111 116.88888889],0
n2,1,0.232603,1.424872,[47 22] ; [30  8],[49.65420561 19.34579439] ; [27.34579439 10.65420561],0
b3,1,0.235924,1.404787,[29 62] ; [34 50],[32.76 58.24] ; [30.24 53.76],0
b2,1,0.235924,1.404787,[29 62] ; [34 50],[32.76 58.24] ; [30.24 53.76],0
s4,1,0.240431,1.378063,[ 33 139] ; [ 20 121],[ 29.12460064 142.87539936] ; [ 23.87539936 117.12460064],0
b5,1,0.249761,1.32464,[107  66] ; [98 46],[111.87697161  61.12302839] ; [93.12302839 50.87697161],0
u2,1,0.259158,1.273247,[31 29] ; [30 18],[33.88888889 26.11111111] ; [27.11111111 20.88888889],0
u4,1,0.291427,1.113017,[  2 171] ; [  4 140],[  3.27444795 169.72555205] ; [  2.72555205 141.27444795],0
a1,1,0.319467,0.991129,[  7 166] ; [  3 141],[  5.45741325 167.54258675] ; [  4.54258675 139.45741325],0
a4,1,0.330233,0.947985,[74 99] ; [69 74],[78.28797468 94.71202532] ; [64.71202532 78.28797468],0
u3,1,0.333864,0.933852,[35 25] ; [33 16],[37.43119266 22.56880734] ; [30.56880734 18.43119266],0
b4,1,0.417113,0.658436,[111  62] ; [86 58],[107.51104101  65.48895899] ; [89.48895899 54.51104101],0
