Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v3,1,5.7e-05,16.189882,[118  84] ; [41 76],[100.68338558 101.31661442] ; [58.31661442 58.68338558],1
v2,1,0.00063,11.68593,[142  62] ; [59 58],[127.73831776  76.26168224] ; [73.26168224 43.73831776],1
p7,1,0.00092,10.981832,[156  45] ; [73 48],[142.94720497  58.05279503] ; [86.05279503 34.94720497],1
p6,1,0.001145,10.576966,[109  99] ; [41 80],[ 94.83282675 113.16717325] ; [55.16717325 65.83282675],0
s5,1,0.003036,8.785966,[106  95] ; [42 76],[ 93.2539185 107.7460815] ; [54.7460815 63.2539185],0
n5,1,0.00465,8.010937,[181  28] ; [89 31],[171.51975684  37.48024316] ; [98.48024316 21.51975684],0
n2,1,0.006219,7.485795,[30  4] ; [22 15],[24.90140845  9.09859155] ; [27.09859155  9.90140845],0
n1,1,0.006726,7.344686,[21 13] ; [11 26],[15.32394366 18.67605634] ; [16.67605634 20.32394366],0
p8,1,0.008939,6.835016,[135  71] ; [61 59],[123.85276074  82.14723926] ; [72.14723926 47.85276074],0
p9,1,0.010238,6.593075,[194  13] ; [103  18],[187.43597561  19.56402439] ; [109.56402439  11.43597561],0
p4,1,0.011344,6.410621,[151  58] ; [71 50],[140.6  68.4] ; [81.4 39.6],0
p5,1,0.01452,5.97382,[ 42 165] ; [ 12 109],[ 34.07926829 172.92073171] ; [ 19.92073171 101.07926829],0
b5,1,0.014573,5.967386,[133  77] ; [60 61],[122.44712991  87.55287009] ; [70.55287009 50.44712991],0
a5,1,0.031889,4.604439,[178  32] ; [91 30],[170.66465257  39.33534743] ; [98.33534743 22.66465257],0
s2,1,0.033002,4.545675,[154  52] ; [77 44],[145.52293578  60.47706422] ; [85.47706422 35.52293578],0
a8,1,0.041751,4.145275,[ 41 146] ; [14 98],[ 34.39799331 152.60200669] ; [20.60200669 91.39799331],0
u4,1,0.054391,3.700673,[ 10 200] ; [  1 120],[  6.97885196 203.02114804] ; [  4.02114804 116.97885196],0
p11,1,0.064531,3.416929,[174  36] ; [90 31],[167.49244713  42.50755287] ; [96.50755287 24.49244713],0
a3,1,0.066855,3.358589,[176  33] ; [92 29],[169.73333333  39.26666667] ; [98.26666667 22.73333333],0
a1,1,0.071567,3.246708,[ 15 195] ; [  3 118],[ 11.41993958 198.58006042] ; [  6.58006042 114.41993958],0
p3,1,0.075092,3.168042,[127  83] ; [61 60],[119.27492447  90.72507553] ; [68.72507553 52.27492447],0
a4,1,0.094864,2.789842,[112  98] ; [53 68],[104.68277946 105.31722054] ; [60.31722054 60.68277946],0
p1,1,0.109167,2.566236,[ 23 185] ; [  7 114],[ 18.96656535 189.03343465] ; [ 11.03343465 109.96656535],0
r3,1,0.118,2.443665,[206   4] ; [115   6],[203.65558912   6.34441088] ; [117.34441088   3.65558912],0
n4,1,0.121922,2.39245,[181  28] ; [97 24],[176.06666667  32.93333333] ; [101.93333333  19.06666667],0
v4,1,0.122955,2.379273,[207   3] ; [116   5],[204.9244713   5.0755287] ; [118.0755287   2.9244713],0
p12,1,0.126893,2.330115,[ 29 178] ; [ 10 110],[ 24.68807339 182.31192661] ; [ 14.31192661 105.68807339],0
s7,1,0.154848,2.023832,[160  40] ; [84 31],[154.92063492  45.07936508] ; [89.07936508 25.92063492],0
b3,1,0.180481,1.79366,[71 80] ; [27 45],[66.35874439 84.64125561] ; [31.64125561 40.35874439],0
b2,1,0.180481,1.79366,[71 80] ; [27 45],[66.35874439 84.64125561] ; [31.64125561 40.35874439],0
p2,1,0.195065,1.678943,[182  27] ; [99 22],[177.96666667  31.03333333] ; [103.03333333  17.96666667],0
r2,1,0.205337,1.603999,[204   5] ; [114   6],[202.01215805   6.98784195] ; [115.98784195   4.01215805],0
b4,1,0.243576,1.359779,[130  80] ; [67 54],[124.98489426  85.01510574] ; [72.01510574 48.98489426],0
p10,1,0.319831,0.989637,[184  23] ; [103  18],[181.125  25.875] ; [105.875  15.125],0
s4,1,0.321358,0.983413,[ 36 173] ; [26 94],[ 39.38601824 169.61398176] ; [22.61398176 97.38601824],0
b1,1,0.41083,0.676397,[ 84 126] ; [54 67],[ 87.55287009 122.44712991] ; [50.44712991 70.55287009],0
d4,1,0.448541,0.574337,[184  25] ; [103  18],[181.76666667  27.23333333] ; [105.23333333  15.76666667],0
a7,1,0.47471,0.510992,[146  63] ; [89 32],[148.83333333  60.16666667] ; [86.16666667 34.83333333],0
d3,1,0.52569,0.402715,[156  54] ; [86 35],[153.5347432  56.4652568] ; [88.4652568 32.5347432],0
s6,1,0.535502,0.38394,[175  33] ; [104  16],[176.92682927  31.07317073] ; [102.07317073  17.92682927],0
s1,1,0.539869,0.375783,[  6 201] ; [  5 115],[  6.96330275 200.03669725] ; [  4.03669725 115.96330275],0
r4,1,0.618322,0.248234,[205   5] ; [117   4],[204.29003021   5.70996979] ; [117.70996979   3.29003021],0
d2,1,0.629551,0.23267,[121  89] ; [73 48],[123.081571  86.918429] ; [70.918429 50.081571],0
u2,1,0.70578,0.142529,[22 11] ; [18 11],[21.29032258 11.70967742] ; [18.70967742 10.29032258],0
n3,1,0.72391,0.124777,[24 10] ; [24 12],[23.31428571 10.68571429] ; [24.68571429 11.31428571],0
s3,1,0.72981,0.119287,[151  54] ; [87 34],[149.66257669  55.33742331] ; [88.33742331 32.66257669],0
d1,1,0.734358,0.115148,[142  68] ; [84 37],[143.3836858  66.6163142] ; [82.6163142 38.3836858],0
u3,1,0.872985,0.025558,[24 10] ; [21  8],[24.28571429  9.71428571] ; [20.71428571  8.28571429],0
u1,1,0.883725,0.021389,[ 54 156] ; [32 89],[ 54.56193353 155.43806647] ; [31.43806647 89.56193353],0
a2,1,0.908327,0.013259,[ 62 148] ; [35 86],[ 61.5407855 148.4592145] ; [35.4592145 85.5407855],0
a6,1,0.954591,0.003242,[141  68] ; [82 39],[141.23333333  67.76666667] ; [81.76666667 39.23333333],0
d5,1,0.964262,0.002008,[181  28] ; [105  16],[181.13333333  27.86666667] ; [104.86666667  16.13333333],0
n6,1,0.99306,7.6e-05,[184  24] ; [107  14],[183.97568389  24.02431611] ; [107.02431611  13.97568389],0
