Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,2e-05,18.147084,[45  8] ; [14 20],[35.94252874 17.05747126] ; [23.05747126 10.94252874],1
a6,1,0.000109,14.97506,[38 15] ; [10 24],[29.24137931 23.75862069] ; [18.75862069 15.24137931],1
d4,1,0.002995,8.810272,[48  5] ; [22 12],[42.64367816 10.35632184] ; [27.35632184  6.64367816],0
a2,1,0.029181,4.756878,[10 43] ; [ 1 33],[ 6.70114943 46.29885057] ; [ 4.29885057 29.70114943],0
b1,1,0.054143,3.708291,[20 33] ; [20 14],[24.36781609 28.63218391] ; [15.63218391 18.36781609],0
d5,1,0.067957,3.331701,[47  6] ; [25  9],[43.86206897  9.13793103] ; [28.13793103  5.86206897],0
b3,1,0.074716,3.176256,[14 17] ; [ 5 18],[10.90740741 20.09259259] ; [ 8.09259259 14.90740741],0
b2,1,0.074716,3.176256,[14 17] ; [ 5 18],[10.90740741 20.09259259] ; [ 8.09259259 14.90740741],0
p3,1,0.115545,2.47669,[28 24] ; [12 21],[24.47058824 27.52941176] ; [15.52941176 17.47058824],0
d2,1,0.11562,2.475678,[19 34] ; [18 16],[22.54022989 30.45977011] ; [14.45977011 19.54022989],0
a8,1,0.15328,2.039301,[ 6 43] ; [ 1 31],[ 4.2345679 44.7654321] ; [ 2.7654321 29.2345679],0
s2,1,0.190053,1.717206,[22 31] ; [19 15],[24.97701149 28.02298851] ; [16.02298851 17.97701149],0
p4,1,0.228168,1.452246,[26 27] ; [20 12],[28.68235294 24.31764706] ; [17.31764706 14.68235294],0
u1,1,0.243559,1.359878,[ 5 48] ; [ 1 33],[ 3.65517241 49.34482759] ; [ 2.34482759 31.65517241],0
b5,1,0.25573,1.291729,[36 17] ; [19 15],[33.50574713 19.49425287] ; [21.49425287 12.50574713],0
b4,1,0.25573,1.291729,[36 17] ; [19 15],[33.50574713 19.49425287] ; [21.49425287 12.50574713],0
p10,1,0.26247,1.255682,[39 13] ; [21 12],[36.70588235 15.29411765] ; [23.29411765  9.70588235],0
s4,1,0.278745,1.173196,[11 42] ; [ 4 30],[ 9.13793103 43.86206897] ; [ 5.86206897 28.13793103],0
n6,1,0.286357,1.136672,[44  9] ; [25  9],[42.03448276 10.96551724] ; [26.96551724  7.03448276],0
