Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a6,1,0.0,70.995991,[222  35] ; [33 49],[193.31858407  63.68141593] ; [61.68141593 20.31858407],1
d3,1,0.0,36.154126,[247  11] ; [60 22],[232.95882353  25.04117647] ; [74.04117647  7.95882353],1
a2,1,2e-06,22.338514,[113 147] ; [12 70],[ 95.02923977 164.97076023] ; [29.97076023 52.02923977],1
u1,1,1e-05,19.431327,[ 87 173] ; [ 7 75],[ 71.4619883 188.5380117] ; [22.5380117 59.4619883],1
b5,1,1.2e-05,19.161187,[175  85] ; [33 49],[158.12865497 101.87134503] ; [49.87134503 32.12865497],1
b1,1,0.000637,11.664997,[ 85 175] ; [44 38],[ 98.07017544 161.92982456] ; [30.92982456 51.07017544],1
s5,1,0.012927,6.179093,[ 95 155] ; [43 37],[104.54545455 145.45454545] ; [33.45454545 46.54545455],0
r2,1,0.03639,4.378723,[253   3] ; [76  4],[250.66666667   5.33333333] ; [78.33333333  1.66666667],0
p12,1,0.059738,3.544646,[ 28 232] ; [ 3 76],[ 23.77581121 236.22418879] ; [ 7.22418879 71.77581121],0
a8,1,0.09408,2.803131,[ 44 179] ; [ 9 70],[ 39.13576159 183.86423841] ; [13.86423841 65.13576159],0
d2,1,0.129931,2.293327,[179  79] ; [64 18],[184.39411765  73.60588235] ; [58.60588235 23.39411765],0
r1,1,0.139262,2.186095,[229  28] ; [68 14],[225.15929204  31.84070796] ; [71.84070796 10.15929204],0
u4,1,0.146745,2.10576,[  5 254] ; [ 4 78],[  6.83577713 252.16422287] ; [ 2.16422287 79.83577713],0
p4,1,0.166632,1.912988,[198  61] ; [55 25],[193.29498525  65.70501475] ; [59.70501475 20.29498525],0
s4,1,0.170455,1.878941,[ 42 213] ; [19 63],[ 46.15727003 208.84272997] ; [14.84272997 67.15727003],0
p5,1,0.184372,1.762022,[ 35 224] ; [16 66],[ 38.73607038 220.26392962] ; [12.26392962 69.73607038],0
s2,1,0.214944,1.537809,[148 108] ; [41 41],[143.14792899 112.85207101] ; [45.85207101 36.14792899],0
p9,1,0.247539,1.337142,[238  21] ; [71 10],[235.38529412  23.61470588] ; [73.61470588  7.38529412],0
v1,1,0.258035,1.279268,[159  95] ; [45 36],[154.67462687  99.32537313] ; [49.32537313 31.67462687],0
a3,1,0.269617,1.218693,[218  40] ; [65 17],[214.74705882  43.25294118] ; [68.25294118 13.74705882],0
b4,1,0.280655,1.163917,[157 103] ; [44 38],[152.80701754 107.19298246] ; [48.19298246 33.80701754],0
s8,1,0.283499,1.150242,[133 124] ; [48 34],[137.21828909 119.78171091] ; [43.78171091 38.21828909],0
p10,1,0.293241,1.10468,[235  25] ; [69 11],[232.47058824  27.52941176] ; [71.52941176  8.47058824],0
v2,1,0.312567,1.019799,[163  86] ; [48 33],[159.20909091  89.79090909] ; [51.79090909 29.20909091],0
n2,1,0.331525,0.942934,[31  9] ; [9 5],[29.62962963 10.37037037] ; [10.37037037  3.62962963],0
n1,1,0.357566,0.846426,[ 9 30] ; [5 9],[10.30188679 28.69811321] ; [ 3.69811321 10.30188679],0
v4,1,0.364052,0.823866,[252   5] ; [78  3],[250.91715976   6.08284024] ; [79.08284024  1.91715976],0
p8,1,0.365175,0.820016,[179  79] ; [59 20],[182.20771513  75.79228487] ; [55.79228487 23.20771513],0
v3,1,0.406161,0.690009,[111 134] ; [41 40],[114.23312883 130.76687117] ; [37.76687117 43.23312883],0
b2,1,0.422184,0.644229,[ 67 101] ; [24 28],[69.49090909 98.50909091] ; [21.50909091 30.49090909],0
b3,1,0.422184,0.644229,[ 67 101] ; [24 28],[69.49090909 98.50909091] ; [21.50909091 30.49090909],0
p1,1,0.455827,0.556122,[ 26 232] ; [ 6 76],[ 24.28235294 233.71764706] ; [ 7.71764706 74.28235294],0
s6,1,0.498919,0.457236,[181  71] ; [55 26],[178.59459459  73.40540541] ; [57.40540541 23.59459459],0
a5,1,0.502551,0.449545,[224  36] ; [73  9],[225.78947368  34.21052632] ; [71.21052632 10.78947368],0
n3,1,0.506729,0.440816,[32  8] ; [10  4],[31.11111111  8.88888889] ; [10.88888889  3.11111111],0
u2,1,0.517483,0.418906,[25 17] ; [11  5],[26.06896552 15.93103448] ; [9.93103448 6.06896552],0
