Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
s8,1,0.000805,11.229167,[19 14] ; [ 9 35],[12. 21.] ; [16. 28.],1
n3,1,0.004403,8.109694,[2 6] ; [12  2],[5.09090909 2.90909091] ; [8.90909091 5.09090909],0
s2,1,0.015815,5.823358,[23 10] ; [18 25],[17.80263158 15.19736842] ; [23.19736842 19.80263158],0
u2,1,0.035078,4.441387,[9 3] ; [ 6 11],[6.20689655 5.79310345] ; [8.79310345 8.20689655],0
v3,1,0.038654,4.276004,[16 17] ; [11 32],[11.72368421 21.27631579] ; [15.27631579 27.72368421],0
s3,1,0.071763,3.242233,[25  8] ; [24 19],[21.27631579 11.72368421] ; [27.72368421 15.27631579],0
a1,1,0.082637,3.012269,[ 4 29] ; [ 1 43],[ 2.14285714 30.85714286] ; [ 2.85714286 41.14285714],0
n4,1,0.125917,2.342132,[25  8] ; [26 18],[21.85714286 11.14285714] ; [29.14285714 14.85714286],0
u1,1,0.135453,2.228866,[ 8 25] ; [ 5 39],[ 5.57142857 27.42857143] ; [ 7.42857143 36.57142857],0
p3,1,0.150962,2.0625,[ 9 24] ; [19 25],[12. 21.] ; [16. 28.],0
p10,1,0.157942,1.993824,[11 22] ; [ 8 34],[ 8.36 24.64] ; [10.64 31.36],0
p2,1,0.177274,1.820331,[23 10] ; [24 20],[20.14285714 12.85714286] ; [26.85714286 17.14285714],0
p11,1,0.187871,1.734234,[20 13] ; [20 24],[17.14285714 15.85714286] ; [22.85714286 21.14285714],0
s1,1,0.190482,1.713883,[ 3 30] ; [ 1 42],[ 1.73684211 31.26315789] ; [ 2.26315789 40.73684211],0
a4,1,0.199143,1.648651,[13 20] ; [11 32],[10.42105263 22.57894737] ; [13.57894737 29.42105263],0
p5,1,0.219711,1.50626,[ 4 29] ; [ 2 42],[ 2.57142857 30.42857143] ; [ 3.42857143 40.57142857],0
v1,1,0.285496,1.140741,[16 17] ; [16 28],[13.71428571 19.28571429] ; [18.28571429 25.71428571],0
d4,1,0.291847,1.111083,[28  5] ; [33 11],[26.14285714  6.85714286] ; [34.85714286  9.14285714],0
n1,1,0.33235,0.939719,[2 6] ; [6 7],[3.04761905 4.95238095] ; [4.95238095 8.04761905],0
d3,1,0.338352,0.916667,[23 10] ; [26 18],[21. 12.] ; [28. 16.],0
r1,1,0.35094,0.870056,[27  6] ; [32 12],[25.28571429  7.71428571] ; [33.71428571 10.28571429],0
a2,1,0.360872,0.834857,[ 8 25] ; [ 7 37],[ 6.42857143 26.57142857] ; [ 8.57142857 35.42857143],0
b5,1,0.365821,0.81781,[20 13] ; [31 13],[21.85714286 11.14285714] ; [29.14285714 14.85714286],0
s5,1,0.373597,0.791667,[11 21] ; [11 33],[ 9.26315789 22.73684211] ; [12.73684211 31.26315789],0
r2,1,0.378445,0.775746,[30  3] ; [37  7],[28.71428571  4.28571429] ; [38.28571429  5.71428571],0
n6,1,0.409219,0.681067,[26  7] ; [31 13],[24.42857143  8.57142857] ; [32.57142857 11.42857143],0
n2,1,0.415522,0.662946,[5 3] ; [11  3],[5.81818182 2.18181818] ; [10.18181818  3.81818182],0
d1,1,0.429756,0.623482,[18 15] ; [20 24],[16.28571429 16.71428571] ; [21.71428571 22.28571429],0
p6,1,0.437414,0.603056,[ 9 23] ; [ 9 35],[ 7.57894737 24.42105263] ; [10.42105263 33.57894737],0
n5,1,0.44823,0.575123,[23 10] ; [27 17],[21.42857143 11.57142857] ; [28.57142857 15.42857143],0
v2,1,0.455639,0.556586,[17 16] ; [18 24],[15.4 17.6] ; [19.6 22.4],0
b3,1,0.462732,0.539279,[ 6 22] ; [ 7 16],[ 7.1372549 20.8627451] ; [ 5.8627451 17.1372549],0
b2,1,0.462732,0.539279,[ 6 22] ; [ 7 16],[ 7.1372549 20.8627451] ; [ 5.8627451 17.1372549],0
s4,1,0.470554,0.520674,[ 9 23] ; [ 9 34],[ 7.68 24.32] ; [10.32 32.68],0
v4,1,0.538971,0.377451,[30  3] ; [38  6],[29.14285714  3.85714286] ; [38.85714286  5.14285714],0
d5,1,0.54156,0.372656,[26  7] ; [32 12],[24.85714286  8.14285714] ; [33.14285714 10.85714286],0
p8,1,0.547986,0.360937,[15 18] ; [17 27],[13.71428571 19.28571429] ; [18.28571429 25.71428571],0
a5,1,0.547986,0.360937,[18 15] ; [27 17],[19.28571429 13.71428571] ; [25.71428571 18.28571429],0
a6,1,0.594853,0.282828,[20 13] ; [24 20],[18.85714286 14.14285714] ; [25.14285714 18.85714286],0
b4,1,0.632142,0.229167,[22 11] ; [27 17],[21. 12.] ; [28. 16.],0
a8,1,0.654388,0.200413,[ 4 25] ; [ 4 35],[ 3.41176471 25.58823529] ; [ 4.58823529 34.41176471],0
a3,1,0.685655,0.16383,[21 12] ; [26 18],[20.14285714 12.85714286] ; [26.85714286 17.14285714],0
d2,1,0.692791,0.156081,[15 18] ; [22 22],[15.85714286 17.14285714] ; [21.14285714 22.85714286],0
p7,1,0.695179,0.153535,[16 16] ; [24 20],[16.84210526 15.15789474] ; [23.15789474 20.84210526],0
p4,1,0.709397,0.13888,[17 16] ; [24 19],[17.80263158 15.19736842] ; [23.19736842 19.80263158],0
p1,1,0.712732,0.135563,[ 3 30] ; [ 3 41],[ 2.57142857 30.42857143] ; [ 3.42857143 40.57142857],0
b1,1,0.737322,0.112494,[19 14] ; [27 17],[19.71428571 13.28571429] ; [26.28571429 17.71428571],0
r4,1,0.873961,0.025163,[26  7] ; [34 10],[25.71428571  7.28571429] ; [34.28571429  9.71428571],0
a7,1,0.888256,0.019744,[22 11] ; [30 14],[22.28571429 10.71428571] ; [29.71428571 14.28571429],0
r3,1,1.0,0.0,[30  3] ; [40  4],[30.  3.] ; [40.  4.],0
u3,1,1.0,0.0,[8 4] ; [12  6],[8. 4.] ; [12.  6.],0
