Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d1,1,6e-06,20.345837,[25 21] ; [ 1 28],[15.94666667 30.05333333] ; [10.05333333 18.94666667],1
d5,1,3.5e-05,17.103916,[35 11] ; [ 8 21],[26.37333333 19.62666667] ; [16.62666667 12.37333333],1
d3,1,0.00053,12.008292,[30 16] ; [ 7 22],[22.69333333 23.30666667] ; [14.30666667 14.69333333],1
a3,1,0.006688,7.35497,[30 15] ; [10 19],[24.32432432 20.67567568] ; [15.67567568 13.32432432],0
v2,1,0.015722,5.83367,[20 25] ; [ 5 24],[15.2027027 29.7972973] ; [ 9.7972973 19.2027027],0
s6,1,0.018911,5.509745,[20 26] ; [ 5 24],[15.33333333 30.66666667] ; [ 9.66666667 19.33333333],0
a5,1,0.022982,5.169858,[25 21] ; [ 8 21],[20.24 25.76] ; [12.76 16.24],0
v1,1,0.0295,4.738206,[14 29] ; [ 3 26],[10.15277778 32.84722222] ; [ 6.84722222 22.15277778],0
n5,1,0.031193,4.642322,[20 26] ; [20  9],[24.53333333 21.46666667] ; [15.46666667 13.53333333],0
n2,1,0.057681,3.602826,[15  6] ; [5 8],[12.35294118  8.64705882] ; [7.64705882 5.35294118],0
v3,1,0.058531,3.578524,[13 32] ; [ 3 26],[ 9.72972973 35.27027027] ; [ 6.27027027 22.72972973],0
u3,1,0.068139,3.327303,[7 9] ; [ 3 16],[ 4.57142857 11.42857143] ; [ 5.42857143 13.57142857],0
p2,1,0.079839,3.068172,[19 27] ; [18 11],[22.69333333 23.30666667] ; [14.30666667 14.69333333],0
s5,1,0.104516,2.635237,[ 9 34] ; [ 2 27],[ 6.56944444 36.43055556] ; [ 4.43055556 24.56944444],0
a7,1,0.105835,2.615339,[23 23] ; [ 9 20],[19.62666667 26.37333333] ; [12.37333333 16.62666667],0
r3,1,0.1198,2.419934,[32 14] ; [15 14],[28.82666667 17.17333333] ; [18.17333333 10.82666667],0
b1,1,0.121703,2.395272,[29 17] ; [13 16],[25.76 20.24] ; [16.24 12.76],0
s7,1,0.123841,2.368054,[13 30] ; [ 4 24],[10.29577465 32.70422535] ; [ 6.70422535 21.29577465],0
s3,1,0.139513,2.183325,[18 26] ; [ 7 22],[15.06849315 28.93150685] ; [ 9.93150685 19.06849315],0
s2,1,0.145013,2.123944,[13 33] ; [ 4 25],[10.42666667 35.57333333] ; [ 6.57333333 22.42666667],0
p3,1,0.17199,1.865515,[16 29] ; [ 6 23],[13.37837838 31.62162162] ; [ 8.62162162 20.37837838],0
s8,1,0.192903,1.695306,[ 8 38] ; [ 2 27],[ 6.13333333 39.86666667] ; [ 3.86666667 25.13333333],0
d2,1,0.195145,1.678343,[24 21] ; [11 18],[21.28378378 23.71621622] ; [13.71621622 15.28378378],0
u2,1,0.217597,1.520149,[7 8] ; [ 5 14],[5.29411765 9.70588235] ; [ 6.70588235 12.29411765],0
n6,1,0.276592,1.183759,[29 16] ; [15 14],[26.75675676 18.24324324] ; [17.24324324 11.75675676],0
a8,1,0.302424,1.063476,[ 2 43] ; [ 3 25],[ 3.08219178 41.91780822] ; [ 1.91780822 26.08219178],0
n4,1,0.306562,1.045429,[23 23] ; [18 11],[25.14666667 20.85333333] ; [15.85333333 13.14666667],0
