Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
a7,1,0.007389,7.175814,[29  5] ; [14 12],[24.36666667  9.63333333] ; [18.63333333  7.36666667],0
a6,1,0.012827,6.192748,[24 10] ; [10 16],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
b1,1,0.016952,5.701357,[ 6 28] ; [12 14],[10.2 23.8] ; [ 7.8 18.2],0
p8,1,0.030519,4.679811,[ 8 25] ; [ 1 25],[ 5.03389831 27.96610169] ; [ 3.96610169 22.03389831],0
b4,1,0.033154,4.537815,[26  8] ; [13 13],[22.1 11.9] ; [16.9  9.1],0
p4,1,0.090408,2.867088,[15 19] ; [ 6 20],[11.9 22.1] ; [ 9.1 16.9],0
n5,1,0.094249,2.800259,[23 11] ; [12 14],[19.83333333 14.16666667] ; [15.16666667 10.83333333],0
s3,1,0.103829,2.645728,[24  9] ; [13 12],[21.05172414 11.94827586] ; [15.94827586  9.05172414],0
n1,1,0.106345,2.60771,[1 8] ; [6 8],[2.73913043 6.26086957] ; [4.26086957 9.73913043],0
b5,1,0.127892,2.317906,[27  7] ; [16 10],[24.36666667  9.63333333] ; [18.63333333  7.36666667],0
s7,1,0.142162,2.154397,[17 17] ; [ 7 16],[14.31578947 19.68421053] ; [ 9.68421053 13.31578947],0
p6,1,0.165664,1.921746,[ 7 27] ; [ 2 24],[ 5.1 28.9] ; [ 3.9 22.1],0
a2,1,0.165664,1.921746,[ 7 27] ; [ 2 24],[ 5.1 28.9] ; [ 3.9 22.1],0
n2,1,0.182803,1.774691,[7 2] ; [7 7],[5.47826087 3.52173913] ; [8.52173913 5.47826087],0
v3,1,0.209991,1.571487,[ 5 29] ; [ 7 18],[ 6.91525424 27.08474576] ; [ 5.08474576 19.91525424],0
v2,1,0.223324,1.48288,[11 23] ; [12 13],[13.25423729 20.74576271] ; [ 9.74576271 15.25423729],0
v4,1,0.239431,1.383941,[31  2] ; [22  4],[29.6440678  3.3559322] ; [23.3559322  2.6440678],0
p9,1,0.249643,1.325302,[26  8] ; [15  9],[24.03448276  9.96551724] ; [16.96551724  7.03448276],0
s2,1,0.255045,1.295455,[24  9] ; [14 10],[22. 11.] ; [16.  8.],0
n4,1,0.275914,1.187105,[23 11] ; [14 12],[20.96666667 13.03333333] ; [16.03333333  9.96666667],0
n6,1,0.301654,1.066866,[25  9] ; [22  4],[26.63333333  7.36666667] ; [20.36666667  5.63333333],0
r1,1,0.357001,0.848416,[21 13] ; [19  7],[22.66666667 11.33333333] ; [17.33333333  8.66666667],0
p11,1,0.362142,0.83045,[21 13] ; [13 13],[19.26666667 14.73333333] ; [14.73333333 11.26666667],0
u2,1,0.391805,0.733333,[7 5] ; [4 6],[6. 6.] ; [5. 5.],0
p1,1,0.402728,0.700167,[ 1 33] ; [ 2 24],[ 1.7 32.3] ; [ 1.3 24.7],0
s1,1,0.40442,0.695146,[ 2 32] ; [ 3 22],[ 2.88135593 31.11864407] ; [ 2.11864407 22.88135593],0
r4,1,0.406313,0.689563,[29  5] ; [20  6],[27.76666667  6.23333333] ; [21.23333333  4.76666667],0
r3,1,0.422219,0.644131,[30  4] ; [21  5],[28.9  5.1] ; [22.1  3.9],0
d2,1,0.496012,0.463458,[14 20] ; [13 13],[15.3 18.7] ; [11.7 14.3],0
d4,1,0.51116,0.431691,[25  9] ; [21  5],[26.06666667  7.93333333] ; [19.93333333  6.06666667],0
d3,1,0.529735,0.394899,[26  8] ; [18  8],[24.93333333  9.06666667] ; [19.06666667  6.93333333],0
p10,1,0.54437,0.3675,[23 11] ; [15 10],[21.89830508 12.10169492] ; [16.10169492  8.89830508],0
p3,1,0.582416,0.302345,[10 24] ; [ 6 20],[ 9.06666667 24.93333333] ; [ 6.93333333 19.06666667],0
b3,1,0.589876,0.290538,[ 3 12] ; [ 4 10],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
b2,1,0.589876,0.290538,[ 3 12] ; [ 4 10],[ 3.62068966 11.37931034] ; [ 3.37931034 10.62068966],0
d1,1,0.602332,0.271493,[16 18] ; [14 12],[17. 17.] ; [13. 13.],0
a5,1,0.623011,0.241659,[23 11] ; [16 10],[22.1 11.9] ; [16.9  9.1],0
n3,1,0.647854,0.208617,[6 3] ; [8 6],[5.47826087 3.52173913] ; [8.52173913 5.47826087],0
a4,1,0.699833,0.148646,[14 20] ; [12 14],[14.73333333 19.26666667] ; [11.26666667 14.73333333],0
s8,1,0.712547,0.135747,[12 22] ; [ 8 18],[11.33333333 22.66666667] ; [ 8.66666667 17.33333333],0
s5,1,0.756052,0.096515,[11 19] ; [ 9 13],[11.53846154 18.46153846] ; [ 8.46153846 13.53846154],0
r2,1,0.772845,0.083322,[31  2] ; [23  2],[30.72413793  2.27586207] ; [23.27586207  1.72413793],0
v1,1,0.773091,0.083137,[13 21] ; [ 9 17],[12.46666667 21.53333333] ; [ 9.53333333 16.46666667],0
a3,1,0.800815,0.063652,[22 12] ; [16 10],[21.53333333 12.46666667] ; [16.46666667  9.53333333],0
u1,1,0.815745,0.054299,[ 6 28] ; [ 4 22],[ 5.66666667 28.33333333] ; [ 4.33333333 21.66666667],0
s6,1,0.847439,0.037013,[24  9] ; [18  6],[24.31578947  8.68421053] ; [17.68421053  6.31578947],0
u3,1,0.867258,0.027937,[8 4] ; [7 3],[8.18181818 3.81818182] ; [6.81818182 3.18181818],0
d5,1,0.909474,0.012928,[24 10] ; [18  8],[23.8 10.2] ; [18.2  7.8],0
