Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
n4,1,0.0,38.325042,[20 37] ; [83 16],[37.63461538 19.36538462] ; [65.36538462 33.63461538],1
n6,1,0.000118,14.827201,[34 23] ; [85 13],[43.76129032 13.23870968] ; [75.23870968 22.76129032],1
p10,1,0.000689,11.518116,[30 26] ; [78 20],[39.27272727 16.72727273] ; [68.72727273 29.27272727],1
p11,1,0.000977,10.869819,[32 25] ; [80 19],[40.92307692 16.07692308] ; [71.07692308 27.92307692],1
p9,1,0.006019,7.544567,[36 19] ; [83 15],[42.77777778 12.22222222] ; [76.22222222 21.77777778],0
p4,1,0.026178,4.944248,[21 35] ; [55 43],[27.63636364 28.36363636] ; [48.36363636 49.63636364],0
a5,1,0.027187,4.878911,[29 28] ; [68 31],[35.44230769 21.55769231] ; [61.55769231 37.44230769],0
u3,1,0.038842,4.267764,[14  8] ; [10 19],[10.35294118 11.64705882] ; [13.64705882 15.35294118],0
p2,1,0.042256,4.124906,[34 23] ; [73 24],[39.6038961 17.3961039] ; [67.3961039 29.6038961],0
p8,1,0.048611,3.888746,[16 39] ; [44 53],[21.71052632 33.28947368] ; [38.28947368 58.71052632],0
n1,1,0.057572,3.605983,[ 5 17] ; [15 16],[ 8.30188679 13.69811321] ; [11.69811321 19.30188679],0
a8,1,0.092256,2.834559,[ 2 53] ; [11 83],[ 4.79865772 50.20134228] ; [ 8.20134228 85.79865772],0
a6,1,0.100202,2.702328,[28 29] ; [62 37],[32.88461538 24.11538462] ; [57.11538462 41.88461538],0
s1,1,0.121433,2.398738,[ 4 53] ; [ 2 96],[ 2.20645161 54.79354839] ; [ 3.79354839 94.20645161],0
u2,1,0.124003,2.366019,[15  7] ; [13 15],[12.32  9.68] ; [15.68 12.32],0
p5,1,0.17323,1.854769,[ 4 53] ; [14 84],[ 6.61935484 50.38064516] ; [11.38064516 86.61935484],0
b1,1,0.191099,1.709123,[28 29] ; [38 61],[24.11538462 32.88461538] ; [41.88461538 57.11538462],0
