Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p7,1,0.000467,12.244683,[ 5 27] ; [10  5],[10.21276596 21.78723404] ; [ 4.78723404 10.21276596],1
p6,1,0.001268,10.388285,[ 2 29] ; [7 8],[ 6.06521739 24.93478261] ; [ 2.93478261 12.06521739],0
p4,1,0.002891,8.874898,[ 7 25] ; [10  5],[11.57446809 20.42553191] ; [5.42553191 9.57446809],0
a5,1,0.027607,4.852413,[20 12] ; [14  1],[23.14893617  8.85106383] ; [10.85106383  4.14893617],0
p2,1,0.027689,4.847312,[12 19] ; [11  4],[15.5 15.5] ; [7.5 7.5],0
p9,1,0.032829,4.554656,[14 16] ; [12  3],[17.33333333 12.66666667] ; [8.66666667 6.33333333],0
s4,1,0.050562,3.82273,[ 2 30] ; [ 4 11],[ 4.08510638 27.91489362] ; [ 1.91489362 13.08510638],0
p10,1,0.075171,3.166341,[12 19] ; [10  5],[14.82608696 16.17391304] ; [7.17391304 7.82608696],0
s2,1,0.075193,3.165848,[ 5 26] ; [6 9],[ 7.41304348 23.58695652] ; [ 3.58695652 11.41304348],0
s3,1,0.087761,2.91498,[10 20] ; [9 6],[12.66666667 17.33333333] ; [6.33333333 8.66666667],0
s6,1,0.094495,2.796077,[11 21] ; [8 5],[13.51111111 18.48888889] ; [5.48888889 7.51111111],0
v1,1,0.096053,2.769892,[ 7 24] ; [7 8],[ 9.43478261 21.56521739] ; [ 4.56521739 10.43478261],0
b4,1,0.119372,2.425536,[26  6] ; [9 6],[23.82978723  8.17021277] ; [11.17021277  3.82978723],0
b1,1,0.131512,2.274568,[16 16] ; [11  4],[18.38297872 13.61702128] ; [8.61702128 6.38297872],0
a7,1,0.146565,2.107647,[22 10] ; [7 8],[19.74468085 12.25531915] ; [9.25531915 5.74468085],0
s7,1,0.153639,2.035742,[ 7 22] ; [6 7],[ 8.97619048 20.02380952] ; [4.02380952 8.97619048],0
p5,1,0.154112,2.031071,[ 2 30] ; [ 3 12],[ 3.40425532 28.59574468] ; [ 1.59574468 13.40425532],0
u3,1,0.165857,1.92,[1 9] ; [1 1],[1.66666667 8.33333333] ; [0.33333333 1.66666667],0
p8,1,0.184792,1.758662,[ 5 26] ; [ 5 10],[ 6.73913043 24.26086957] ; [ 3.26086957 11.73913043],0
n5,1,0.188186,1.731763,[17 15] ; [11  4],[19.06382979 12.93617021] ; [8.93617021 6.06382979],0
a3,1,0.189145,1.724266,[22 10] ; [13  2],[23.82978723  8.17021277] ; [11.17021277  3.82978723],0
r2,1,0.226101,1.465222,[18 11] ; [12  3],[19.77272727  9.22727273] ; [10.22727273  4.77272727],0
s5,1,0.237134,1.397552,[ 6 25] ; [5 9],[ 7.57777778 23.42222222] ; [ 3.42222222 10.57777778],0
a6,1,0.284023,1.147741,[16 16] ; [10  5],[17.70212766 14.29787234] ; [8.29787234 6.70212766],0
n6,1,0.331755,0.942035,[18 14] ; [10  4],[19.47826087 12.52173913] ; [8.52173913 5.47826087],0
d2,1,0.342579,0.900757,[21 10] ; [8 7],[19.54347826 11.45652174] ; [9.45652174 5.54347826],0
r3,1,0.401031,0.705233,[25  7] ; [10  5],[23.82978723  8.17021277] ; [11.17021277  3.82978723],0
p1,1,0.417235,0.658091,[ 2 30] ; [ 2 13],[ 2.72340426 29.27659574] ; [ 1.27659574 13.72340426],0
n3,1,0.474549,0.511364,[6 5] ; [3 1],[6.6 4.4] ; [2.4 1.6],0
d4,1,0.500812,0.453214,[28  4] ; [12  3],[27.23404255  4.76595745] ; [12.76595745  2.23404255],0
a8,1,0.51957,0.414747,[ 7 24] ; [ 2 12],[ 6.2 24.8] ; [ 2.8 11.2],0
p12,1,0.538652,0.378044,[ 1 31] ; [ 1 13],[ 1.39130435 30.60869565] ; [ 0.60869565 13.39130435],0
d1,1,0.550552,0.356328,[20 12] ; [8 7],[19.06382979 12.93617021] ; [8.93617021 6.06382979],0
a4,1,0.592408,0.286599,[15 16] ; [6 9],[14.15217391 16.84782609] ; [6.84782609 8.15217391],0
v3,1,0.624186,0.240028,[ 7 25] ; [ 4 10],[ 7.65217391 24.34782609] ; [ 3.34782609 10.65217391],0
b5,1,0.658545,0.195295,[17 15] ; [9 6],[17.70212766 14.29787234] ; [8.29787234 6.70212766],0
v2,1,0.679697,0.170467,[17 15] ; [7 8],[16.34042553 15.65957447] ; [7.65957447 7.34042553],0
p11,1,0.696161,0.152496,[19 13] ; [8 7],[18.38297872 13.61702128] ; [8.61702128 6.38297872],0
a2,1,0.709875,0.138401,[ 5 27] ; [ 3 12],[ 5.44680851 26.55319149] ; [ 2.55319149 12.44680851],0
s8,1,0.717601,0.130803,[ 7 25] ; [ 4 11],[ 7.4893617 24.5106383] ; [ 3.5106383 11.4893617],0
u1,1,0.756428,0.096209,[ 3 29] ; [ 1 14],[ 2.72340426 29.27659574] ; [ 1.27659574 13.72340426],0
n1,1,0.771084,0.084656,[5 7] ; [2 2],[5.25 6.75] ; [1.75 2.25],0
d3,1,0.781685,0.076797,[20 12] ; [10  5],[20.42553191 11.57446809] ; [9.57446809 5.42553191],0
u2,1,0.793428,0.068571,[4 6] ; [1 1],[4.16666667 5.83333333] ; [0.83333333 1.16666667],0
b2,1,0.863894,0.029385,[ 7 14] ; [4 7],[ 7.21875 13.78125] ; [3.78125 7.21875],0
b3,1,0.863894,0.029385,[ 7 14] ; [4 7],[ 7.21875 13.78125] ; [3.78125 7.21875],0
n4,1,0.90278,0.014921,[24  8] ; [11  4],[23.82978723  8.17021277] ; [11.17021277  3.82978723],0
r4,1,0.967535,0.001656,[13 19] ; [6 9],[12.93617021 19.06382979] ; [6.06382979 8.93617021],0
r1,1,0.989354,0.000178,[15 17] ; [7 8],[14.9787234 17.0212766] ; [7.0212766 7.9787234],0
n2,1,1.0,0.0,[6 6] ; [2 2],[6. 6.] ; [2. 2.],0
