Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d3,1,0.000201,13.824451,[ 8 16] ; [50 16],[15.46666667  8.53333333] ; [42.53333333 23.46666667],1
p2,1,0.002113,9.448733,[16  8] ; [61  5],[20.53333333  3.46666667] ; [56.46666667  9.53333333],0
a6,1,0.010107,6.61592,[10 14] ; [47 19],[15.2  8.8] ; [41.8 24.2],0
d5,1,0.016583,5.739942,[17  7] ; [60  6],[20.53333333  3.46666667] ; [56.46666667  9.53333333],0
b1,1,0.062031,3.482241,[14 10] ; [24 42],[10.13333333 13.86666667] ; [27.86666667 38.13333333],0
r4,1,0.082853,3.008021,[21  3] ; [64  2],[22.66666667  1.33333333] ; [62.33333333  3.66666667],0
p10,1,0.088357,2.904062,[17  7] ; [57  9],[19.73333333  4.26666667] ; [54.26666667 11.73333333],0
s5,1,0.091345,2.850502,[10 13] ; [15 46],[ 6.8452381 16.1547619] ; [18.1547619 42.8452381],0
r1,1,0.094849,2.790091,[17  7] ; [56  9],[19.68539326  4.31460674] ; [53.31460674 11.68539326],0
a2,1,0.095205,2.784091,[ 2 22] ; [16 50],[ 4.8 19.2] ; [13.2 52.8],0
b5,1,0.098064,2.736742,[11 13] ; [43 23],[14.4  9.6] ; [39.6 26.4],0
a3,1,0.113454,2.505437,[12 12] ; [45 21],[15.2  8.8] ; [41.8 24.2],0
s1,1,0.123247,2.375567,[ 2 22] ; [ 1 62],[ 0.82758621 23.17241379] ; [ 2.17241379 60.82758621],0
v4,1,0.180954,1.789773,[21  3] ; [63  3],[22.4  1.6] ; [61.6  4.4],0
d4,1,0.189854,1.71875,[17  7] ; [55 11],[19.2  4.8] ; [52.8 13.2],0
s4,1,0.200825,1.636364,[ 2 22] ; [13 53],[ 4. 20.] ; [11. 55.],0
p11,1,0.206885,1.593094,[19  5] ; [59  7],[20.8  3.2] ; [57.2  8.8],0
n4,1,0.236707,1.400097,[16  8] ; [52 14],[18.13333333  5.86666667] ; [49.86666667 16.13333333],0
s3,1,0.254752,1.297052,[11 13] ; [38 26],[13.36363636 10.63636364] ; [35.63636364 28.36363636],0
b4,1,0.2765,1.184211,[13 11] ; [44 22],[15.2  8.8] ; [41.8 24.2],0
s6,1,0.28676,1.13477,[14  9] ; [48 18],[16.02247191  6.97752809] ; [45.97752809 20.02247191],0
a4,1,0.303217,1.059993,[ 8 16] ; [30 36],[10.13333333 13.86666667] ; [27.86666667 38.13333333],0
r2,1,0.323648,0.974146,[21  3] ; [61  4],[22.11235955  1.88764045] ; [59.88764045  5.11235955],0
