Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b2,1,1.5e-05,18.800636,[12  1] ; [20 50],[5.01204819 7.98795181] ; [26.98795181 43.01204819],1
b3,1,1.5e-05,18.800636,[12  1] ; [20 50],[5.01204819 7.98795181] ; [26.98795181 43.01204819],1
s8,1,2.1e-05,18.060641,[12  1] ; [41 86],[4.92142857 8.07857143] ; [48.07857143 78.92142857],1
p5,1,2.2e-05,17.99537,[5 7] ; [  7 119],[ 1.04347826 10.95652174] ; [ 10.95652174 115.04347826],1
p12,1,4.4e-05,16.697318,[4 9] ; [  4 123],[ 0.74285714 12.25714286] ; [  7.25714286 119.74285714],1
p8,1,0.000261,13.331544,[9 4] ; [28 98],[3.46043165 9.53956835] ; [33.53956835 92.46043165],1
v3,1,0.000358,12.739828,[8 1] ; [38 87],[3.08955224 5.91044776] ; [42.91044776 82.08955224],1
a2,1,0.00086,11.106355,[8 5] ; [ 26 103],[3.11267606 9.88732394] ; [30.88732394 98.11267606],1
d1,1,0.001136,10.591702,[12  1] ; [58 71],[6.4084507 6.5915493] ; [63.5915493 65.4084507],0
s3,1,0.002142,9.423487,[12  1] ; [61 67],[6.73049645 6.26950355] ; [66.26950355 61.73049645],0
v1,1,0.002285,9.305007,[9 1] ; [52 77],[4.38848921 5.61151079] ; [56.61151079 72.38848921],0
p4,1,0.004487,8.075586,[11  2] ; [55 72],[6.12857143 6.87142857] ; [59.87142857 67.12857143],0
s7,1,0.006425,7.427205,[11  2] ; [51 63],[6.34645669 6.65354331] ; [55.65354331 58.34645669],0
s2,1,0.006914,7.295242,[11  2] ; [58 70],[6.36170213 6.63829787] ; [62.63829787 65.36170213],0
v2,1,0.007578,7.130592,[8 2] ; [47 80],[4.01459854 5.98540146] ; [50.98540146 76.01459854],0
p3,1,0.010889,6.483379,[10  3] ; [51 76],[5.66428571 7.33571429] ; [55.33571429 71.66428571],0
u1,1,0.011647,6.363756,[5 8] ; [ 16 113],[ 1.92253521 11.07746479] ; [ 19.07746479 109.92253521],0
s6,1,0.016743,5.723137,[12  1] ; [73 52],[8.00724638 4.99275362] ; [76.99275362 48.00724638],0
a4,1,0.02238,5.216014,[10  3] ; [56 72],[6.08510638 6.91489362] ; [59.91489362 68.08510638],0
a5,1,0.023122,5.159314,[12  1] ; [78 51],[8.23943662 4.76056338] ; [81.76056338 47.23943662],0
d2,1,0.024226,5.078404,[11  2] ; [66 61],[7.15 5.85] ; [69.85 57.15],0
p6,1,0.031345,4.633949,[7 6] ; [32 93],[3.67391304 9.32608696] ; [35.32608696 89.67391304],0
d3,1,0.048516,3.892012,[11  2] ; [71 55],[7.66906475 5.33093525] ; [74.33093525 51.66906475],0
a6,1,0.071895,3.23921,[10  3] ; [65 63],[6.91489362 6.08510638] ; [68.08510638 59.91489362],0
a8,1,0.073894,3.194331,[3 7] ; [ 13 108],[1.22137405 8.77862595] ; [ 14.77862595 106.22137405],0
p2,1,0.07944,3.076327,[11  2] ; [76 51],[8.07857143 4.92142857] ; [78.92142857 48.07857143],0
p7,1,0.099078,2.720315,[9 4] ; [57 69],[6.17266187 6.82733813] ; [59.82733813 66.17266187],0
n4,1,0.128099,2.315398,[11  2] ; [82 47],[8.51408451 4.48591549] ; [84.48591549 44.51408451],0
a1,1,0.157707,1.996079,[ 3 10] ; [ 13 116],[ 1.46478873 11.53521127] ; [ 14.53521127 114.46478873],0
r1,1,0.169141,1.890538,[11  2] ; [85 44],[8.78873239 4.21126761] ; [87.21126761 41.78873239],0
s4,1,0.270532,1.214048,[ 1 12] ; [ 26 102],[ 2.4893617 10.5106383] ; [ 24.5106383 103.4893617],0
d5,1,0.400561,0.706642,[11  2] ; [94 33],[9.75 3.25] ; [95.25 31.75],0
a7,1,0.557823,0.343488,[9 4] ; [78 50],[8.0212766 4.9787234] ; [78.9787234 49.0212766],0
p1,1,0.777145,0.080113,[ 1 12] ; [ 13 115],[ 1.29078014 11.70921986] ; [ 12.70921986 115.29078014],0
s5,1,0.794824,0.067627,[4 7] ; [40 83],[3.6119403 7.3880597] ; [40.3880597 82.6119403],0
b4,1,0.849261,0.036123,[7 6] ; [73 56],[7.32394366 5.67605634] ; [72.67605634 56.32394366],0
s1,1,0.935629,0.006523,[ 1 12] ; [  9 118],[ 0.92857143 12.07142857] ; [  9.07142857 117.92857143],0
b5,1,0.973061,0.00114,[8 5] ; [80 49],[8.05633803 4.94366197] ; [79.94366197 49.05633803],0
