Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
b5,1,0.033807,4.504456,[7 9] ; [10  2],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
a7,1,0.033807,4.504456,[9 7] ; [ 2 10],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
u2,1,0.063716,3.437921,[5 4] ; [1 7],[3.17647059 5.82352941] ; [2.82352941 5.17647059],0
a4,1,0.07776,3.111111,[ 6 10] ; [ 1 11],[ 4. 12.] ; [3. 9.],0
p3,1,0.095045,2.786786,[ 2 13] ; [5 7],[ 3.88888889 11.11111111] ; [3.11111111 8.88888889],0
p10,1,0.120507,2.410714,[ 5 10] ; [ 1 11],[ 3.33333333 11.66666667] ; [2.66666667 9.33333333],0
v4,1,0.12663,2.333333,[ 6 10] ; [8 4],[8. 8.] ; [6. 6.],0
p4,1,0.171857,1.866667,[ 4 12] ; [6 6],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
p8,1,0.182698,1.775543,[ 1 14] ; [3 9],[ 2.22222222 12.77777778] ; [ 1.77777778 10.22222222],0
s6,1,0.18367,1.767677,[ 2 14] ; [4 8],[ 3.42857143 12.57142857] ; [2.57142857 9.42857143],0
s7,1,0.199674,1.644755,[ 1 12] ; [3 8],[ 2.16666667 10.83333333] ; [1.83333333 9.16666667],0
v2,1,0.222994,1.485,[ 4 11] ; [ 1 11],[ 2.77777778 12.22222222] ; [2.22222222 9.77777778],0
a5,1,0.227195,1.458333,[ 6 10] ; [ 2 10],[ 4.57142857 11.42857143] ; [3.42857143 8.57142857],0
v1,1,0.254478,1.298551,[ 4 12] ; [ 1 11],[ 2.85714286 13.14285714] ; [2.14285714 9.85714286],0
d2,1,0.254478,1.298551,[ 4 12] ; [ 1 11],[ 2.85714286 13.14285714] ; [2.14285714 9.85714286],0
n5,1,0.274006,1.196581,[ 6 10] ; [7 5],[7.42857143 8.57142857] ; [5.57142857 6.42857143],0
a6,1,0.305507,1.05,[7 9] ; [3 9],[ 5.71428571 10.28571429] ; [4.28571429 7.71428571],0
d3,1,0.314736,1.010695,[ 5 11] ; [6 6],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
d4,1,0.314736,1.010695,[11  5] ; [6 6],[9.71428571 6.28571429] ; [7.28571429 4.71428571],0
p2,1,0.314736,1.010695,[ 5 11] ; [6 6],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
n3,1,0.360387,0.836543,[4 5] ; [1 4],[3.21428571 5.78571429] ; [1.78571429 3.21428571],0
s2,1,0.392742,0.730435,[ 2 14] ; [3 9],[ 2.85714286 13.14285714] ; [2.14285714 9.85714286],0
d5,1,0.445009,0.583333,[9 7] ; [5 7],[8. 8.] ; [6. 6.],0
n4,1,0.445009,0.583333,[7 9] ; [7 5],[8. 8.] ; [6. 6.],0
p7,1,0.48338,0.491228,[ 6 10] ; [3 9],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
a3,1,0.483522,0.490909,[7 8] ; [4 8],[6.11111111 8.88888889] ; [4.88888889 7.11111111],0
d1,1,0.594853,0.282828,[ 4 12] ; [ 2 10],[ 3.42857143 12.57142857] ; [2.57142857 9.42857143],0
a8,1,0.606089,0.265909,[ 2 14] ; [2 8],[ 2.46153846 13.53846154] ; [1.53846154 8.46153846],0
b2,1,0.635848,0.224213,[3 8] ; [3 5],[3.47368421 7.52631579] ; [2.52631579 5.47368421],0
b3,1,0.635848,0.224213,[3 8] ; [3 5],[3.47368421 7.52631579] ; [2.52631579 5.47368421],0
s3,1,0.63749,0.222039,[ 5 10] ; [3 9],[ 4.44444444 10.55555556] ; [3.55555556 8.44444444],0
u3,1,0.70663,0.141667,[3 6] ; [2 6],[2.64705882 6.35294118] ; [2.35294118 5.64705882],0
b1,1,0.71714,0.13125,[11  5] ; [9 3],[11.42857143  4.57142857] ; [8.57142857 3.42857143],0
s1,1,0.724263,0.124444,[ 2 14] ; [ 1 11],[ 1.71428571 14.28571429] ; [ 1.28571429 10.71428571],0
s8,1,0.724263,0.124444,[ 2 14] ; [ 1 11],[ 1.71428571 14.28571429] ; [ 1.28571429 10.71428571],0
a1,1,0.724263,0.124444,[ 2 14] ; [ 1 11],[ 1.71428571 14.28571429] ; [ 1.28571429 10.71428571],0
s4,1,0.755189,0.097222,[ 2 14] ; [ 2 10],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
v3,1,0.755189,0.097222,[ 2 14] ; [ 2 10],[ 2.28571429 13.71428571] ; [ 1.71428571 10.28571429],0
n2,1,0.803017,0.062222,[3 6] ; [2 3],[3.21428571 5.78571429] ; [1.78571429 3.21428571],0
r3,1,0.823218,0.049911,[ 6 10] ; [5 7],[6.28571429 9.71428571] ; [4.71428571 7.28571429],0
r4,1,0.83224,0.044872,[ 1 15] ; [ 1 11],[ 1.14285714 14.85714286] ; [ 0.85714286 11.14285714],0
p1,1,0.83224,0.044872,[ 1 15] ; [ 1 11],[ 1.14285714 14.85714286] ; [ 0.85714286 11.14285714],0
r1,1,0.907008,0.013645,[ 5 11] ; [4 8],[ 5.14285714 10.85714286] ; [3.85714286 8.14285714],0
b4,1,0.912219,0.012153,[9 7] ; [7 5],[9.14285714 6.85714286] ; [6.85714286 5.14285714],0
p9,1,0.972542,0.001185,[ 4 11] ; [3 8],[ 4.03846154 10.96153846] ; [2.96153846 8.03846154],0
