Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.001654,9.898962,[23 65] ; [14  9],[29.33333333 58.66666667] ; [ 7.66666667 15.33333333],0
n4,1,0.007774,7.08491,[48 42] ; [20  4],[53.68421053 36.31578947] ; [14.31578947  9.68421053],0
s8,1,0.009313,6.761765,[ 6 84] ; [ 6 18],[ 9.47368421 80.52631579] ; [ 2.52631579 21.47368421],0
n2,1,0.012856,6.188801,[19 22] ; [9 1],[22.50980392 18.49019608] ; [5.49019608 4.50980392],0
v1,1,0.02492,5.02941,[20 68] ; [11 13],[24.35714286 63.64285714] ; [ 6.64285714 17.35714286],0
n3,1,0.038137,4.298886,[21 20] ; [8 1],[23.78 17.22] ; [5.22 3.78],0
n1,1,0.043613,4.071472,[11 31] ; [5 3],[13.44 28.56] ; [2.56 5.44],0
b4,1,0.102556,2.665344,[47 43] ; [17  7],[50.52631579 39.47368421] ; [13.47368421 10.52631579],0
d5,1,0.208776,1.579891,[51 39] ; [17  7],[53.68421053 36.31578947] ; [14.31578947  9.68421053],0
v4,1,0.216718,1.525975,[63 26] ; [20  4],[65.37168142 23.62831858] ; [17.62831858  6.37168142],0
b1,1,0.22597,1.466049,[40 50] ; [14 10],[42.63157895 47.36842105] ; [11.36842105 12.63157895],0
u3,1,0.228339,1.451175,[11 28] ; [4 4],[12.44680851 26.55319149] ; [2.55319149 5.44680851],0
p1,1,0.243378,1.36092,[ 5 84] ; [ 3 21],[ 6.30088496 82.69911504] ; [ 1.69911504 22.30088496],0
d3,1,0.275834,1.1875,[45 45] ; [15  9],[47.36842105 42.63157895] ; [12.63157895 11.36842105],0
p8,1,0.294521,1.098838,[18 71] ; [ 7 16],[19.86607143 69.13392857] ; [ 5.13392857 17.86607143],0
p4,1,0.316343,1.004006,[22 68] ; [ 8 15],[23.89380531 66.10619469] ; [ 6.10619469 16.89380531],0
a1,1,0.346382,0.886667,[ 6 84] ; [ 3 21],[ 7.10526316 82.89473684] ; [ 1.89473684 22.10526316],0
p6,1,0.427121,0.63064,[17 70] ; [ 6 16],[18.35779817 68.64220183] ; [ 4.64220183 17.35779817],0
a3,1,0.440305,0.595487,[51 37] ; [16  8],[52.64285714 35.35714286] ; [14.35714286  9.64285714],0
r4,1,0.488539,0.479742,[53 37] ; [16  8],[54.47368421 35.52631579] ; [14.52631579  9.47368421],0
n6,1,0.513723,0.426477,[49 40] ; [15  9],[50.40707965 38.59292035] ; [13.59292035 10.40707965],0
d2,1,0.535406,0.384122,[40 49] ; [12 11],[41.32142857 47.67857143] ; [10.67857143 12.32142857],0
d4,1,0.553329,0.351387,[56 33] ; [16  7],[57.21428571 31.78571429] ; [14.78571429  8.21428571],0
a4,1,0.564692,0.331646,[35 54] ; [11 13],[36.2300885 52.7699115] ; [ 9.7699115 14.2300885],0
p9,1,0.662635,0.190338,[25 62] ; [ 8 16],[25.86486486 61.13513514] ; [ 7.13513514 16.86486486],0
a2,1,0.70886,0.139418,[14 76] ; [ 3 21],[13.42105263 76.57894737] ; [ 3.57894737 20.42105263],0
s5,1,0.713502,0.134804,[ 6 82] ; [ 2 20],[ 6.4 81.6] ; [ 1.6 20.4],0
r3,1,0.717755,0.130654,[66 24] ; [16  7],[65.30973451 24.69026549] ; [16.69026549  6.30973451],0
s2,1,0.736159,0.113531,[ 9 80] ; [ 3 21],[ 9.45132743 79.54867257] ; [ 2.54867257 21.45132743],0
s1,1,0.745654,0.10522,[ 6 83] ; [ 2 21],[ 6.35714286 82.64285714] ; [ 1.64285714 21.35714286],0
p7,1,0.748668,0.102653,[37 53] ; [ 9 15],[36.31578947 53.68421053] ; [ 9.68421053 14.31578947],0
s3,1,0.765822,0.088711,[22 67] ; [ 5 18],[21.45535714 67.54464286] ; [ 5.54464286 17.45535714],0
