Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
v2,1,0.0,40.922786,[240 100] ; [109 137],[202.49146758 137.50853242] ; [146.50853242  99.49146758],1
v3,1,0.0,31.530228,[174 165] ; [ 71 180],[140.77118644 198.22881356] ; [104.22881356 146.77118644],1
n5,1,9e-06,19.738858,[291  57] ; [174  81],[268.35820896  79.64179104] ; [196.64179104  58.35820896],1
s8,1,0.000802,11.237703,[182 165] ; [ 99 157],[161.70315091 185.29684909] ; [119.29684909 136.70315091],1
p6,1,0.001393,10.21467,[156 186] ; [ 84 173],[137.02838063 204.97161937] ; [102.97161937 154.02838063],0
a3,1,0.002982,8.818177,[278  70] ; [179  79],[262.43564356  85.56435644] ; [194.56435644  63.43564356],0
p4,1,0.00322,8.678283,[244 105] ; [150 107],[226.90759076 122.09240924] ; [167.09240924  89.90759076],0
p3,1,0.005001,7.879022,[201 149] ; [118 139],[183.93739703 166.06260297] ; [135.06260297 121.93739703],0
p8,1,0.006847,7.312744,[220 123] ; [135 119],[203.96147404 139.03852596] ; [151.03852596 102.96147404],0
n4,1,0.006853,7.31097,[293  56] ; [193  64],[279.89108911  69.10891089] ; [206.10891089  50.89108911],0
p12,1,0.008509,6.923065,[ 37 311] ; [ 12 243],[ 28.27860697 319.72139303] ; [ 20.72139303 234.27860697],0
p10,1,0.008704,6.882676,[303  43] ; [204  52],[291.3986711  54.6013289] ; [215.6013289  40.3986711],0
b2,1,0.010222,6.595867,[ 98 129] ; [41 97],[ 86.44657534 140.55342466] ; [52.55342466 85.44657534],0
b3,1,0.010222,6.595867,[ 98 129] ; [41 97],[ 86.44657534 140.55342466] ; [52.55342466 85.44657534],0
p9,1,0.013033,6.164641,[310  36] ; [209  44],[299.78964942  46.21035058] ; [219.21035058  33.78964942],0
a5,1,0.017044,5.691827,[286  64] ; [190  68],[274.01315789  75.98684211] ; [201.98684211  56.01315789],0
a2,1,0.019908,5.41992,[107 243] ; [ 57 201],[ 94.40789474 255.59210526] ; [ 69.59210526 188.40789474],0
b5,1,0.021561,5.280864,[221 129] ; [139 119],[207.23684211 142.76315789] ; [152.76315789 105.23684211],0
a4,1,0.030008,4.70882,[178 170] ; [109 149],[164.81188119 183.18811881] ; [122.18811881 135.81188119],0
