Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
p8,1,0.0,44.058754,[212 227] ; [ 19 106],[179.80319149 259.19680851] ; [51.19680851 73.80319149],1
p7,1,0.0,37.412325,[252 186] ; [32 90],[222.12857143 215.87142857] ; [61.87142857 60.12857143],1
p9,1,0.0,33.383142,[373  66] ; [74 47],[350.41607143  88.58392857] ; [96.58392857 24.41607143],1
p4,1,3e-06,21.688155,[231 212] ; [35 88],[208.19434629 234.80565371] ; [57.80565371 65.19434629],1
p10,1,4e-06,21.491323,[359  82] ; [75 47],[339.95381883 101.04618117] ; [94.04618117 27.95381883],1
v4,1,6e-06,20.374739,[426  14] ; [108  17],[415.85840708  24.14159292] ; [118.14159292   6.85840708],1
p11,1,0.000238,13.502263,[358  87] ; [81 44],[342.72807018 102.27192982] ; [96.27192982 28.72807018],1
v1,1,0.002007,9.54281,[217 212] ; [42 79],[202.02 226.98] ; [56.98 64.02],0
d5,1,0.002092,9.467305,[365  80] ; [86 38],[352.71528998  92.28471002] ; [98.28471002 25.71528998],0
p3,1,0.002886,8.877948,[186 258] ; [34 91],[171.66959578 272.33040422] ; [48.33040422 76.66959578],0
s6,1,0.003622,8.464116,[284 154] ; [62 61],[270.13903743 167.86096257] ; [75.86096257 47.13903743],0
a6,1,0.004342,8.134892,[315 130] ; [71 53],[301.88049209 143.11950791] ; [84.11950791 39.88049209],0
b1,1,0.005099,7.843993,[146 299] ; [58 67],[159.26315789 285.73684211] ; [44.73684211 80.26315789],0
d3,1,0.006423,7.427706,[306 139] ; [69 55],[293.27768014 151.72231986] ; [81.72231986 42.27768014],0
a7,1,0.007283,7.201791,[332 113] ; [78 47],[320.0877193 124.9122807] ; [89.9122807 35.0877193],0
a1,1,0.011015,6.462919,[  9 436] ; [  8 117],[ 13.27192982 431.72807018] ; [  3.72807018 121.27192982],0
n5,1,0.017281,5.667642,[316 125] ; [75 49],[305.18761062 135.81238938] ; [85.81238938 38.18761062],0
n4,1,0.017813,5.614495,[324 118] ; [78 47],[313.37566138 128.62433862] ; [88.62433862 36.37566138],0
s1,1,0.020241,5.390954,[ 10 427] ; [  8 116],[ 14.02139037 422.97860963] ; [  3.97860963 120.02139037],0
n6,1,0.021112,5.317549,[366  76] ; [92 33],[357.02998236  84.97001764] ; [100.97001764  24.02998236],0
u4,1,0.030437,4.68443,[  5 440] ; [  5 120],[  7.80701754 437.19298246] ; [  2.19298246 122.80701754],0
r1,1,0.042378,4.120032,[357  83] ; [91 34],[348.88495575  91.11504425] ; [99.11504425 25.88495575],0
r4,1,0.051762,3.783458,[407  38] ; [107  18],[401.28070175  43.71929825] ; [112.71929825  12.28070175],0
r2,1,0.070843,3.263378,[415  26] ; [110  13],[410.50531915  30.49468085] ; [114.49468085   8.50531915],0
s3,1,0.08173,3.030158,[243 194] ; [58 66],[234.4688057 202.5311943] ; [66.5311943 57.4688057],0
a5,1,0.112002,2.525747,[321 124] ; [81 44],[313.84210526 131.15789474] ; [88.15789474 36.84210526],0
a3,1,0.127655,2.320788,[309 135] ; [78 47],[301.98242531 142.01757469] ; [85.01757469 39.98242531],0
s7,1,0.152246,2.049602,[182 244] ; [41 75],[175.27306273 250.72693727] ; [47.72693727 68.27306273],0
d1,1,0.155865,2.013891,[249 196] ; [61 64],[242.01754386 202.98245614] ; [67.98245614 57.01754386],0
