Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
d2,1,0.0,116.909794,[ 19 130] ; [164  73],[70.63989637 78.36010363] ; [112.36010363 124.63989637],1
d3,1,0.0,111.247393,[61 88] ; [215  22],[106.5388601  42.4611399] ; [169.4611399  67.5388601],1
d5,1,0.0,106.907796,[85 64] ; [232   4],[122.68311688  26.31688312] ; [194.31688312  41.68311688],1
d4,1,0.0,100.243748,[88 61] ; [232   4],[123.84415584  25.15584416] ; [196.15584416  39.84415584],1
a5,1,0.0,37.942565,[88 61] ; [206  32],[113.19379845  35.80620155] ; [180.80620155  57.19379845],1
a4,1,0.0,37.706588,[ 35 114] ; [131 106],[64.07772021 84.92227979] ; [101.92227979 135.07772021],1
a2,1,0.0,35.842348,[  9 140] ; [ 76 162],[ 32.72609819 116.27390181] ; [ 52.27390181 185.72609819],1
a3,1,0.0,34.456487,[82 67] ; [195  41],[107.2025974  41.7974026] ; [169.7974026  66.2025974],1
u1,1,0.0,28.267546,[  6 143] ; [ 59 179],[ 25.02583979 123.97416021] ; [ 39.97416021 198.02583979],1
r1,1,6.9e-05,15.846923,[110  39] ; [210  25],[124.16666667  24.83333333] ; [195.83333333  39.16666667],1
r4,1,9.5e-05,15.226647,[128  21] ; [230   8],[137.83462532  11.16537468] ; [220.16537468  17.83462532],1
r2,1,0.00027,13.265217,[131  16] ; [229   5],[138.8976378   8.1023622] ; [221.1023622  12.8976378],1
v1,1,0.001465,10.121749,[73 74] ; [154  79],[87.81315789 59.18684211] ; [139.18684211  93.81315789],0
n4,1,0.002022,9.529261,[108  41] ; [203  35],[119.73901809  29.26098191] ; [191.26098191  46.73901809],0
s8,1,0.004207,8.192243,[62 87] ; [133 102],[75.6640625 73.3359375] ; [119.3359375 115.6640625],0
n6,1,0.004945,7.899589,[121  27] ; [214  20],[129.79057592  18.20942408] ; [205.20942408  28.79057592],0
v4,1,0.008588,6.906642,[139   9] ; [232   3],[143.36292428   4.63707572] ; [227.63707572   7.36292428],0
p4,1,0.009146,6.794076,[105  44] ; [194  43],[115.41709845  33.58290155] ; [183.58290155  53.41709845],0
v3,1,0.022583,5.200329,[55 93] ; [112 116],[65.73404255 82.26595745] ; [101.26595745 126.73404255],0
p3,1,0.029396,4.744283,[91 58] ; [170  67],[100.74870466  48.25129534] ; [160.25129534  76.74870466],0
