Feature,DoF,P Value,Chi Square,Observed,Expected,Is Significant
r3,1,7e-06,20.167219,[92 12] ; [25 20],[81.66442953 22.33557047] ; [35.33557047  9.66442953],1
p9,1,8e-06,19.863472,[94 11] ; [24 18],[84.28571429 20.71428571] ; [33.71428571  8.28571429],1
v4,1,1e-05,19.560606,[93 11] ; [26 19],[83.06040268 20.93959732] ; [35.93959732  9.06040268],1
p4,1,6.6e-05,15.931721,[63 42] ; [11 34],[51.8 53.2] ; [22.2 22.8],1
s6,1,6.7e-05,15.890457,[63 38] ; [12 33],[51.88356164 49.11643836] ; [23.11643836 21.88356164],1
p11,1,0.000191,13.914084,[85 20] ; [23 22],[75.6 29.4] ; [32.4 12.6],1
p10,1,0.000197,13.863239,[86 19] ; [23 21],[76.81208054 28.18791946] ; [32.18791946 11.81208054],1
r4,1,0.000415,12.463663,[70 35] ; [16 29],[60.2 44.8] ; [25.8 19.2],1
p7,1,0.001478,10.105962,[59 44] ; [13 32],[50.10810811 52.89189189] ; [21.89189189 23.10810811],0
s7,1,0.00205,9.504225,[45 53] ; [ 8 35],[36.83687943 61.16312057] ; [16.16312057 26.83687943],0
p8,1,0.004092,8.242477,[50 54] ; [10 34],[42.16216216 61.83783784] ; [17.83783784 26.16216216],0
s2,1,0.004977,7.887875,[49 56] ; [10 35],[41.3 63.7] ; [17.7 27.3],0
p3,1,0.005962,7.561793,[51 54] ; [11 34],[43.4 61.6] ; [18.6 26.4],0
p6,1,0.007065,7.256311,[40 64] ; [ 7 37],[33.02702703 70.97297297] ; [13.97297297 30.02702703],0
p1,1,0.007526,7.142857,[ 6 99] ; [ 9 36],[10.5 94.5] ; [ 4.5 40.5],0
s3,1,0.009186,6.786287,[57 48] ; [14 31],[49.7 55.3] ; [21.3 23.7],0
s1,1,0.013623,6.086333,[  1 103] ; [ 4 41],[  3.48993289 100.51006711] ; [ 1.51006711 43.48993289],0
a1,1,0.02555,4.986197,[  5 100] ; [ 7 38],[ 8.4 96.6] ; [ 3.6 41.4],0
v1,1,0.033779,4.505877,[49 52] ; [13 31],[43.1862069 57.8137931] ; [18.8137931 25.1862069],0
d3,1,0.040236,4.207893,[56 48] ; [16 29],[50.25503356 53.74496644] ; [21.74496644 23.25503356],0
d4,1,0.057302,3.613805,[73 32] ; [24 21],[67.9 37.1] ; [29.1 15.9],0
d5,1,0.058782,3.571429,[75 30] ; [25 20],[70. 35.] ; [30. 15.],0
n6,1,0.06367,3.439113,[88 17] ; [31 13],[83.8590604 21.1409396] ; [35.1409396  8.8590604],0
v3,1,0.068059,3.329231,[35 69] ; [ 8 35],[30.42176871 73.57823129] ; [12.57823129 30.42176871],0
s4,1,0.074791,3.174603,[25 80] ; [ 5 40],[21. 84.] ; [ 9. 36.],0
d2,1,0.077449,3.117627,[35 70] ; [21 22],[39.72972973 65.27027027] ; [16.27027027 26.72972973],0
a7,1,0.124238,2.36306,[61 44] ; [20 25],[56.7 48.3] ; [24.3 20.7],0
s5,1,0.135443,2.228985,[24 73] ; [ 6 38],[20.63829787 76.36170213] ; [ 9.36170213 34.63829787],0
s8,1,0.142014,2.155996,[36 69] ; [10 35],[32.2 72.8] ; [13.8 31.2],0
r2,1,0.143399,2.141102,[83 19] ; [31 13],[79.64383562 22.35616438] ; [34.35616438  9.64383562],0
u2,1,0.161218,1.962763,[19 23] ; [ 5 14],[16.52459016 25.47540984] ; [ 7.47540984 11.52459016],0
n3,1,0.173117,1.855742,[24  8] ; [12  9],[21.73584906 10.26415094] ; [14.26415094  6.73584906],0
b1,1,0.179571,1.801174,[39 66] ; [22 23],[42.7 62.3] ; [18.3 26.7],0
b2,1,0.185277,1.754778,[19 42] ; [14 17],[21.88043478 39.11956522] ; [11.11956522 19.88043478],0
b3,1,0.185277,1.754778,[19 42] ; [14 17],[21.88043478 39.11956522] ; [11.11956522 19.88043478],0
n2,1,0.199786,1.643935,[25  7] ; [13  8],[22.94339623  9.05660377] ; [15.05660377  5.94339623],0
v2,1,0.199811,1.643758,[46 58] ; [13 27],[42.61111111 61.38888889] ; [16.38888889 23.61111111],0
n4,1,0.234802,1.411532,[86 19] ; [33 12],[83.3 21.7] ; [35.7  9.3],0
a8,1,0.269013,1.221771,[13 86] ; [ 3 41],[11.07692308 87.92307692] ; [ 4.92307692 39.07692308],0
p5,1,0.336417,0.924038,[13 92] ; [ 3 40],[11.35135135 93.64864865] ; [ 4.64864865 38.35135135],0
b5,1,0.385186,0.754085,[64 41] ; [24 21],[61.6 43.4] ; [26.4 18.6],0
a4,1,0.462871,0.538944,[34 71] ; [17 27],[35.93959732 69.06040268] ; [15.06040268 28.93959732],0
a2,1,0.488538,0.479744,[10 95] ; [ 6 39],[11.2 93.8] ; [ 4.8 40.2],0
u4,1,0.534356,0.3861,[  1 104] ; [ 1 44],[  1.4 103.6] ; [ 0.6 44.4],0
n1,1,0.572014,0.319325,[13 18] ; [10 10],[13.98039216 17.01960784] ; [ 9.01960784 10.98039216],0
